epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.591,0.66214,4.04008,1.25211,0.20203,0.30944,0.19323,0.17093,0.49853,2.47674,1.07175,2.6971e-05,2.6971e-05,2.6971e-05
2,543.343,0.63295,2.65855,1.19375,0.42353,0.48679,0.45198,0.39534,0.4976,1.74491,1.05902,5.24444e-05,5.24444e-05,5.24444e-05
3,804.052,0.6255,2.19058,1.17877,0.45813,0.52474,0.51322,0.44524,0.52529,1.64642,1.09525,7.63903e-05,7.63903e-05,7.63903e-05
4,1063.8,0.61597,1.93786,1.17007,0.54621,0.60527,0.62148,0.54242,0.50321,1.36813,1.07384,7.41266e-05,7.41266e-05,7.41266e-05
5,1322.83,0.60224,1.74415,1.15703,0.63011,0.6244,0.68342,0.59834,0.48671,1.19549,1.0577,7.18354e-05,7.18354e-05,7.18354e-05
6,1582.76,0.59294,1.60919,1.14688,0.6403,0.63868,0.70183,0.61809,0.47767,1.12039,1.04883,6.95443e-05,6.95443e-05,6.95443e-05
7,1841.42,0.57679,1.51257,1.13637,0.64862,0.66605,0.7322,0.64619,0.48024,1.06265,1.04779,6.72531e-05,6.72531e-05,6.72531e-05
8,2099.61,0.5676,1.41649,1.12918,0.67088,0.69725,0.75402,0.67165,0.45674,1.00185,1.03318,6.4962e-05,6.4962e-05,6.4962e-05
9,2364.23,0.56378,1.36278,1.1247,0.70716,0.69924,0.76334,0.6818,0.4485,0.94348,1.02301,6.26709e-05,6.26709e-05,6.26709e-05
10,2623.13,0.55537,1.30605,1.11978,0.69814,0.71493,0.77615,0.68707,0.45836,0.93094,1.02981,6.03797e-05,6.03797e-05,6.03797e-05
11,2882.74,0.54973,1.24358,1.11222,0.72805,0.71679,0.78822,0.70527,0.44537,0.89293,1.0132,5.80886e-05,5.80886e-05,5.80886e-05
12,3141.95,0.53904,1.19779,1.10784,0.74421,0.7413,0.80751,0.72521,0.43286,0.82484,1.00511,5.57974e-05,5.57974e-05,5.57974e-05
13,3400.79,0.53653,1.15479,1.10508,0.74706,0.74092,0.8063,0.72677,0.43125,0.84043,1.00057,5.35063e-05,5.35063e-05,5.35063e-05
14,3660.34,0.52679,1.11264,1.09923,0.75443,0.74719,0.816,0.73248,0.43215,0.7914,1.00748,5.12151e-05,5.12151e-05,5.12151e-05
15,3918.04,0.52119,1.06871,1.09204,0.7465,0.74872,0.8172,0.73303,0.43329,0.80309,1.0026,4.8924e-05,4.8924e-05,4.8924e-05
16,4180.61,0.51989,1.03913,1.0899,0.75424,0.76161,0.82623,0.74474,0.428,0.77694,0.99794,4.66329e-05,4.66329e-05,4.66329e-05
17,4445.22,0.51406,1.00052,1.08765,0.78493,0.76185,0.8286,0.75051,0.422,0.75027,0.99655,4.43417e-05,4.43417e-05,4.43417e-05
18,4704.47,0.50437,0.98489,1.08121,0.75745,0.78619,0.83114,0.75048,0.42472,0.73972,0.99831,4.20506e-05,4.20506e-05,4.20506e-05
19,4962.96,0.5047,0.95896,1.0822,0.76692,0.77054,0.83097,0.75171,0.41894,0.73714,0.99407,3.97594e-05,3.97594e-05,3.97594e-05
20,5223.19,0.49694,0.92508,1.07602,0.78344,0.76993,0.83381,0.7572,0.41554,0.73467,0.99247,3.74683e-05,3.74683e-05,3.74683e-05
21,5483.59,0.49413,0.90505,1.07244,0.77029,0.79248,0.84012,0.76246,0.41605,0.71309,0.98862,3.51771e-05,3.51771e-05,3.51771e-05
22,5746.1,0.48939,0.88329,1.07002,0.78832,0.77369,0.84244,0.76452,0.4132,0.7158,0.98472,3.2886e-05,3.2886e-05,3.2886e-05
23,6004.19,0.48439,0.85771,1.0664,0.7987,0.77462,0.84515,0.76635,0.41562,0.70946,0.99452,3.05949e-05,3.05949e-05,3.05949e-05
24,6267.97,0.47999,0.83683,1.06418,0.81321,0.75556,0.83844,0.76112,0.41589,0.71378,0.9872,2.83037e-05,2.83037e-05,2.83037e-05
25,6527.44,0.47194,0.81175,1.06052,0.80097,0.76208,0.84734,0.77198,0.4111,0.69262,0.9858,2.60126e-05,2.60126e-05,2.60126e-05
26,6787.87,0.29826,0.37158,0.94454,0.79708,0.78511,0.85134,0.77545,0.40541,0.70058,0.98515,2.37214e-05,2.37214e-05,2.37214e-05
27,7047.09,0.29159,0.33556,0.93803,0.79073,0.79441,0.84787,0.77235,0.40437,0.69876,0.98724,2.14303e-05,2.14303e-05,2.14303e-05
28,7305.37,0.28345,0.30916,0.92989,0.78262,0.78092,0.84473,0.76915,0.40548,0.71347,0.98966,1.91391e-05,1.91391e-05,1.91391e-05
29,7563.29,0.27742,0.28834,0.92603,0.79403,0.76613,0.84417,0.77023,0.40262,0.71435,0.98566,1.6848e-05,1.6848e-05,1.6848e-05
30,7820.85,0.27463,0.27302,0.92107,0.78042,0.78269,0.8395,0.76802,0.40084,0.72583,0.98695,1.45569e-05,1.45569e-05,1.45569e-05
31,8084.7,0.26822,0.25304,0.91942,0.78544,0.77135,0.84035,0.76697,0.40279,0.72764,0.99186,1.22657e-05,1.22657e-05,1.22657e-05
32,8345.12,0.26278,0.24065,0.91664,0.78104,0.79575,0.8432,0.77084,0.3986,0.719,0.98707,9.97457e-06,9.97457e-06,9.97457e-06
33,8603.86,0.25914,0.22945,0.90974,0.78035,0.78471,0.84214,0.76932,0.40007,0.72076,0.99029,7.68343e-06,7.68343e-06,7.68343e-06
34,8862.6,0.25708,0.21854,0.90868,0.78446,0.7802,0.84228,0.77034,0.40325,0.7256,0.9919,5.39229e-06,5.39229e-06,5.39229e-06
35,9121.91,0.25244,0.20904,0.90704,0.80429,0.77361,0.84165,0.77007,0.39982,0.72593,0.98992,3.10114e-06,3.10114e-06,3.10114e-06
