epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1159,3.60543,3.67895,4.03016,0,0,0,0,3.93979,4.19296,4.21171,0.000546249,0.000546249,0.000546249
2,39.0807,3.22109,2.86607,3.31201,0.01834,0.2592,0.01204,0.00313,3.47627,4.05065,3.65531,0.00109101,0.00109101,0.00109101
3,55.9843,2.82351,2.608,2.91228,0.15215,0.45104,0.14719,0.05416,2.7876,3.42247,3.79416,0.00162476,0.00162476,0.00162476
4,72.792,2.68421,2.50453,2.87767,0.22535,0.27841,0.18551,0.05346,2.96719,3.87855,3.78474,0.00161749,0.00161749,0.00161749
5,89.7698,2.61484,2.31038,2.72524,0.26609,0.33731,0.20859,0.07472,2.73162,2.85036,3.38092,0.00160099,0.00160099,0.00160099
6,106.737,2.62413,2.26687,2.65848,0.25482,0.32193,0.22053,0.08205,2.50733,2.77681,3.04846,0.00158448,0.00158448,0.00158448
7,123.677,2.49918,2.23621,2.63584,0.30087,0.46533,0.38095,0.19688,2.42043,2.46424,2.89594,0.00156798,0.00156798,0.00156798
8,140.508,2.4169,2.0799,2.49712,0.46064,0.51551,0.48198,0.21905,2.3323,2.2385,2.93277,0.00155148,0.00155148,0.00155148
9,157.37,2.30283,1.87281,2.42953,0.57266,0.52691,0.51587,0.25833,2.23593,2.15424,2.75874,0.00153497,0.00153497,0.00153497
10,174.301,2.36058,1.92282,2.49774,0.6208,0.59348,0.60637,0.26431,2.22751,1.95114,2.70846,0.00151847,0.00151847,0.00151847
11,191.236,2.26459,1.92754,2.40084,0.62921,0.60438,0.66481,0.34729,2.13549,1.96702,2.67075,0.00150197,0.00150197,0.00150197
12,208.144,2.25081,1.8478,2.40219,0.55653,0.55326,0.54971,0.28661,2.3195,2.10072,2.77035,0.00148546,0.00148546,0.00148546
13,224.879,2.18138,1.88307,2.38177,0.64378,0.59326,0.63701,0.3288,2.06151,2.03034,2.6751,0.00146896,0.00146896,0.00146896
14,241.574,2.05808,1.82156,2.38528,0.59717,0.54222,0.60215,0.3066,2.22106,2.20485,2.81048,0.00145246,0.00145246,0.00145246
15,258.379,2.03723,1.67466,2.24252,0.75165,0.58412,0.69964,0.39831,1.9994,1.94941,2.6452,0.00143595,0.00143595,0.00143595
16,275.304,1.99797,1.59912,2.20999,0.69653,0.6762,0.72893,0.41178,1.99493,1.663,2.47989,0.00141945,0.00141945,0.00141945
17,292.137,1.93181,1.52989,2.12985,0.71845,0.64066,0.71854,0.40046,1.92803,1.76572,2.51184,0.00140295,0.00140295,0.00140295
18,308.896,1.9116,1.54293,2.21313,0.75976,0.73139,0.79036,0.43511,1.87134,1.55188,2.4459,0.00138644,0.00138644,0.00138644
19,325.752,1.8745,1.51219,2.09925,0.69328,0.70643,0.79936,0.43142,1.87242,1.65059,2.41602,0.00136994,0.00136994,0.00136994
20,342.377,1.839,1.46457,2.07841,0.81487,0.68327,0.78286,0.46657,1.81142,1.5425,2.39186,0.00135344,0.00135344,0.00135344
21,359.392,1.80698,1.43194,2.0754,0.80219,0.72609,0.81223,0.5128,1.73092,1.54494,2.46319,0.00133693,0.00133693,0.00133693
22,376.226,1.85685,1.45346,2.09315,0.74971,0.72847,0.78973,0.48243,1.7086,2.02412,2.3305,0.00132043,0.00132043,0.00132043
23,392.944,1.74224,1.36656,2.03281,0.82241,0.76044,0.84987,0.50819,1.7007,1.46121,2.32091,0.00130393,0.00130393,0.00130393
24,409.588,1.71346,1.36041,2.02053,0.82325,0.729,0.8283,0.51323,1.69446,1.45188,2.26748,0.00128742,0.00128742,0.00128742
25,426.45,1.67616,1.35954,2.00747,0.80524,0.75709,0.84077,0.53374,1.60486,1.37133,2.25576,0.00127092,0.00127092,0.00127092
26,443.322,1.6932,1.29459,1.96275,0.81429,0.74946,0.85085,0.5432,1.59406,1.32756,2.34615,0.00125442,0.00125442,0.00125442
27,460.179,1.66654,1.31741,2.00869,0.844,0.75302,0.85743,0.55071,1.54542,1.2799,2.27668,0.00123791,0.00123791,0.00123791
28,476.992,1.65716,1.30846,1.97765,0.83551,0.75293,0.84899,0.52848,1.62437,1.31489,2.23053,0.00122141,0.00122141,0.00122141
29,493.658,1.66721,1.29594,1.97822,0.82309,0.82616,0.87488,0.5454,1.57696,1.28328,2.18046,0.00120491,0.00120491,0.00120491
30,510.304,1.61373,1.27672,1.93931,0.86317,0.77328,0.87915,0.56611,1.51939,1.29781,2.14385,0.0011884,0.0011884,0.0011884
31,527.192,1.59167,1.27288,1.90666,0.84664,0.80459,0.87572,0.56978,1.49797,1.24982,2.13384,0.0011719,0.0011719,0.0011719
32,544.009,1.63283,1.23719,1.92934,0.83185,0.80254,0.88461,0.59687,1.45459,1.29971,2.23467,0.0011554,0.0011554,0.0011554
33,560.857,1.58153,1.2131,1.88141,0.85526,0.79378,0.87641,0.58234,1.43689,1.18247,2.13587,0.00113889,0.00113889,0.00113889
34,577.663,1.53396,1.12992,1.86291,0.86226,0.83168,0.89868,0.58895,1.4711,1.15537,2.15717,0.00112239,0.00112239,0.00112239
35,594.307,1.53047,1.17182,1.85455,0.8474,0.8157,0.88188,0.59219,1.463,1.28648,2.26196,0.00110589,0.00110589,0.00110589
36,610.961,1.4626,1.13598,1.85347,0.84431,0.83424,0.8989,0.58212,1.43696,1.16879,2.11945,0.00108938,0.00108938,0.00108938
37,627.653,1.60849,1.28011,1.98234,0.84283,0.77822,0.88769,0.58805,1.4751,1.18879,2.07061,0.00107288,0.00107288,0.00107288
38,644.343,1.46269,1.14409,1.86231,0.85049,0.84537,0.90137,0.59807,1.39492,1.122,2.07645,0.00105638,0.00105638,0.00105638
39,661.176,1.53251,1.18686,1.89304,0.89174,0.83185,0.91142,0.61973,1.37832,1.11001,2.09908,0.00103987,0.00103987,0.00103987
40,677.957,1.47743,1.14952,1.88543,0.85492,0.80871,0.89507,0.61887,1.38506,1.12626,2.17123,0.00102337,0.00102337,0.00102337
41,694.807,1.48026,1.16884,1.87061,0.82005,0.8531,0.90089,0.6124,1.39568,1.13723,2.03756,0.00100687,0.00100687,0.00100687
42,711.621,1.44236,1.10388,1.81473,0.87567,0.8111,0.8906,0.60551,1.37599,1.10392,2.0321,0.000990365,0.000990365,0.000990365
43,728.246,1.46244,1.17068,1.83349,0.85712,0.84253,0.89529,0.6047,1.39141,1.12174,2.0627,0.000973861,0.000973861,0.000973861
44,744.879,1.48004,1.17558,1.86113,0.84271,0.77293,0.86259,0.56729,1.49429,1.25847,2.09749,0.000957358,0.000957358,0.000957358
45,761.515,1.47794,1.11406,1.83146,0.83137,0.84837,0.90836,0.64398,1.27756,1.10767,1.95995,0.000940855,0.000940855,0.000940855
46,778.306,1.45329,1.10315,1.92175,0.84035,0.83356,0.89586,0.62092,1.33457,1.2914,2.05476,0.000924352,0.000924352,0.000924352
47,795,1.50117,1.15123,1.85222,0.83789,0.8234,0.89016,0.61818,1.36527,1.12281,2.09934,0.000907848,0.000907848,0.000907848
48,811.623,1.45553,1.12327,1.85844,0.86821,0.84391,0.90894,0.60668,1.3633,1.08366,2.08769,0.000891345,0.000891345,0.000891345
49,828.231,1.43795,1.05765,1.79433,0.84082,0.83611,0.89736,0.6202,1.32878,1.12894,1.95549,0.000874842,0.000874842,0.000874842
50,844.921,1.41353,1.08622,1.87555,0.91636,0.82197,0.90223,0.62956,1.35301,1.09423,2.12718,0.000858338,0.000858338,0.000858338
51,861.546,1.38791,1.07087,1.81142,0.86206,0.839,0.91939,0.64383,1.34862,1.02782,2.02794,0.000841835,0.000841835,0.000841835
52,878.357,1.40202,0.99756,1.73679,0.88304,0.8386,0.91235,0.63994,1.28056,1.01916,2.05044,0.000825332,0.000825332,0.000825332
53,895.217,1.38312,1.02942,1.7957,0.88623,0.83777,0.91038,0.6597,1.23793,1.00897,2.00178,0.000808828,0.000808828,0.000808828
54,911.991,1.40179,0.99367,1.75954,0.89737,0.8244,0.90617,0.64373,1.26929,1.0481,1.98766,0.000792325,0.000792325,0.000792325
55,928.645,1.38093,1.04089,1.76315,0.87995,0.86193,0.92296,0.6519,1.2781,0.97838,1.95024,0.000775822,0.000775822,0.000775822
56,945.257,1.35443,0.98615,1.75791,0.85378,0.8501,0.90862,0.6456,1.23563,0.98367,2.0184,0.000759318,0.000759318,0.000759318
57,961.813,1.38287,0.99795,1.804,0.89337,0.85394,0.91473,0.642,1.2586,1.05045,1.98319,0.000742815,0.000742815,0.000742815
58,978.47,1.34282,0.98519,1.75812,0.89114,0.82876,0.91883,0.65466,1.25444,1.00355,1.98619,0.000726312,0.000726312,0.000726312
59,995.072,1.32637,0.98547,1.71242,0.87501,0.85953,0.90846,0.66554,1.2303,0.9843,1.9426,0.000709809,0.000709809,0.000709809
60,1011.86,1.3479,1.01545,1.75824,0.89122,0.84681,0.91274,0.64821,1.24007,0.98037,1.92676,0.000693305,0.000693305,0.000693305
61,1028.58,1.33519,1.01234,1.76524,0.87389,0.84649,0.92486,0.67079,1.19226,0.94945,1.95652,0.000676802,0.000676802,0.000676802
62,1045.46,1.33318,0.99076,1.7489,0.88469,0.87677,0.92354,0.65333,1.21916,0.94845,1.92999,0.000660299,0.000660299,0.000660299
63,1062.16,1.33123,1.00074,1.75599,0.89457,0.85794,0.92247,0.66084,1.19514,0.9278,1.96493,0.000643795,0.000643795,0.000643795
64,1078.87,1.37049,0.97404,1.75712,0.87407,0.88448,0.9248,0.66668,1.23963,0.96146,1.93862,0.000627292,0.000627292,0.000627292
65,1095.62,1.35583,1.0265,1.79771,0.88337,0.82418,0.91004,0.65241,1.22103,1.03086,1.89485,0.000610789,0.000610789,0.000610789
66,1112.48,1.3087,0.9611,1.72899,0.89145,0.87683,0.93299,0.68909,1.16592,0.89515,1.96462,0.000594286,0.000594286,0.000594286
67,1129.35,1.3533,1.01511,1.76423,0.87856,0.87072,0.92489,0.66163,1.22352,0.94146,1.96908,0.000577782,0.000577782,0.000577782
68,1145.96,1.32851,0.97825,1.74729,0.89598,0.86645,0.92292,0.67662,1.18495,0.90704,1.88969,0.000561279,0.000561279,0.000561279
69,1162.68,1.29375,0.92426,1.73943,0.87192,0.85491,0.91326,0.67129,1.183,0.90318,1.97775,0.000544776,0.000544776,0.000544776
70,1179.32,1.32151,0.98902,1.79125,0.89033,0.86142,0.92505,0.67095,1.16886,0.94699,2.00604,0.000528272,0.000528272,0.000528272
71,1195.94,1.28467,0.95112,1.75704,0.89786,0.86652,0.9306,0.67828,1.18514,0.92499,1.90423,0.000511769,0.000511769,0.000511769
72,1212.57,1.32197,0.97833,1.73677,0.89501,0.88145,0.93635,0.69926,1.12209,0.87127,1.91087,0.000495266,0.000495266,0.000495266
73,1229.31,1.28744,0.92979,1.73131,0.8879,0.84691,0.91565,0.66613,1.17547,0.93583,1.8964,0.000478762,0.000478762,0.000478762
74,1245.96,1.26671,0.91477,1.69879,0.87723,0.87913,0.92055,0.67455,1.15324,0.91273,1.88765,0.000462259,0.000462259,0.000462259
75,1262.73,1.27489,0.89507,1.67289,0.89898,0.8706,0.92781,0.678,1.17591,0.87342,1.87787,0.000445756,0.000445756,0.000445756
76,1279.47,1.26415,0.91458,1.715,0.87969,0.84317,0.92199,0.68139,1.14973,0.93235,1.85365,0.000429253,0.000429253,0.000429253
77,1296.15,1.24507,0.91952,1.65669,0.88769,0.8637,0.93075,0.67524,1.16088,0.88022,1.90174,0.000412749,0.000412749,0.000412749
78,1312.79,1.24647,0.89876,1.64509,0.88595,0.87996,0.93319,0.69806,1.09923,0.82661,1.9077,0.000396246,0.000396246,0.000396246
79,1329.48,1.25947,0.88617,1.72995,0.89161,0.86247,0.92048,0.68089,1.10362,0.90691,1.84096,0.000379743,0.000379743,0.000379743
80,1346.1,1.25774,0.92781,1.72165,0.88489,0.87819,0.92318,0.69383,1.13805,0.89393,1.87375,0.000363239,0.000363239,0.000363239
81,1362.75,1.28677,0.9514,1.7522,0.88507,0.86182,0.9237,0.67965,1.11183,0.89657,1.83452,0.000346736,0.000346736,0.000346736
82,1379.41,1.29965,0.95825,1.73272,0.86002,0.86791,0.91376,0.68178,1.1314,0.87673,1.91383,0.000330233,0.000330233,0.000330233
83,1396.12,1.22208,0.87995,1.74007,0.88714,0.86255,0.9299,0.68071,1.13762,0.88883,1.85416,0.000313729,0.000313729,0.000313729
84,1412.79,1.22541,0.89617,1.64722,0.88193,0.85788,0.92792,0.68583,1.13524,0.87617,1.91071,0.000297226,0.000297226,0.000297226
85,1429.46,1.23274,0.8768,1.66609,0.89322,0.87268,0.92995,0.69642,1.11003,0.84997,1.90144,0.000280723,0.000280723,0.000280723
86,1446.11,1.212,0.85244,1.64353,0.87804,0.88354,0.92991,0.68791,1.15589,0.85329,1.89487,0.00026422,0.00026422,0.00026422
87,1462.82,1.20789,0.89218,1.67167,0.88117,0.87145,0.93132,0.69912,1.1125,0.84977,1.87976,0.000247716,0.000247716,0.000247716
88,1479.63,1.23997,0.8784,1.66559,0.8987,0.86178,0.93269,0.69648,1.11496,0.8448,1.86876,0.000231213,0.000231213,0.000231213
89,1496.28,1.24581,0.89483,1.74006,0.88785,0.86332,0.93065,0.70138,1.08772,0.8496,1.82102,0.00021471,0.00021471,0.00021471
90,1513.13,1.20552,0.82913,1.64133,0.87611,0.88017,0.92937,0.69118,1.13212,0.85925,1.86622,0.000198206,0.000198206,0.000198206
91,1531.1,1.16332,0.83538,1.65204,0.86418,0.88187,0.92587,0.69711,1.12478,0.8733,1.82591,0.000181703,0.000181703,0.000181703
92,1547.72,1.16709,0.82407,1.71829,0.89087,0.87688,0.93275,0.70649,1.07369,0.85609,1.84023,0.0001652,0.0001652,0.0001652
93,1564.47,1.13127,0.82831,1.70574,0.88266,0.8746,0.93223,0.70599,1.08024,0.84881,1.80553,0.000148696,0.000148696,0.000148696
94,1581.18,1.18934,0.8452,1.70513,0.88328,0.87737,0.93382,0.71241,1.07436,0.83519,1.81012,0.000132193,0.000132193,0.000132193
95,1597.92,1.1835,0.8575,1.7563,0.88404,0.8797,0.93243,0.7064,1.08002,0.84822,1.7864,0.00011569,0.00011569,0.00011569
