epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0076,3.30424,4.38916,4.27502,0,0,0,0,3.37902,4.34042,4.20943,0.000546249,0.000546249,0.000546249
2,69.1051,2.97438,3.54846,3.64626,0.0371,0.07778,0.01781,0.00567,3.21246,5.13361,10.0897,0.00109101,0.00109101,0.00109101
3,101.1,2.83265,3.17966,3.45076,0.62015,0.15556,0.12799,0.04322,3.08497,3.53747,4.98911,0.00162476,0.00162476,0.00162476
4,133.029,2.81865,3.01294,3.31687,0.05778,0.16737,0.03454,0.01234,nan,nan,nan,0.00161749,0.00161749,0.00161749
5,164.766,2.74725,2.76014,3.25056,0.14418,0.24639,0.1618,0.05362,2.89564,3.00638,3.63893,0.00160099,0.00160099,0.00160099
6,196.618,2.69993,2.60773,3.25614,0.29968,0.40644,0.32485,0.11721,2.64415,2.78053,3.53345,0.00158448,0.00158448,0.00158448
7,228.555,2.50647,2.48071,3.15837,0.26634,0.53476,0.40442,0.15313,2.70965,3.2055,4.0378,0.00156798,0.00156798,0.00156798
8,260.425,2.48795,2.48397,3.16315,0.42965,0.39819,0.40286,0.20022,2.4737,2.56872,3.33257,0.00155148,0.00155148,0.00155148
9,292.406,2.43474,2.40156,3.15064,0.45304,0.45471,0.41415,0.20625,2.47631,2.82622,3.38356,0.00153497,0.00153497,0.00153497
10,324.283,2.39034,2.21546,3.10839,0.36841,0.56494,0.4735,0.21515,2.34397,2.26155,3.32155,0.00151847,0.00151847,0.00151847
11,356.189,2.30546,2.21096,3.03536,0.5126,0.5823,0.56686,0.27135,2.28904,2.12476,3.29718,0.00150197,0.00150197,0.00150197
12,388.052,2.32199,2.12837,3.04021,0.62815,0.5729,0.63759,0.29205,2.28249,2.1876,3.21167,0.00148546,0.00148546,0.00148546
13,419.97,2.19356,2.0456,2.95955,0.59902,0.57528,0.59704,0.32099,2.06307,2.09184,3.19307,0.00146896,0.00146896,0.00146896
14,451.895,2.09429,1.95439,2.95929,0.7073,0.63252,0.70745,0.38835,2.01179,2.03448,3.16516,0.00145246,0.00145246,0.00145246
15,484.013,2.0575,1.88558,2.85883,0.77681,0.64063,0.76254,0.41111,2.046,1.88892,3.03223,0.00143595,0.00143595,0.00143595
