epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.8711,3.5399,3.64455,4.05514,0,0,0,0,3.9638,4.18123,4.25461,0.000546249,0.000546249,0.000546249
2,90.044,3.15763,2.73257,3.28219,0.04569,0.56762,0.08187,0.02727,3.11657,3.37473,3.41794,0.00109101,0.00109101,0.00109101
3,103.171,2.84296,2.56306,2.92479,0.077,0.30959,0.06492,0.01696,2.88733,11.0454,6.3278,0.00162476,0.00162476,0.00162476
4,116.109,2.69343,2.43443,2.90655,0.35229,0.33317,0.2429,0.09173,2.89186,3.05073,3.81748,0.00161749,0.00161749,0.00161749
5,129.215,2.64327,2.2944,2.72118,0.35009,0.31511,0.20782,0.08465,2.73944,2.89094,3.24474,0.00160099,0.00160099,0.00160099
6,142.209,2.56337,2.09559,2.61206,0.81586,0.31667,0.47876,0.19505,2.51119,2.34787,2.99817,0.00158448,0.00158448,0.00158448
7,155.336,2.45407,2.0781,2.5668,0.37941,0.61878,0.54963,0.27687,2.35929,2.15168,2.85528,0.00156798,0.00156798,0.00156798
8,168.462,2.3742,2.01238,2.44883,0.52023,0.65646,0.64472,0.30068,2.22487,1.9971,2.73504,0.00155148,0.00155148,0.00155148
9,181.589,2.2521,1.79428,2.35659,0.6649,0.65324,0.65686,0.3499,2.17431,1.82451,2.63892,0.00153497,0.00153497,0.00153497
10,194.746,2.29461,1.7755,2.3996,0.56339,0.6284,0.59895,0.27711,2.21646,1.96149,2.70038,0.00151847,0.00151847,0.00151847
11,207.667,2.21908,1.77654,2.34734,0.61554,0.60345,0.66074,0.34397,2.1965,1.8526,2.57722,0.00150197,0.00150197,0.00150197
12,220.645,2.21855,1.72638,2.3435,0.62035,0.64627,0.65831,0.36747,2.14361,1.90551,2.63334,0.00148546,0.00148546,0.00148546
13,233.8,2.12482,1.75432,2.31189,0.7194,0.62017,0.6919,0.3902,2.13543,1.93809,2.72151,0.00146896,0.00146896,0.00146896
14,246.884,1.97109,1.66557,2.28991,0.75215,0.62349,0.74269,0.4476,1.93477,1.87361,2.51321,0.00145246,0.00145246,0.00145246
