epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.8525,3.22609,4.26223,4.23651,0,0,0,0,3.40008,4.27006,4.24897,0.000546249,0.000546249,0.000546249
2,114.018,2.94088,3.472,3.61935,0.58038,0.08704,0.05074,0.02384,2.96615,4.19989,3.85018,0.00109101,0.00109101,0.00109101
3,139.161,2.76993,3.18647,3.42075,0.16309,0.38373,0.11057,0.02805,2.79794,3.74221,4.13871,0.00162476,0.00162476,0.00162476
4,164.21,2.74836,3.05096,3.28898,0.61242,0.1463,0.0937,0.0245,2.98045,5.21634,4.26927,0.00161749,0.00161749,0.00161749
5,189.245,2.63939,2.81566,3.21933,0.17741,0.20347,0.13397,0.06169,2.96618,4.39597,4.40031,0.00160099,0.00160099,0.00160099
6,214.296,2.67412,2.67921,3.23091,0.29475,0.42631,0.31169,0.09159,2.54647,2.56767,3.43431,0.00158448,0.00158448,0.00158448
7,239.407,2.51529,2.58484,3.08851,0.31993,0.49281,0.32727,0.13192,2.4904,2.71275,3.36789,0.00156798,0.00156798,0.00156798
8,264.475,2.50019,2.56104,3.07435,0.40198,0.50702,0.47329,0.22591,2.48769,2.44508,3.2589,0.00155148,0.00155148,0.00155148
9,289.599,2.48452,2.46997,3.08042,0.50432,0.42526,0.39561,0.20069,2.41155,2.70713,3.29185,0.00153497,0.00153497,0.00153497
10,314.582,2.41265,2.32726,3.03109,0.39511,0.53568,0.44876,0.19553,2.30796,2.24574,3.17341,0.00151847,0.00151847,0.00151847
11,339.529,2.42386,2.31056,2.9652,0.41274,0.34838,0.37367,0.17979,2.56425,2.5708,3.47206,0.00150197,0.00150197,0.00150197
12,364.487,2.29508,2.26762,2.8594,0.39184,0.55874,0.53351,0.26747,2.27056,2.27963,3.1112,0.00148546,0.00148546,0.00148546
13,389.601,2.2917,2.11822,2.89466,0.48697,0.53653,0.49475,0.25794,2.28247,2.28839,3.16614,0.00146896,0.00146896,0.00146896
14,414.615,2.23771,2.12553,2.80607,0.55066,0.59772,0.58712,0.30365,2.19241,2.13933,3.04791,0.00145246,0.00145246,0.00145246
15,439.705,2.15537,1.99969,2.78543,0.64696,0.59524,0.64045,0.3671,2.20998,2.17937,3.04362,0.00143595,0.00143595,0.00143595
16,464.75,2.11882,1.95002,2.78617,0.51336,0.58327,0.59305,0.28826,2.21719,2.07385,3.03524,0.00141945,0.00141945,0.00141945
17,489.694,2.096,1.99769,2.77426,0.67314,0.58188,0.65316,0.35939,2.07864,2.12571,3.03178,0.00140295,0.00140295,0.00140295
18,514.728,1.99554,1.84088,2.66845,0.73632,0.58,0.66825,0.36203,2.0151,2.07186,2.90297,0.00138644,0.00138644,0.00138644
19,539.732,2.04876,1.86034,2.72073,0.56829,0.5768,0.57284,0.31141,2.17481,2.38546,3.08352,0.00136994,0.00136994,0.00136994
20,564.657,2.00306,1.80369,2.66005,0.69899,0.68916,0.75542,0.42077,1.95937,1.88448,2.97199,0.00135344,0.00135344,0.00135344
21,589.724,1.99726,1.78614,2.64448,0.5704,0.69369,0.75836,0.41934,1.99233,1.89765,2.88995,0.00133693,0.00133693,0.00133693
22,614.658,1.93368,1.74502,2.67011,0.75259,0.66711,0.75044,0.42586,2.07264,1.90414,3.03296,0.00132043,0.00132043,0.00132043
23,639.735,1.92622,1.75855,2.6344,0.65793,0.63899,0.73778,0.38452,2.09195,1.84266,2.8896,0.00130393,0.00130393,0.00130393
24,664.664,1.89878,1.74834,2.55142,0.70794,0.71435,0.77759,0.44206,1.91191,1.70537,2.79725,0.00128742,0.00128742,0.00128742
25,689.726,1.84827,1.65551,2.52429,0.77175,0.66822,0.75655,0.44932,1.79515,1.97156,2.91909,0.00127092,0.00127092,0.00127092
26,714.801,1.77663,1.5575,2.43354,0.75133,0.64315,0.75288,0.41495,1.99964,1.82419,3.04224,0.00125442,0.00125442,0.00125442
27,739.756,1.82249,1.59226,2.53748,0.79274,0.76382,0.83141,0.48911,1.76134,1.54778,2.74132,0.00123791,0.00123791,0.00123791
28,764.84,1.66214,1.53282,2.43036,0.795,0.7294,0.815,0.49266,1.69383,1.52526,2.64313,0.00122141,0.00122141,0.00122141
29,789.934,1.74063,1.54336,2.44895,0.76872,0.70145,0.8164,0.48288,1.8044,1.58801,2.71189,0.00120491,0.00120491,0.00120491
30,814.891,1.74241,1.54524,2.40743,0.77296,0.71615,0.79198,0.45516,1.76664,1.64657,2.78477,0.0011884,0.0011884,0.0011884
31,839.835,1.69508,1.48697,2.42582,0.8024,0.73831,0.82429,0.49998,1.67604,1.57911,2.68071,0.0011719,0.0011719,0.0011719
32,864.91,1.66241,1.39287,2.36851,0.81828,0.76916,0.84102,0.50049,1.70757,1.51648,2.70249,0.0011554,0.0011554,0.0011554
33,889.952,1.63712,1.43756,2.4405,0.85014,0.75303,0.83375,0.53712,1.64397,1.52076,2.6494,0.00113889,0.00113889,0.00113889
34,915.012,1.65254,1.37035,2.36815,0.82833,0.75048,0.85116,0.53425,1.64897,1.42841,2.58478,0.00112239,0.00112239,0.00112239
35,939.957,1.59374,1.33695,2.30449,0.80794,0.74943,0.83677,0.53702,1.59965,1.46825,2.6926,0.00110589,0.00110589,0.00110589
36,965.004,1.64439,1.38902,2.39985,0.79468,0.74727,0.84365,0.5145,1.7074,1.43127,2.66228,0.00108938,0.00108938,0.00108938
37,990.001,1.58979,1.34441,2.36693,0.84278,0.78759,0.86005,0.56348,1.61273,1.48608,2.60647,0.00107288,0.00107288,0.00107288
38,1015.05,1.53407,1.30983,2.29392,0.81136,0.77901,0.86289,0.56933,1.54173,1.39983,2.58123,0.00105638,0.00105638,0.00105638
39,1040.14,1.54669,1.26335,2.24023,0.86201,0.77316,0.87759,0.57228,1.54397,1.38339,2.67211,0.00103987,0.00103987,0.00103987
40,1065.25,1.54459,1.29729,2.28568,0.83076,0.80758,0.87639,0.56572,1.53797,1.3432,2.5659,0.00102337,0.00102337,0.00102337
41,1090.16,1.51831,1.21834,2.22751,0.86212,0.78906,0.88074,0.56911,1.58215,1.31565,2.55405,0.00100687,0.00100687,0.00100687
42,1115.13,1.51615,1.22236,2.25653,0.84236,0.83968,0.89176,0.61268,1.4598,1.26966,2.65889,0.000990365,0.000990365,0.000990365
43,1140.18,1.50386,1.26038,2.25399,0.82022,0.83386,0.88087,0.56939,1.54871,1.26753,2.51453,0.000973861,0.000973861,0.000973861
44,1165.12,1.45466,1.20087,2.2018,0.86283,0.80283,0.88346,0.5818,1.48974,1.27088,2.4525,0.000957358,0.000957358,0.000957358
45,1190.1,1.47816,1.21728,2.20171,0.83002,0.81001,0.88074,0.58781,1.43784,1.26194,2.64177,0.000940855,0.000940855,0.000940855
46,1215.11,1.52725,1.1981,2.25365,0.85825,0.8216,0.88324,0.58089,1.51433,1.28377,2.63777,0.000924352,0.000924352,0.000924352
47,1240.06,1.52384,1.19236,2.29126,0.85564,0.78917,0.88724,0.58546,1.49672,1.24899,2.48426,0.000907848,0.000907848,0.000907848
48,1265.01,1.53888,1.20041,2.25848,0.82345,0.79903,0.88949,0.57988,1.5089,1.27784,2.58106,0.000891345,0.000891345,0.000891345
49,1289.98,1.50486,1.26644,2.2504,0.80571,0.79454,0.88303,0.59967,1.47692,1.30467,2.40429,0.000874842,0.000874842,0.000874842
50,1314.95,1.49371,1.20974,2.19133,0.85824,0.82371,0.8976,0.58302,1.54576,1.30039,2.48022,0.000858338,0.000858338,0.000858338
51,1339.9,1.51956,1.26204,2.22835,0.81387,0.79727,0.87943,0.58514,1.46864,1.28185,2.49906,0.000841835,0.000841835,0.000841835
52,1364.86,1.41097,1.15285,2.10561,0.86548,0.82723,0.90024,0.60975,1.40787,1.18805,2.47903,0.000825332,0.000825332,0.000825332
53,1389.79,1.42895,1.14408,2.18801,0.87322,0.83229,0.90746,0.61117,1.42595,1.12401,2.56478,0.000808828,0.000808828,0.000808828
54,1414.89,1.43716,1.14735,2.17817,0.86434,0.83503,0.88528,0.60072,1.43629,1.20875,2.44714,0.000792325,0.000792325,0.000792325
55,1439.81,1.39736,1.14125,2.15625,0.86138,0.81674,0.89573,0.63478,1.35712,1.151,2.48868,0.000775822,0.000775822,0.000775822
56,1464.85,1.41961,1.1484,2.12316,0.88435,0.79843,0.88358,0.59656,1.39187,1.23314,2.57286,0.000759318,0.000759318,0.000759318
57,1489.78,1.44758,1.16816,2.14508,0.83422,0.82498,0.90595,0.63515,1.35298,1.1741,2.39054,0.000742815,0.000742815,0.000742815
58,1514.84,1.43034,1.15577,2.18594,0.85406,0.85308,0.90175,0.61408,1.3639,1.11076,2.53629,0.000726312,0.000726312,0.000726312
59,1539.78,1.39211,1.12763,2.1123,0.84332,0.82927,0.87919,0.60419,1.37999,1.20771,2.36957,0.000709809,0.000709809,0.000709809
60,1564.69,1.37334,1.09675,2.11417,0.85241,0.84968,0.9019,0.58529,1.50012,1.21133,2.49653,0.000693305,0.000693305,0.000693305
61,1589.69,1.44764,1.15312,2.17497,0.86522,0.83388,0.90094,0.62921,1.38351,1.18151,2.44108,0.000676802,0.000676802,0.000676802
62,1614.6,1.3582,1.07317,2.1397,0.8569,0.84474,0.91069,0.6287,1.32491,1.12835,2.31205,0.000660299,0.000660299,0.000660299
63,1639.59,1.40875,1.07528,2.18493,0.87316,0.82541,0.89929,0.63424,1.34919,1.19626,2.43033,0.000643795,0.000643795,0.000643795
64,1664.55,1.33234,1.06632,2.09076,0.85345,0.85172,0.90542,0.62648,1.34329,1.13833,2.41741,0.000627292,0.000627292,0.000627292
65,1689.47,1.39816,1.10321,2.11975,0.84716,0.87062,0.90627,0.64207,1.3396,1.17871,2.41448,0.000610789,0.000610789,0.000610789
66,1714.56,1.34546,1.07833,2.06012,0.86079,0.82832,0.90079,0.6471,1.36774,1.16472,2.49965,0.000594286,0.000594286,0.000594286
67,1739.59,1.34307,1.10342,2.11407,0.87511,0.85346,0.90587,0.63893,1.31913,1.08399,2.34004,0.000577782,0.000577782,0.000577782
68,1764.52,1.34239,1.08709,2.11065,0.83759,0.84193,0.88986,0.62624,1.316,1.16541,2.40201,0.000561279,0.000561279,0.000561279
69,1789.49,1.345,1.06859,2.11801,0.87934,0.8646,0.91498,0.65815,1.28082,1.06838,2.29636,0.000544776,0.000544776,0.000544776
70,1814.56,1.36001,1.03774,2.06585,0.8677,0.8406,0.89586,0.64305,1.29034,1.13965,2.34412,0.000528272,0.000528272,0.000528272
71,1839.53,1.3336,1.02668,2.13036,0.88258,0.84728,0.91215,0.62577,1.35086,1.09246,2.31232,0.000511769,0.000511769,0.000511769
72,1864.45,1.32088,1.03445,2.08836,0.86773,0.87204,0.92555,0.65725,1.28433,1.04488,2.30663,0.000495266,0.000495266,0.000495266
73,1889.52,1.28819,0.99361,2.0452,0.86357,0.87238,0.91776,0.66307,1.23789,1.04655,2.31141,0.000478762,0.000478762,0.000478762
74,1914.62,1.33316,1.02324,2.05855,0.88863,0.85409,0.91608,0.66205,1.24376,1.08723,2.32715,0.000462259,0.000462259,0.000462259
75,1939.56,1.30034,1.05306,2.05641,0.87061,0.85711,0.91301,0.66168,1.23739,1.06201,2.29568,0.000445756,0.000445756,0.000445756
76,1964.47,1.34457,1.02578,2.03042,0.86441,0.87046,0.91618,0.66325,1.22293,1.04657,2.27121,0.000429253,0.000429253,0.000429253
77,1989.56,1.29223,1.0092,2.04456,0.86282,0.87206,0.91588,0.66462,1.23264,1.0558,2.2907,0.000412749,0.000412749,0.000412749
78,2014.6,1.30244,1.02055,2.0808,0.86488,0.86368,0.91463,0.64882,1.29091,1.06945,2.29203,0.000396246,0.000396246,0.000396246
79,2039.55,1.27288,0.96167,2.03587,0.87707,0.87027,0.91293,0.66922,1.22248,1.04578,2.24662,0.000379743,0.000379743,0.000379743
80,2064.63,1.22097,0.95876,2.03072,0.88276,0.84162,0.90803,0.66206,1.23427,1.08988,2.29174,0.000363239,0.000363239,0.000363239
81,2089.56,1.29652,0.97535,2.02843,0.87538,0.86847,0.91631,0.67408,1.22038,1.02919,2.22429,0.000346736,0.000346736,0.000346736
82,2114.66,1.26469,0.95161,2.01871,0.88102,0.85986,0.91628,0.67928,1.23743,1.04181,2.4146,0.000330233,0.000330233,0.000330233
