epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.9921,2.99149,4.89903,4.33038,0,0,0,0,3.00825,4.55978,4.20675,0.000546249,0.000546249,0.000546249
2,86.6539,2.92102,4.42651,3.86093,0.01697,0.2522,0.06543,0.0294,2.80562,4.28775,3.80179,0.00109101,0.00109101,0.00109101
3,98.1747,2.76372,4.11184,3.63189,0.05279,0.67208,0.06945,0.02123,2.80253,5.30249,4.34664,0.00162476,0.00162476,0.00162476
4,109.664,2.78296,3.73971,3.52634,0.03624,0.51647,0.04739,0.01287,2.76708,3.86881,4.26694,0.00161749,0.00161749,0.00161749
5,121.341,2.68352,3.46654,3.45058,0.15524,0.29937,0.10425,0.02965,2.79673,4.498,4.02743,0.00160099,0.00160099,0.00160099
6,132.891,2.678,3.27995,3.47656,0.15997,0.49316,0.17267,0.06293,2.64947,4.82298,3.97931,0.00158448,0.00158448,0.00158448
7,144.413,2.57919,3.1639,3.38219,0.29664,0.33362,0.24401,0.09719,2.48496,3.21984,3.48944,0.00156798,0.00156798,0.00156798
8,155.899,2.52115,3.21815,3.33498,0.42838,0.33312,0.28058,0.11987,2.55807,3.03556,3.52027,0.00155148,0.00155148,0.00155148
9,167.405,2.52835,3.11328,3.3272,0.35646,0.31963,0.36045,0.15826,2.5049,2.75391,3.4889,0.00153497,0.00153497,0.00153497
10,178.927,2.47144,2.85273,3.26924,0.36252,0.35929,0.36535,0.16532,2.48324,2.76446,3.44565,0.00151847,0.00151847,0.00151847
11,190.405,2.42083,2.81664,3.18434,0.36332,0.40895,0.35237,0.15006,2.41314,2.70028,3.39081,0.00150197,0.00150197,0.00150197
12,201.873,2.29593,2.74191,3.09355,0.38416,0.46697,0.42852,0.18233,2.31652,2.55003,3.35046,0.00148546,0.00148546,0.00148546
13,213.349,2.27873,2.64308,3.08625,0.33059,0.39542,0.38095,0.19349,2.28592,2.58619,3.22559,0.00146896,0.00146896,0.00146896
14,224.83,2.22938,2.48944,3.01862,0.36496,0.55544,0.42871,0.2179,2.1963,2.50966,3.19433,0.00145246,0.00145246,0.00145246
15,236.338,2.21014,2.47855,2.99526,0.42535,0.53816,0.51971,0.2587,2.18379,2.38334,3.27203,0.00143595,0.00143595,0.00143595
16,247.794,2.14262,2.41511,3.00388,0.48944,0.54441,0.52849,0.28373,2.12118,2.46256,3.19307,0.00141945,0.00141945,0.00141945
17,259.276,2.08819,2.36433,2.9744,0.60062,0.60759,0.58665,0.29026,2.10812,2.32691,3.19242,0.00140295,0.00140295,0.00140295
18,270.761,2.01971,2.25859,2.89864,0.5427,0.52289,0.58011,0.31681,2.14792,2.2417,3.18605,0.00138644,0.00138644,0.00138644
19,282.248,2.10119,2.24732,2.91279,0.65008,0.55205,0.6169,0.32412,2.02846,2.22511,3.0309,0.00136994,0.00136994,0.00136994
20,293.696,2.00632,2.16342,2.9245,0.61862,0.55468,0.59891,0.32779,2.0376,2.21906,3.13482,0.00135344,0.00135344,0.00135344
21,305.193,2.00067,2.10041,2.84272,0.61553,0.55283,0.61905,0.33642,2.03581,2.10627,3.1604,0.00133693,0.00133693,0.00133693
