epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.0142,3.68828,3.80432,4.10608,0,0,0,0,3.95965,4.15287,4.25376,0.000546249,0.000546249,0.000546249
2,74.66,3.38649,3.08269,3.41898,0.03051,0.28392,0.04509,0.01919,3.51638,3.71097,3.66756,0.00109101,0.00109101,0.00109101
3,80.9805,2.99631,2.88231,3.05295,0.06906,0.06922,0.04055,0.01242,3.14966,19.5536,4.31802,0.00162476,0.00162476,0.00162476
4,87.1098,2.77505,2.72042,3.02393,0.11927,0.26491,0.0706,0.01741,3.00535,3.48779,4.6942,0.00161749,0.00161749,0.00161749
5,93.0579,2.78383,2.51903,2.8253,0.24341,0.29105,0.19668,0.0944,2.70992,2.93917,3.21774,0.00160099,0.00160099,0.00160099
6,98.8189,2.72681,2.32847,2.73287,0.26963,0.38033,0.30642,0.15685,2.69539,2.98099,3.17101,0.00158448,0.00158448,0.00158448
7,104.659,2.62382,2.33107,2.68403,0.30441,0.35613,0.23173,0.10286,2.65447,2.65127,2.98231,0.00156798,0.00156798,0.00156798
8,110.654,2.59371,2.20778,2.60512,0.40681,0.52201,0.39339,0.19625,2.4438,2.46073,2.90321,0.00155148,0.00155148,0.00155148
9,117.438,2.48205,2.01949,2.50039,0.45068,0.48242,0.43366,0.21209,2.41937,2.36227,2.82777,0.00153497,0.00153497,0.00153497
10,124.173,2.52246,2.04058,2.58825,0.47178,0.61228,0.59944,0.30663,2.21835,2.05697,2.71198,0.00151847,0.00151847,0.00151847
11,129.718,2.40727,2.00626,2.52897,0.36436,0.58124,0.52992,0.28124,2.20217,2.27666,2.67999,0.00150197,0.00150197,0.00150197
12,135.113,2.31241,1.98576,2.54061,0.51486,0.49006,0.46011,0.21696,2.35465,3.01448,2.85653,0.00148546,0.00148546,0.00148546
13,140.527,2.24161,1.93533,2.52474,0.658,0.63517,0.68709,0.37394,1.99315,1.83003,2.60636,0.00146896,0.00146896,0.00146896
14,145.906,2.08307,1.8782,2.46799,0.69207,0.63125,0.69161,0.39503,1.96649,1.74589,2.59358,0.00145246,0.00145246,0.00145246
15,151.336,2.1583,1.76623,2.4,0.52545,0.65144,0.66709,0.35969,2.03452,2.0069,2.60646,0.00143595,0.00143595,0.00143595
16,156.939,2.10133,1.70854,2.36296,0.6927,0.73081,0.74276,0.42982,1.8494,1.72545,2.50907,0.00141945,0.00141945,0.00141945
17,162.337,2.02889,1.5711,2.26386,0.66174,0.59396,0.64531,0.34399,2.14609,1.81611,2.69692,0.00140295,0.00140295,0.00140295
18,167.743,2.01023,1.69474,2.35327,0.71197,0.72245,0.78917,0.46404,1.79036,1.76187,2.4771,0.00138644,0.00138644,0.00138644
19,173.114,1.94754,1.57698,2.26105,0.70947,0.74209,0.79841,0.48223,1.68589,1.59472,2.42196,0.00136994,0.00136994,0.00136994
20,178.475,1.93018,1.54942,2.20747,0.74098,0.63306,0.72553,0.40953,1.88995,1.6154,2.56688,0.00135344,0.00135344,0.00135344
21,183.844,1.92369,1.55768,2.22318,0.75475,0.74886,0.81021,0.4906,1.71527,1.57363,2.48801,0.00133693,0.00133693,0.00133693
22,189.245,1.88466,1.52213,2.23238,0.72582,0.67368,0.73358,0.41343,1.89992,1.99901,2.47923,0.00132043,0.00132043,0.00132043
23,194.669,1.84327,1.4801,2.17374,0.7761,0.71423,0.78905,0.4974,1.65957,1.51853,2.38751,0.00130393,0.00130393,0.00130393
24,200.065,1.77362,1.47093,2.19193,0.73091,0.66192,0.7139,0.40606,1.83153,1.51162,2.39745,0.00128742,0.00128742,0.00128742
25,205.421,1.80615,1.51433,2.1765,0.77208,0.77813,0.82825,0.51299,1.69785,1.53387,2.4355,0.00127092,0.00127092,0.00127092
26,210.84,1.78953,1.4107,2.15855,0.80371,0.71117,0.81566,0.51093,1.72691,1.55073,2.47181,0.00125442,0.00125442,0.00125442
27,216.211,1.75643,1.44932,2.22122,0.77408,0.75036,0.8272,0.51623,1.61474,1.41373,2.29397,0.00123791,0.00123791,0.00123791
28,221.572,1.70797,1.39919,2.13019,0.82893,0.74825,0.84011,0.54371,1.5475,1.37022,2.30658,0.00122141,0.00122141,0.00122141
29,226.97,1.71639,1.3615,2.1057,0.82449,0.79954,0.86126,0.54837,1.52937,1.40326,2.27515,0.00120491,0.00120491,0.00120491
30,232.34,1.64238,1.37731,2.0841,0.79953,0.76506,0.82815,0.53192,1.59378,1.42343,2.29344,0.0011884,0.0011884,0.0011884
31,237.714,1.72964,1.39299,2.13132,0.79591,0.7975,0.8458,0.54942,1.5013,1.33557,2.25063,0.0011719,0.0011719,0.0011719
32,243.087,1.69362,1.33191,2.07108,0.82339,0.8139,0.86939,0.5925,1.43865,1.28072,2.2258,0.0011554,0.0011554,0.0011554
33,248.571,1.62969,1.29122,2.01672,0.82053,0.7554,0.84924,0.55717,1.5865,1.44526,2.32655,0.00113889,0.00113889,0.00113889
34,254.114,1.63647,1.27865,2.08413,0.85195,0.80086,0.88649,0.58881,1.47282,1.32877,2.19712,0.00112239,0.00112239,0.00112239
35,259.463,1.63955,1.28304,2.01615,0.83527,0.78012,0.86224,0.57902,1.49377,1.29884,2.30256,0.00110589,0.00110589,0.00110589
36,264.82,1.63275,1.28992,2.09802,0.82542,0.81145,0.87858,0.59057,1.44345,1.34241,2.18086,0.00108938,0.00108938,0.00108938
37,270.197,1.70572,1.34421,2.15059,0.79251,0.78708,0.84446,0.54967,1.55401,1.29986,2.24421,0.00107288,0.00107288,0.00107288
38,275.554,1.586,1.25073,2.03125,0.85329,0.80121,0.86952,0.5762,1.46349,1.27458,2.23372,0.00105638,0.00105638,0.00105638
39,280.928,1.6087,1.27584,2.06513,0.84373,0.8019,0.87705,0.59132,1.43507,1.23711,2.18912,0.00103987,0.00103987,0.00103987
40,286.279,1.51473,1.19637,1.99079,0.83868,0.79634,0.87292,0.58423,1.46123,1.27623,2.24314,0.00102337,0.00102337,0.00102337
41,291.624,1.52222,1.19279,2.01935,0.84816,0.82331,0.90207,0.61651,1.40279,1.24402,2.20863,0.00100687,0.00100687,0.00100687
42,297.027,1.51838,1.17455,1.98816,0.83641,0.83373,0.89231,0.61951,1.35226,1.22244,2.1376,0.000990365,0.000990365,0.000990365
43,302.395,1.48664,1.24815,1.97468,0.82316,0.82548,0.88566,0.6208,1.39231,1.2389,2.18021,0.000973861,0.000973861,0.000973861
44,307.777,1.52519,1.26935,2.01668,0.8438,0.83171,0.89173,0.62589,1.36813,1.22916,2.14497,0.000957358,0.000957358,0.000957358
45,313.652,1.50689,1.18737,1.93449,0.81295,0.80829,0.87895,0.60937,1.38031,1.24454,2.18836,0.000940855,0.000940855,0.000940855
46,319.156,1.46821,1.15418,2.00157,0.84593,0.84162,0.89672,0.61046,1.37588,1.41104,2.19269,0.000924352,0.000924352,0.000924352
47,324.559,1.53432,1.20108,1.9855,0.83482,0.83013,0.88518,0.61171,1.34291,1.18107,2.13987,0.000907848,0.000907848,0.000907848
48,329.927,1.54415,1.21206,2.1006,0.8259,0.84602,0.87986,0.61573,1.38219,1.15995,2.12236,0.000891345,0.000891345,0.000891345
49,335.289,1.48475,1.1213,1.93462,0.85077,0.80717,0.88411,0.60833,1.38917,1.20514,2.11892,0.000874842,0.000874842,0.000874842
50,340.661,1.46745,1.17636,2.01318,0.88492,0.81257,0.89331,0.6332,1.30307,1.20086,2.14401,0.000858338,0.000858338,0.000858338
51,346.038,1.418,1.15547,1.94203,0.82925,0.81652,0.89455,0.62386,1.37857,1.24951,2.11831,0.000841835,0.000841835,0.000841835
52,351.407,1.44238,1.08508,1.88122,0.85503,0.83188,0.89015,0.6235,1.35486,1.16591,2.18127,0.000825332,0.000825332,0.000825332
53,356.785,1.42268,1.10656,1.96484,0.84178,0.84656,0.90511,0.63967,1.33091,1.14208,2.12518,0.000808828,0.000808828,0.000808828
54,362.155,1.48008,1.09284,1.91311,0.8701,0.83646,0.90392,0.64203,1.30037,1.10324,2.08535,0.000792325,0.000792325,0.000792325
55,367.567,1.41754,1.10251,1.87714,0.85303,0.82535,0.89245,0.63577,1.32075,1.13901,2.15742,0.000775822,0.000775822,0.000775822
56,372.927,1.41115,1.09771,1.90756,0.8479,0.8392,0.90013,0.63401,1.32745,1.11005,2.09924,0.000759318,0.000759318,0.000759318
57,378.294,1.4092,1.10285,1.90794,0.85064,0.84063,0.90376,0.63968,1.31468,1.17178,2.14347,0.000742815,0.000742815,0.000742815
58,383.691,1.39931,1.07482,1.9321,0.86167,0.84622,0.89604,0.62899,1.34874,1.09245,2.0716,0.000726312,0.000726312,0.000726312
59,389.053,1.41707,1.0823,1.91847,0.86421,0.83676,0.89907,0.64313,1.28808,1.10071,2.10766,0.000709809,0.000709809,0.000709809
60,394.414,1.43489,1.11628,1.9367,0.87919,0.83469,0.91354,0.6503,1.31971,1.15592,2.13972,0.000693305,0.000693305,0.000693305
61,399.807,1.39669,1.10033,1.92382,0.84291,0.84768,0.90091,0.64515,1.27312,1.08119,2.07025,0.000676802,0.000676802,0.000676802
62,405.174,1.36901,1.02238,1.86138,0.83821,0.85318,0.90454,0.64781,1.29438,1.10428,2.07664,0.000660299,0.000660299,0.000660299
63,410.551,1.38118,1.062,1.88383,0.86543,0.85958,0.90822,0.64253,1.29175,1.07309,2.06948,0.000643795,0.000643795,0.000643795
64,415.909,1.38019,1.03961,1.85082,0.86842,0.85722,0.9045,0.64985,1.2885,1.03723,2.06557,0.000627292,0.000627292,0.000627292
65,421.232,1.39728,1.10448,1.89141,0.85817,0.8397,0.90167,0.64227,1.33158,1.09097,2.14926,0.000610789,0.000610789,0.000610789
66,426.628,1.3588,1.03306,1.79379,0.85124,0.85288,0.90549,0.63583,1.31457,1.06284,2.04962,0.000594286,0.000594286,0.000594286
67,431.973,1.42155,1.08781,1.92949,0.85162,0.87222,0.90498,0.66089,1.25982,1.02673,2.08697,0.000577782,0.000577782,0.000577782
68,437.343,1.38695,1.06237,1.86772,0.85106,0.8656,0.90686,0.65553,1.29702,1.0583,2.07194,0.000561279,0.000561279,0.000561279
69,442.746,1.31051,1.01109,1.80272,0.8616,0.85086,0.90841,0.6399,1.28893,1.04468,2.05059,0.000544776,0.000544776,0.000544776
70,448.123,1.37637,1.06921,1.92858,0.84935,0.88877,0.91564,0.65974,1.26396,1.06199,2.05197,0.000528272,0.000528272,0.000528272
71,453.486,1.3505,1.05465,1.88729,0.86802,0.86131,0.91578,0.66104,1.27863,1.03573,2.05744,0.000511769,0.000511769,0.000511769
72,458.897,1.37076,1.05191,1.90473,0.8538,0.86889,0.91583,0.65563,1.27347,1.02797,2.04559,0.000495266,0.000495266,0.000495266
73,464.284,1.32061,1.01654,1.84983,0.86308,0.86778,0.91288,0.65963,1.23827,1.00694,2.00976,0.000478762,0.000478762,0.000478762
74,469.697,1.31541,0.99309,1.80285,0.86997,0.87359,0.91682,0.66012,1.25242,1.01705,2.04444,0.000462259,0.000462259,0.000462259
75,475.097,1.30874,0.96339,1.78219,0.86338,0.8695,0.91419,0.66098,1.26359,1.03285,2.0656,0.000445756,0.000445756,0.000445756
76,480.466,1.29068,0.97293,1.88184,0.86331,0.86293,0.91967,0.66346,1.25592,1.03342,2.07085,0.000429253,0.000429253,0.000429253
77,485.883,1.32184,1.03416,1.82093,0.87279,0.85712,0.91904,0.67299,1.2383,1.0228,2.05471,0.000412749,0.000412749,0.000412749
78,491.28,1.28855,0.98585,1.78446,0.86643,0.83765,0.91584,0.66091,1.24653,1.02268,2.02984,0.000396246,0.000396246,0.000396246
79,496.685,1.29261,0.96041,1.79355,0.86836,0.84884,0.91214,0.66459,1.22749,1.01892,2.01963,0.000379743,0.000379743,0.000379743
80,502.057,1.32956,1.02305,1.86459,0.87308,0.84524,0.91144,0.66531,1.2624,1.01193,2.02546,0.000363239,0.000363239,0.000363239
81,507.429,1.3431,1.03517,1.83896,0.86364,0.86587,0.91408,0.67359,1.20873,1.02296,2.0496,0.000346736,0.000346736,0.000346736
82,512.841,1.33723,1.0237,1.83749,0.85833,0.8667,0.90868,0.66501,1.24304,1.02043,2.01911,0.000330233,0.000330233,0.000330233
83,518.202,1.26424,0.95427,1.83547,0.87255,0.86549,0.92023,0.68037,1.23003,1.02241,2.06089,0.000313729,0.000313729,0.000313729
84,523.613,1.27545,0.99054,1.72746,0.8414,0.87567,0.91145,0.66386,1.23247,1.03814,1.9954,0.000297226,0.000297226,0.000297226
85,529.023,1.31293,0.98835,1.86547,0.8641,0.87192,0.91981,0.67594,1.21924,0.99898,2.0306,0.000280723,0.000280723,0.000280723
86,534.39,1.25816,0.93149,1.79457,0.87821,0.86925,0.91952,0.67759,1.20796,0.97689,2.00924,0.00026422,0.00026422,0.00026422
87,539.786,1.2463,0.9682,1.84328,0.87863,0.86108,0.91909,0.67957,1.20417,0.97418,2.01724,0.000247716,0.000247716,0.000247716
88,545.172,1.30669,0.96484,1.80512,0.8752,0.85446,0.92012,0.67404,1.21739,1.01473,2.00502,0.000231213,0.000231213,0.000231213
89,550.536,1.29892,0.97177,1.83511,0.86366,0.87064,0.91684,0.67148,1.21531,1.00518,2.00912,0.00021471,0.00021471,0.00021471
90,555.95,1.2669,0.91555,1.7883,0.88389,0.85103,0.9179,0.67406,1.2047,0.99992,2.01179,0.000198206,0.000198206,0.000198206
91,564.421,1.2253,0.93088,1.86921,0.86723,0.86323,0.9172,0.66832,1.20986,1.00131,1.98538,0.000181703,0.000181703,0.000181703
92,571.323,1.20749,0.91096,1.86148,0.87919,0.86769,0.91662,0.66699,1.22199,0.97521,2.00626,0.0001652,0.0001652,0.0001652
93,577.998,1.22062,0.94742,1.80569,0.86405,0.8576,0.91362,0.6669,1.20391,0.99208,2.02344,0.000148696,0.000148696,0.000148696
94,584.717,1.21807,0.9424,1.81907,0.87653,0.86514,0.91777,0.67561,1.19239,0.96825,2.01587,0.000132193,0.000132193,0.000132193
95,591.497,1.23057,0.95226,1.9014,0.86904,0.88039,0.91975,0.67587,1.18724,0.96753,2.01144,0.00011569,0.00011569,0.00011569
96,598.287,1.22847,0.9223,1.86395,0.87927,0.85946,0.91631,0.67165,1.19576,0.96618,1.99711,9.91865e-05,9.91865e-05,9.91865e-05
97,605.016,1.22786,0.91912,1.81821,0.86117,0.86711,0.91383,0.67137,1.20202,0.97494,2.01331,8.26832e-05,8.26832e-05,8.26832e-05
98,611.765,1.22341,0.91694,1.83906,0.87241,0.86593,0.91888,0.6771,1.19374,0.96245,2.00373,6.61799e-05,6.61799e-05,6.61799e-05
99,618.433,1.20715,0.90448,1.82207,0.86692,0.86631,0.91871,0.67635,1.19572,0.96224,1.99527,4.96766e-05,4.96766e-05,4.96766e-05
100,623.654,1.21528,0.94016,1.87837,0.87748,0.86262,0.9195,0.67728,1.1982,0.96552,1.99832,3.31733e-05,3.31733e-05,3.31733e-05
