epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.5317,3.39557,4.20044,4.35647,0,0,0,0,3.39334,4.3333,4.23733,0.000546249,0.000546249,0.000546249
2,87.8434,3.03522,3.61591,3.76103,0.01825,0.14259,0.01325,0.00575,3.35581,4.08009,4.16694,0.00109101,0.00109101,0.00109101
3,99.8479,2.85372,3.3433,3.49548,0.53676,0.03704,0.03067,0.0081,3.28837,11.2618,6.16055,0.00162476,0.00162476,0.00162476
4,111.91,2.76211,3.12781,3.38022,0.14915,0.15329,0.08764,0.02576,3.07257,6.21415,3.98116,0.00161749,0.00161749,0.00161749
5,123.92,2.65363,2.88301,3.26251,0.21162,0.26931,0.15264,0.04818,2.79483,3.76173,3.76178,0.00160099,0.00160099,0.00160099
6,135.894,2.61952,2.67022,3.27301,0.39837,0.45637,0.3936,0.15498,2.60444,2.66504,3.49987,0.00158448,0.00158448,0.00158448
7,147.862,2.4888,2.55014,3.19006,0.22976,0.44864,0.23178,0.08106,2.57576,4.0895,3.3921,0.00156798,0.00156798,0.00156798
8,159.859,2.413,2.49109,3.16603,0.76759,0.30917,0.38928,0.16677,2.40487,4.3397,3.34472,0.00155148,0.00155148,0.00155148
9,171.809,2.38926,2.48982,3.15126,0.4227,0.5818,0.41886,0.2006,2.39561,2.86056,3.30316,0.00153497,0.00153497,0.00153497
10,183.777,2.38269,2.28541,3.11111,0.54079,0.59306,0.56378,0.26831,2.37618,2.09512,3.24212,0.00151847,0.00151847,0.00151847
11,195.68,2.26405,2.25421,3.05301,0.43126,0.60152,0.46858,0.20139,2.21717,2.4888,3.3015,0.00150197,0.00150197,0.00150197
12,207.574,2.24393,2.14043,3.02723,0.49,0.57932,0.59081,0.29668,2.15587,2.1793,3.23267,0.00148546,0.00148546,0.00148546
13,219.555,2.20538,2.03059,2.94479,0.58225,0.63257,0.67789,0.33911,2.14874,2.13799,3.16004,0.00146896,0.00146896,0.00146896
14,231.478,2.07809,1.93145,2.93177,0.60119,0.64426,0.62314,0.31479,2.12414,2.19655,3.16073,0.00145246,0.00145246,0.00145246
15,243.377,2.03781,1.88342,2.85396,0.57156,0.6283,0.62859,0.29618,2.0365,1.99537,3.2431,0.00143595,0.00143595,0.00143595
16,255.237,1.99217,1.89994,2.94117,0.61765,0.72172,0.76643,0.41354,1.89506,1.85528,3.00988,0.00141945,0.00141945,0.00141945
17,267.152,1.96996,1.78834,2.84264,0.6592,0.70527,0.7103,0.41691,1.8449,1.84677,2.96807,0.00140295,0.00140295,0.00140295
18,279.057,1.90823,1.68148,2.7733,0.76032,0.73179,0.78617,0.47616,1.80501,1.73453,2.94552,0.00138644,0.00138644,0.00138644
19,291.007,1.91671,1.75838,2.78326,0.75246,0.67652,0.74296,0.43993,1.8601,1.88239,3.02251,0.00136994,0.00136994,0.00136994
20,302.888,1.86448,1.66658,2.73782,0.76187,0.72945,0.80568,0.4781,1.83285,1.71115,2.94719,0.00135344,0.00135344,0.00135344
21,314.836,1.80862,1.57835,2.6744,0.76822,0.73206,0.79378,0.46164,1.79619,1.68468,2.98704,0.00133693,0.00133693,0.00133693
22,326.684,1.73434,1.5717,2.69737,0.78208,0.75013,0.81897,0.50069,1.72966,1.64973,2.89613,0.00132043,0.00132043,0.00132043
23,338.676,1.74149,1.55312,2.75224,0.77596,0.76511,0.83516,0.50243,1.68397,1.65279,2.83723,0.00130393,0.00130393,0.00130393
24,350.607,1.76391,1.56091,2.63068,0.77587,0.77309,0.82246,0.53074,1.59391,1.56239,2.77339,0.00128742,0.00128742,0.00128742
25,362.539,1.65448,1.52794,2.58468,0.8309,0.80015,0.8645,0.55929,1.60227,1.49903,2.86742,0.00127092,0.00127092,0.00127092
26,374.496,1.67105,1.42975,2.58501,0.82359,0.76687,0.8452,0.55637,1.59697,1.56157,2.85921,0.00125442,0.00125442,0.00125442
27,386.378,1.70019,1.4541,2.57436,0.81947,0.79741,0.85399,0.55571,1.58782,1.46946,2.79565,0.00123791,0.00123791,0.00123791
28,398.283,1.58703,1.37606,2.51028,0.81162,0.7841,0.86224,0.58256,1.53357,1.68626,2.7288,0.00122141,0.00122141,0.00122141
29,410.229,1.62027,1.37141,2.52671,0.79109,0.84026,0.86987,0.54535,1.51932,1.38664,2.69425,0.00120491,0.00120491,0.00120491
30,422.103,1.61277,1.40284,2.48297,0.83475,0.79397,0.86651,0.57609,1.50973,1.50444,2.75708,0.0011884,0.0011884,0.0011884
31,434.011,1.55732,1.38621,2.51454,0.84232,0.81201,0.86486,0.56855,1.5241,1.43862,2.68562,0.0011719,0.0011719,0.0011719
32,445.922,1.57388,1.29105,2.48654,0.86778,0.80147,0.87177,0.5917,1.50802,1.40109,2.65066,0.0011554,0.0011554,0.0011554
33,457.842,1.5542,1.30277,2.5152,0.83839,0.81299,0.86811,0.58747,1.49877,1.38492,2.61744,0.00113889,0.00113889,0.00113889
34,469.731,1.5742,1.28818,2.47129,0.84067,0.79643,0.86931,0.56682,1.56849,1.38733,2.61006,0.00112239,0.00112239,0.00112239
