epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.3019,3.43327,3.80706,4.27378,0,0,0,0,3.38664,4.25303,4.2279,0.000546249,0.000546249,0.000546249
2,87.7619,3.15765,3.11318,3.65632,0.01076,0.18333,0.02051,0.00598,3.09079,4.3654,3.90965,0.00109101,0.00109101,0.00109101
3,99.7896,2.83177,2.95332,3.27401,0.16127,0.10698,0.09209,0.03584,2.7289,3.63886,3.70403,0.00162476,0.00162476,0.00162476
4,111.76,2.66489,2.84373,3.20199,0.24886,0.42839,0.1953,0.08439,2.8292,4.15704,4.80428,0.00161749,0.00161749,0.00161749
5,123.773,2.64903,2.65219,3.07665,0.2624,0.36934,0.25203,0.09471,2.57254,2.81119,3.39193,0.00160099,0.00160099,0.00160099
6,135.708,2.61461,2.47219,2.95295,0.31798,0.4578,0.38543,0.15888,2.5807,2.72139,3.31832,0.00158448,0.00158448,0.00158448
7,147.694,2.48179,2.46342,2.93492,0.3966,0.50898,0.43503,0.21317,2.4401,2.50717,3.28653,0.00156798,0.00156798,0.00156798
8,159.738,2.38928,2.30199,2.79743,0.51464,0.46736,0.4509,0.20403,2.29737,2.68485,3.19579,0.00155148,0.00155148,0.00155148
9,171.696,2.29389,2.07311,2.7224,0.61677,0.59476,0.59297,0.28852,2.25016,2.64812,3.19687,0.00153497,0.00153497,0.00153497
10,183.664,2.32872,2.10058,2.82096,0.64268,0.6326,0.66619,0.34171,2.15813,2.13193,3.17493,0.00151847,0.00151847,0.00151847
11,195.689,2.19568,2.07528,2.69433,0.64878,0.54236,0.59581,0.30274,2.25541,2.30928,3.1224,0.00150197,0.00150197,0.00150197
12,207.595,2.2141,2.03618,2.74571,0.73659,0.62487,0.6913,0.37854,2.23164,2.13485,3.17261,0.00148546,0.00148546,0.00148546
13,219.611,2.10358,1.98827,2.66037,0.66951,0.5726,0.62913,0.33222,2.14329,2.37451,3.13047,0.00146896,0.00146896,0.00146896
14,231.534,2.01293,1.94083,2.65679,0.68011,0.60105,0.68885,0.38452,1.98501,2.90727,2.98199,0.00145246,0.00145246,0.00145246
15,243.525,1.96173,1.77551,2.5452,0.75519,0.68885,0.77422,0.42812,1.97428,1.83458,2.94968,0.00143595,0.00143595,0.00143595
16,255.536,1.9179,1.71522,2.49898,0.73665,0.62923,0.74277,0.43221,1.94516,2.52385,2.95985,0.00141945,0.00141945,0.00141945
17,267.5,1.88853,1.67027,2.44463,0.77179,0.67878,0.75925,0.43177,1.961,1.75977,2.84676,0.00140295,0.00140295,0.00140295
18,279.494,1.84864,1.65086,2.45836,0.76247,0.67894,0.77498,0.44937,1.86131,1.84302,2.88832,0.00138644,0.00138644,0.00138644
19,291.477,1.78742,1.61091,2.37003,0.75475,0.74991,0.82319,0.46453,1.78955,1.71381,2.74383,0.00136994,0.00136994,0.00136994
20,303.42,1.74864,1.54936,2.34672,0.83612,0.71314,0.81702,0.50676,1.82466,1.76055,2.77067,0.00135344,0.00135344,0.00135344
21,315.406,1.75143,1.5506,2.39017,0.84399,0.72411,0.83525,0.54247,1.69706,1.57089,2.88341,0.00133693,0.00133693,0.00133693
22,327.395,1.74604,1.52118,2.36405,0.75335,0.68748,0.78831,0.50246,1.66157,2.0183,2.73219,0.00132043,0.00132043,0.00132043
23,339.352,1.65748,1.44051,2.29581,0.80028,0.77167,0.84691,0.55391,1.63774,1.57224,2.63759,0.00130393,0.00130393,0.00130393
24,351.341,1.64158,1.43161,2.30763,0.80446,0.78434,0.85416,0.562,1.60619,1.5015,2.63911,0.00128742,0.00128742,0.00128742
25,363.314,1.61357,1.43931,2.30055,0.81239,0.80578,0.86698,0.56338,1.55963,1.45887,2.56339,0.00127092,0.00127092,0.00127092
26,375.365,1.64787,1.40628,2.27226,0.81319,0.78621,0.86149,0.55607,1.66039,1.59783,2.76084,0.00125442,0.00125442,0.00125442
27,387.297,1.6219,1.42838,2.28132,0.86881,0.77064,0.87326,0.57523,1.54391,1.4011,2.58252,0.00123791,0.00123791,0.00123791
28,399.268,1.61934,1.39824,2.24881,0.80277,0.75068,0.83029,0.54877,1.60751,1.53977,2.73138,0.00122141,0.00122141,0.00122141
29,411.222,1.60756,1.37354,2.24147,0.83187,0.77454,0.87483,0.55813,1.62709,1.40406,2.61242,0.00120491,0.00120491,0.00120491
30,423.163,1.59677,1.39517,2.22732,0.85285,0.75426,0.85777,0.57158,1.53906,1.43009,2.57205,0.0011884,0.0011884,0.0011884
31,435.119,1.57485,1.37464,2.1858,0.82141,0.79658,0.87085,0.56079,1.57527,1.36437,2.58983,0.0011719,0.0011719,0.0011719
32,447.04,1.60134,1.30426,2.19456,0.85458,0.79013,0.87897,0.58864,1.51249,1.41082,2.62857,0.0011554,0.0011554,0.0011554
33,459.026,1.54139,1.27258,2.12993,0.85857,0.78766,0.88422,0.58488,1.47094,1.30902,2.5184,0.00113889,0.00113889,0.00113889
34,471.028,1.54119,1.23523,2.15949,0.78814,0.76946,0.88113,0.57021,1.56639,1.39082,2.61917,0.00112239,0.00112239,0.00112239
35,482.947,1.54058,1.26768,2.13739,0.8454,0.77447,0.8854,0.59629,1.48936,1.3597,2.56683,0.00110589,0.00110589,0.00110589
36,494.921,1.48586,1.25235,2.15069,0.79751,0.7911,0.8856,0.56005,1.59863,1.43583,2.59135,0.00108938,0.00108938,0.00108938
37,506.865,1.59899,1.37345,2.23954,0.85704,0.78874,0.89753,0.60463,1.46933,1.31636,2.56864,0.00107288,0.00107288,0.00107288
