epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1349,3.27243,4.15382,4.16797,0.00071,0.0037,0.00036,7e-05,3.4006,4.19354,4.25888,0.000546249,0.000546249,0.000546249
2,134.237,2.94696,3.48018,3.68895,0.05033,0.1874,0.03634,0.01285,nan,nan,nan,0.00109101,0.00109101,0.00109101
3,169.9,2.77905,3.22843,3.49191,0.12023,0.46704,0.08,0.02182,2.85977,4.48142,3.96184,0.00162476,0.00162476,0.00162476
4,205.49,2.71125,3.11542,3.38462,0.18054,0.29406,0.1241,0.0352,2.72933,3.09358,3.68565,0.00161749,0.00161749,0.00161749
5,241.14,2.63682,2.88415,3.29516,0.18435,0.33736,0.15662,0.05084,2.58541,3.56058,3.53468,0.00160099,0.00160099,0.00160099
6,276.708,2.58643,2.79298,3.23803,0.27986,0.32951,0.20133,0.06415,2.53179,2.92771,3.35695,0.00158448,0.00158448,0.00158448
7,312.334,2.45168,2.7252,3.14993,0.36746,0.30166,0.22925,0.0862,2.48638,3.35371,3.37382,0.00156798,0.00156798,0.00156798
8,347.918,2.38568,2.73186,3.11105,0.24576,0.36897,0.20797,0.08054,2.29636,2.59119,3.23134,0.00155148,0.00155148,0.00155148
9,383.278,2.46795,2.70236,3.1394,0.23079,0.45986,0.19212,0.07889,2.25037,3.70151,3.20493,0.00153497,0.00153497,0.00153497
10,418.598,2.43062,2.52317,3.12898,0.23627,0.47636,0.22706,0.09175,2.3185,2.44478,3.20546,0.00151847,0.00151847,0.00151847
11,454.198,2.40328,2.56765,3.08301,0.36829,0.39903,0.30049,0.12476,2.35257,2.70951,3.25187,0.00150197,0.00150197,0.00150197
12,489.77,2.29604,2.51628,3.0347,0.37092,0.48405,0.2983,0.12114,2.16896,2.51807,3.14342,0.00148546,0.00148546,0.00148546
13,525.099,2.30619,2.35531,3.00609,0.47803,0.52153,0.46071,0.23445,2.06919,2.24365,3.12189,0.00146896,0.00146896,0.00146896
