epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7669,3.30069,3.67325,4.07099,0.00536,0.02407,0.00283,0.00064,3.40017,4.20368,4.29628,0.000546249,0.000546249,0.000546249
2,136.291,3.03126,2.95015,3.53702,0.19633,0.38507,0.15681,0.05514,2.97094,13.8469,4.186,0.00109101,0.00109101,0.00109101
3,172.83,2.73475,2.92475,3.25741,0.2844,0.28963,0.1836,0.06562,2.71739,3.64187,3.74466,0.00162476,0.00162476,0.00162476
4,209.567,2.6441,2.87519,3.22133,0.27205,0.4045,0.19095,0.06295,2.54861,3.98526,3.65535,0.00161749,0.00161749,0.00161749
5,245.669,2.61115,2.7319,3.06697,0.33917,0.32646,0.20872,0.06677,2.76489,3.97331,3.63339,0.00160099,0.00160099,0.00160099
6,282.179,2.59231,2.46791,2.99605,0.42164,0.4837,0.36584,0.17156,2.49764,2.93421,3.38787,0.00158448,0.00158448,0.00158448
7,318.821,2.45398,2.51413,2.94232,0.33999,0.34725,0.31585,0.1263,2.61163,4.4915,3.52145,0.00156798,0.00156798,0.00156798
8,354.93,2.36469,2.32892,2.80153,0.28379,0.50702,0.24222,0.09954,2.33708,13.018,4.046,0.00155148,0.00155148,0.00155148
9,391.416,2.26118,2.12196,2.7291,0.31827,0.64799,0.5352,0.16193,2.32932,4.09769,3.16215,0.00153497,0.00153497,0.00153497
10,428.4,2.29242,2.13629,2.7627,0.61774,0.62169,0.6739,0.3437,2.0513,2.07213,2.93882,0.00151847,0.00151847,0.00151847
11,465.117,2.17646,2.07744,2.66662,0.64041,0.62039,0.66396,0.36808,2.00252,2.43642,2.94728,0.00150197,0.00150197,0.00150197
12,502.065,2.14735,1.98569,2.71222,0.48924,0.59268,0.61929,0.30733,2.13618,2.28083,3.04994,0.00148546,0.00148546,0.00148546
13,538.177,2.01413,2.0072,2.63886,0.77607,0.63497,0.74726,0.44563,1.82441,2.20832,2.90689,0.00146896,0.00146896,0.00146896
14,574.693,1.96158,1.98847,2.63884,0.69975,0.5472,0.64601,0.38782,2.00276,2.12403,2.96581,0.00145246,0.00145246,0.00145246
15,611.062,1.88502,1.77388,2.50951,0.74361,0.55521,0.68795,0.40965,1.89793,2.5022,2.94888,0.00143595,0.00143595,0.00143595
16,647.181,1.82534,1.73366,2.46993,0.71322,0.62371,0.77757,0.473,1.73111,1.99213,2.80042,0.00141945,0.00141945,0.00141945
17,684.105,1.78541,1.63395,2.3916,0.80012,0.68033,0.77657,0.49182,1.70148,1.75534,2.7704,0.00140295,0.00140295,0.00140295
18,720.868,1.73317,1.63055,2.4436,0.80118,0.64235,0.79735,0.4743,1.7865,1.95355,2.68764,0.00138644,0.00138644,0.00138644
19,757.087,1.6977,1.6225,2.35461,0.65063,0.71541,0.74616,0.48093,1.60027,1.78692,2.62789,0.00136994,0.00136994,0.00136994
20,793.292,1.67812,1.54861,2.31877,0.85602,0.68792,0.81313,0.52772,1.64331,1.6852,2.65238,0.00135344,0.00135344,0.00135344
21,830.038,1.66601,1.53394,2.32826,0.81379,0.72717,0.82277,0.52804,1.65173,1.72294,2.71895,0.00133693,0.00133693,0.00133693
22,866.52,1.69039,1.51723,2.32906,0.82223,0.66561,0.80139,0.50263,1.66235,2.03298,2.76099,0.00132043,0.00132043,0.00132043
23,902.743,1.62373,1.46062,2.28778,0.76234,0.75401,0.84948,0.54533,1.56569,1.66921,2.58305,0.00130393,0.00130393,0.00130393
24,939.916,1.58292,1.45239,2.27585,0.78807,0.80634,0.86177,0.56761,1.5272,1.47332,2.52836,0.00128742,0.00128742,0.00128742
25,976.856,1.55296,1.44141,2.23683,0.80686,0.81411,0.87233,0.56132,1.52525,1.46063,2.50966,0.00127092,0.00127092,0.00127092
26,1013.05,1.60244,1.40866,2.23018,0.83675,0.75511,0.85508,0.57495,1.5383,1.48885,2.78082,0.00125442,0.00125442,0.00125442
27,1049.54,1.58071,1.44522,2.26709,0.78682,0.78035,0.85104,0.57317,1.45371,1.55101,2.58464,0.00123791,0.00123791,0.00123791
28,1085.61,1.53924,1.38804,2.19233,0.83395,0.7984,0.87626,0.5894,1.47959,1.45612,2.52453,0.00122141,0.00122141,0.00122141
29,1122.08,1.52283,1.35137,2.17072,0.80848,0.79449,0.86371,0.57487,1.48397,1.47631,2.50222,0.00120491,0.00120491,0.00120491
30,1158.28,1.55083,1.35267,2.18663,0.83014,0.76722,0.86701,0.58508,1.47628,1.41205,2.45005,0.0011884,0.0011884,0.0011884
31,1194.57,1.50584,1.32951,2.14301,0.81147,0.81105,0.87188,0.60601,1.39098,1.44316,2.48675,0.0011719,0.0011719,0.0011719
32,1230.93,1.52114,1.30282,2.17431,0.78592,0.84412,0.88012,0.60684,1.39068,1.55487,2.45448,0.0011554,0.0011554,0.0011554
33,1267.51,1.51401,1.29104,2.11355,0.86909,0.7513,0.85743,0.58949,1.43409,1.38756,2.61594,0.00113889,0.00113889,0.00113889
34,1303.65,1.45086,1.21482,2.11048,0.83982,0.77275,0.88244,0.60477,1.41071,1.33263,2.37814,0.00112239,0.00112239,0.00112239
35,1340.24,1.46331,1.26386,2.09669,0.86389,0.82282,0.89164,0.60726,1.48601,1.3679,2.57748,0.00110589,0.00110589,0.00110589
36,1377.15,1.39649,1.20114,2.08097,0.81073,0.81753,0.88486,0.62089,1.398,1.25698,2.48666,0.00108938,0.00108938,0.00108938
37,1414.14,1.52346,1.32281,2.24353,0.84228,0.82528,0.90998,0.62102,1.3823,1.21121,2.37312,0.00107288,0.00107288,0.00107288
38,1450.95,1.41549,1.22568,2.09555,0.82626,0.83916,0.89828,0.6326,1.30378,1.20323,2.35375,0.00105638,0.00105638,0.00105638
39,1487.96,1.44544,1.2633,2.11014,0.85228,0.84323,0.90278,0.6285,1.38612,1.22041,2.47304,0.00103987,0.00103987,0.00103987
40,1524.05,1.39792,1.17449,2.08368,0.85313,0.82385,0.89487,0.63024,1.3316,1.27099,2.52075,0.00102337,0.00102337,0.00102337
41,1560.11,1.41864,1.18981,2.14085,0.80116,0.83191,0.86827,0.60685,1.31037,1.29384,2.31654,0.00100687,0.00100687,0.00100687
42,1596.21,1.38937,1.13854,2.05691,0.85279,0.83539,0.89542,0.61681,1.37585,1.14344,2.35843,0.000990365,0.000990365,0.000990365
43,1632.7,1.3891,1.20085,2.05653,0.87065,0.82148,0.89023,0.63353,1.32021,1.21272,2.42608,0.000973861,0.000973861,0.000973861
44,1669.53,1.40466,1.21681,2.08984,0.87357,0.82592,0.90326,0.62747,1.31564,1.20004,2.45772,0.000957358,0.000957358,0.000957358
45,1705.52,1.38593,1.12774,2.05595,0.81382,0.82983,0.90857,0.66208,1.23802,1.18894,2.28782,0.000940855,0.000940855,0.000940855
46,1741.9,1.40494,1.15308,2.20811,0.86083,0.82047,0.90162,0.65042,1.26651,1.23166,2.4088,0.000924352,0.000924352,0.000924352
47,1777.96,1.44371,1.15397,2.11697,0.84029,0.81661,0.88342,0.62814,1.30958,1.20087,2.33646,0.000907848,0.000907848,0.000907848
48,1814.54,1.3755,1.13913,2.0574,0.83351,0.83059,0.91167,0.63028,1.28123,1.2057,2.36589,0.000891345,0.000891345,0.000891345
49,1850.55,1.38494,1.14323,2.02774,0.8844,0.82211,0.90752,0.64284,1.25304,1.10588,2.2671,0.000874842,0.000874842,0.000874842
50,1886.54,1.35793,1.13494,2.09444,0.87408,0.83909,0.9239,0.64577,1.27734,1.16665,2.3819,0.000858338,0.000858338,0.000858338
51,1922.69,1.3187,1.07888,2.04397,0.86467,0.83132,0.90546,0.65406,1.31345,1.12996,2.29867,0.000841835,0.000841835,0.000841835
