epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9442,3.10879,3.96612,4.12868,0.00325,0.00926,0.00165,0.00049,3.01332,4.3914,4.2497,0.000546249,0.000546249,0.000546249
2,145.596,2.91352,3.34149,3.73332,0.07919,0.57738,0.10504,0.03074,2.8445,3.57979,4.00816,0.00109101,0.00109101,0.00109101
3,187.454,2.75641,3.2016,3.51518,0.17452,0.32092,0.13,0.03307,2.68754,13.9424,4.97552,0.00162476,0.00162476,0.00162476
4,228.968,2.63238,3.06118,3.48269,0.16806,0.35587,0.14557,0.046,2.78895,7.40873,3.9837,0.00161749,0.00161749,0.00161749
5,270.492,2.56878,2.90028,3.35157,0.25602,0.35153,0.2126,0.0688,2.54881,3.02466,3.64559,0.00160099,0.00160099,0.00160099
6,312.009,2.59236,2.71273,3.26713,0.24787,0.38893,0.22187,0.07384,2.39409,2.96902,3.46499,0.00158448,0.00158448,0.00158448
7,353.632,2.4071,2.76947,3.23796,0.33696,0.428,0.27493,0.11019,2.24116,2.71865,3.41585,0.00156798,0.00156798,0.00156798
8,395.139,2.32003,2.57812,3.09754,0.49114,0.47607,0.42428,0.19524,2.2814,2.67524,3.46413,0.00155148,0.00155148,0.00155148
9,436.689,2.25308,2.34164,3.0005,0.44507,0.49145,0.39989,0.16093,2.1051,3.02248,3.36001,0.00153497,0.00153497,0.00153497
10,478.595,2.24916,2.26574,3.06445,0.2135,0.42941,0.25932,0.11135,2.25611,2.79139,3.42126,0.00151847,0.00151847,0.00151847
11,520.025,2.10065,2.22671,2.88711,0.59191,0.54943,0.59328,0.28338,2.16799,2.25279,3.25736,0.00150197,0.00150197,0.00150197
12,561.507,2.09929,2.13013,2.95487,0.53486,0.61285,0.63249,0.31886,1.99372,2.20831,3.17456,0.00148546,0.00148546,0.00148546
13,602.983,1.98749,2.12077,2.86166,0.65309,0.53418,0.59458,0.25703,2.14174,2.23788,3.33316,0.00146896,0.00146896,0.00146896
14,644.449,1.9775,2.09513,2.84106,0.57782,0.55276,0.58187,0.30771,1.91076,2.79996,3.15865,0.00145246,0.00145246,0.00145246
15,685.724,1.84043,1.90603,2.73148,0.75458,0.70458,0.75526,0.45799,1.69302,1.93403,2.97388,0.00143595,0.00143595,0.00143595
16,727.319,1.80007,1.78353,2.67022,0.69989,0.62771,0.73187,0.45724,1.78433,1.93905,3.09777,0.00141945,0.00141945,0.00141945
17,768.842,1.79651,1.72695,2.59121,0.78555,0.6355,0.75957,0.44966,1.80735,2.4407,3.02881,0.00140295,0.00140295,0.00140295
18,810.171,1.72827,1.71059,2.64293,0.69519,0.69125,0.76237,0.46703,1.69297,1.77339,2.97865,0.00138644,0.00138644,0.00138644
19,851.738,1.67991,1.67388,2.51016,0.80223,0.68715,0.8047,0.51409,1.61456,1.71341,2.86829,0.00136994,0.00136994,0.00136994
