epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5652,3.33263,4.53864,4.20688,0,0,0,0,3.40072,4.39834,4.27705,0.000546249,0.000546249,0.000546249
2,115.105,2.95868,3.48679,3.68003,0.09023,0.51192,0.11725,0.0327,3.08506,3.73233,4.17767,0.00109101,0.00109101,0.00109101
3,141.511,2.7346,3.19907,3.48139,0.56454,0.15,0.05819,0.01957,3.24766,11.2844,5.40415,0.00162476,0.00162476,0.00162476
4,167.629,2.68751,3.08111,3.37616,0.53916,0.12963,0.03833,0.01377,3.12261,39.2213,4.25078,0.00161749,0.00161749,0.00161749
5,193.796,2.62486,2.84308,3.27579,0.12876,0.34814,0.09172,0.02933,2.73968,7.52233,3.75951,0.00160099,0.00160099,0.00160099
6,219.949,2.54119,2.73641,3.23672,0.1756,0.316,0.11376,0.04101,2.57443,8.99009,3.48443,0.00158448,0.00158448,0.00158448
7,246.267,2.41574,2.64973,3.14628,0.4691,0.41444,0.39058,0.16242,2.39471,2.48763,3.22964,0.00156798,0.00156798,0.00156798
8,272.598,2.36014,2.54661,3.12409,0.7653,0.28519,0.4297,0.1645,2.29546,2.41175,3.30157,0.00155148,0.00155148,0.00155148
9,298.874,2.38596,2.45486,3.11884,0.46609,0.42482,0.45199,0.252,2.31122,2.4598,3.20398,0.00153497,0.00153497,0.00153497
10,325.178,2.32951,2.34433,3.07882,0.42676,0.52122,0.51535,0.25518,2.26786,2.32058,3.16446,0.00151847,0.00151847,0.00151847
11,351.49,2.25699,2.33652,2.9981,0.28334,0.37793,0.26643,0.09454,2.36678,2.62223,3.34613,0.00150197,0.00150197,0.00150197
12,377.609,2.23987,2.31845,3.03603,0.48727,0.57236,0.56859,0.26527,2.1476,2.1665,3.16756,0.00148546,0.00148546,0.00148546
13,403.897,2.18559,2.11466,2.92983,0.62575,0.60025,0.64966,0.35931,2.08076,2.13966,3.13419,0.00146896,0.00146896,0.00146896
14,430.18,2.07117,2.00985,2.87776,0.67639,0.64581,0.66476,0.32925,2.07372,2.00448,3.07126,0.00145246,0.00145246,0.00145246
15,456.334,2.06772,1.93489,2.80038,0.59408,0.6499,0.68562,0.38712,1.87541,1.93924,2.98906,0.00143595,0.00143595,0.00143595
16,482.619,1.97112,1.96519,2.92224,0.53547,0.74702,0.76244,0.41948,1.8348,2.15558,3.01076,0.00141945,0.00141945,0.00141945
17,508.882,1.94814,1.86385,2.78148,0.72995,0.64903,0.738,0.43033,1.89246,2.02261,2.97378,0.00140295,0.00140295,0.00140295
18,535.223,1.88294,1.79194,2.71683,0.82447,0.73065,0.81556,0.50738,1.68713,1.7171,2.83422,0.00138644,0.00138644,0.00138644
19,561.539,1.86678,1.79945,2.75266,0.75216,0.73277,0.80921,0.46812,1.7491,1.96275,2.86741,0.00136994,0.00136994,0.00136994
20,587.647,1.76951,1.66645,2.66754,0.7142,0.72581,0.75741,0.44691,1.69734,1.73535,2.94145,0.00135344,0.00135344,0.00135344
21,613.786,1.79591,1.60049,2.61487,0.76065,0.74342,0.80939,0.50897,1.67645,1.90053,3.00263,0.00133693,0.00133693,0.00133693
22,640.087,1.76354,1.65334,2.68622,0.79478,0.69963,0.80308,0.50488,1.67144,1.71051,2.81346,0.00132043,0.00132043,0.00132043
23,666.247,1.72311,1.61078,2.63277,0.6965,0.69223,0.77927,0.46258,1.66863,1.78235,2.7224,0.00130393,0.00130393,0.00130393
24,692.378,1.72841,1.67221,2.5845,0.73937,0.7296,0.78153,0.49509,1.63204,1.74205,2.75617,0.00128742,0.00128742,0.00128742
25,718.573,1.6491,1.59904,2.49907,0.81447,0.80141,0.86343,0.57913,1.52162,1.58032,2.74551,0.00127092,0.00127092,0.00127092
26,744.846,1.65904,1.55534,2.47739,0.84571,0.76665,0.85143,0.5465,1.58912,1.52371,2.82055,0.00125442,0.00125442,0.00125442
27,770.935,1.66925,1.51132,2.49559,0.84709,0.7472,0.85349,0.54575,1.55582,1.52997,2.69532,0.00123791,0.00123791,0.00123791
28,796.983,1.54275,1.41206,2.43798,0.79751,0.80888,0.85721,0.57797,1.49098,1.39163,2.69649,0.00122141,0.00122141,0.00122141
29,823.042,1.61067,1.43491,2.4372,0.78438,0.80124,0.86232,0.51882,1.59148,1.49948,2.68994,0.00120491,0.00120491,0.00120491
30,849.078,1.61419,1.47497,2.46366,0.81102,0.75063,0.83552,0.54401,1.55559,1.65374,2.89675,0.0011884,0.0011884,0.0011884
31,875.186,1.58094,1.39746,2.46875,0.84114,0.77793,0.86839,0.58054,1.45381,1.47795,2.72354,0.0011719,0.0011719,0.0011719
32,901.41,1.59715,1.4288,2.5248,0.80702,0.79361,0.87014,0.58746,1.4994,1.4927,2.78018,0.0011554,0.0011554,0.0011554
33,927.596,1.5589,1.39936,2.52396,0.79174,0.81534,0.85535,0.5595,1.52884,1.52885,2.6079,0.00113889,0.00113889,0.00113889
34,953.652,1.53505,1.32388,2.40992,0.84863,0.82841,0.88631,0.59721,1.46018,1.32106,2.54582,0.00112239,0.00112239,0.00112239
35,979.914,1.49437,1.29849,2.37808,0.85116,0.82641,0.88463,0.61147,1.42063,1.30679,2.65947,0.00110589,0.00110589,0.00110589
36,1006.12,1.54626,1.34248,2.45048,0.79798,0.77966,0.87371,0.58649,1.47372,1.47201,2.60508,0.00108938,0.00108938,0.00108938
37,1032.25,1.4727,1.28145,2.37921,0.81932,0.81648,0.86982,0.59723,1.42586,1.43687,2.60786,0.00107288,0.00107288,0.00107288
38,1058.33,1.43365,1.27739,2.35126,0.87779,0.82852,0.89939,0.60518,1.38481,1.28446,2.56259,0.00105638,0.00105638,0.00105638
39,1084.44,1.45282,1.23812,2.28321,0.81748,0.83533,0.88542,0.61425,1.39004,1.38522,2.64689,0.00103987,0.00103987,0.00103987
40,1110.66,1.4241,1.25786,2.35722,0.86385,0.81973,0.89665,0.61996,1.41736,1.29134,2.48581,0.00102337,0.00102337,0.00102337
41,1136.88,1.37599,1.18601,2.25533,0.88121,0.82488,0.89323,0.62571,1.39022,1.27256,2.46454,0.00100687,0.00100687,0.00100687
42,1163.16,1.34332,1.14945,2.27128,0.80001,0.81682,0.88338,0.63965,1.34295,1.54757,2.52629,0.000990365,0.000990365,0.000990365
43,1189.38,1.37107,1.21861,2.28628,0.83683,0.82266,0.88773,0.62448,1.37368,1.3317,2.5129,0.000973861,0.000973861,0.000973861
44,1215.45,1.3737,1.15891,2.34211,0.85042,0.83074,0.89669,0.63795,1.32014,1.19157,2.5371,0.000957358,0.000957358,0.000957358
45,1241.54,1.37643,1.19746,2.26427,0.83156,0.77423,0.88014,0.5618,1.49147,1.39665,2.59727,0.000940855,0.000940855,0.000940855
46,1267.65,1.39229,1.08881,2.24308,0.89362,0.821,0.9004,0.63315,1.34553,1.23415,2.5198,0.000924352,0.000924352,0.000924352
