epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2645,3.04882,4.78861,4.40433,0,0,0,0,3.00795,4.4892,4.20223,0.000546249,0.000546249,0.000546249
2,86.9172,2.79671,4.12597,3.89946,0.01501,0.10926,0.00954,0.00383,3.00079,4.19036,4.1965,0.00109101,0.00109101,0.00109101
3,99.5109,2.69891,3.82325,3.66543,0.06803,0.46684,0.06925,0.01778,2.80701,25.3729,4.83103,0.00162476,0.00162476,0.00162476
4,112.115,2.70803,3.59156,3.52685,0.57036,0.12593,0.08136,0.0242,2.75129,4.29661,4.18328,0.00161749,0.00161749,0.00161749
5,124.213,2.57843,3.40631,3.45141,0.13348,0.29879,0.06982,0.0277,2.85551,5.79357,3.88644,0.00160099,0.00160099,0.00160099
6,137.113,2.49788,3.21345,3.4591,0.21379,0.56661,0.29453,0.11223,2.42275,3.53084,3.50789,0.00158448,0.00158448,0.00158448
7,149.58,2.37098,3.06714,3.36072,0.35097,0.35818,0.25314,0.10772,2.31327,2.97061,3.45244,0.00156798,0.00156798,0.00156798
8,161.858,2.36111,3.12783,3.36499,0.32345,0.50085,0.3008,0.1092,2.35631,3.21833,3.54733,0.00155148,0.00155148,0.00155148
9,174.096,2.34029,3.00973,3.36173,0.42544,0.46628,0.34281,0.15183,2.17569,3.02991,3.39506,0.00153497,0.00153497,0.00153497
10,186.211,2.28663,2.65176,3.28381,0.38676,0.5513,0.45957,0.22697,2.17329,2.93971,3.32262,0.00151847,0.00151847,0.00151847
11,198.479,2.21901,2.62497,3.26816,0.5695,0.52332,0.52644,0.27059,2.10868,2.39206,3.33948,0.00150197,0.00150197,0.00150197
12,211.14,2.13714,2.51101,3.20717,0.55114,0.53119,0.55883,0.29378,2.04823,2.40417,3.37195,0.00148546,0.00148546,0.00148546
13,223.418,2.12918,2.43797,3.16922,0.48684,0.47006,0.4564,0.22458,2.10939,2.44203,3.28201,0.00146896,0.00146896,0.00146896
14,235.523,2.09358,2.29154,3.13515,0.69229,0.61026,0.66179,0.34957,1.94586,2.3158,3.25885,0.00145246,0.00145246,0.00145246
15,247.93,2.07907,2.19056,3.09703,0.64866,0.57797,0.6058,0.33378,1.93336,2.29637,3.21868,0.00143595,0.00143595,0.00143595
16,259.94,1.99557,2.15294,3.13396,0.53585,0.61013,0.64894,0.33864,2.03997,2.52189,3.18666,0.00141945,0.00141945,0.00141945
17,271.937,1.953,2.01432,3.10597,0.72456,0.5605,0.67055,0.35257,2.02642,2.30297,3.32096,0.00140295,0.00140295,0.00140295
