epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.45037,3.70841,3.75417,4.21339,0,0,0,0,3.94384,4.24554,4.23069,0.000546249,0.000546249,0.000546249
2,73.9367,3.31142,2.96107,3.50591,0.0188,0.22231,0.01649,0.00607,3.7251,4.01322,4.03302,0.00109101,0.00109101,0.00109101
3,80.2235,2.98211,2.80634,3.0122,0.14602,0.25103,0.09317,0.041,3.06829,6.28478,5.00486,0.00162476,0.00162476,0.00162476
4,86.5042,2.7806,2.69544,2.93871,0.19717,0.32722,0.14191,0.04697,2.68433,3.41978,3.15226,0.00161749,0.00161749,0.00161749
5,92.3188,2.76871,2.5376,2.76648,0.22601,0.30894,0.12301,0.0521,2.86364,7.15172,3.44812,0.00160099,0.00160099,0.00160099
6,97.7092,2.71194,2.3713,2.69277,0.3523,0.44457,0.30385,0.12335,2.62438,2.71311,2.98807,0.00158448,0.00158448,0.00158448
7,103.116,2.59425,2.43834,2.65445,0.21372,0.45662,0.22501,0.10009,2.47275,2.73157,2.83039,0.00156798,0.00156798,0.00156798
8,109.027,2.62929,2.3196,2.58167,0.32116,0.65716,0.48119,0.23003,2.34482,3.12561,2.78577,0.00155148,0.00155148,0.00155148
9,115.707,2.46114,2.13612,2.46625,0.37687,0.47959,0.32925,0.16006,2.3709,2.37016,2.77612,0.00153497,0.00153497,0.00153497
10,122.194,2.48849,2.14251,2.51932,0.38773,0.49651,0.36946,0.15042,2.21221,2.76592,2.79728,0.00151847,0.00151847,0.00151847
11,128.574,2.40178,2.13585,2.45063,0.84999,0.26787,0.46855,0.25816,2.2401,2.79913,2.66397,0.00150197,0.00150197,0.00150197
12,135.077,2.40776,2.11996,2.47107,0.60195,0.54949,0.51838,0.26222,2.23089,2.63189,2.69813,0.00148546,0.00148546,0.00148546
13,141.524,2.3264,2.08162,2.41357,0.43658,0.49883,0.45592,0.24438,2.19067,2.18604,2.57342,0.00146896,0.00146896,0.00146896
14,147.845,2.15044,2.0117,2.36392,0.67147,0.56558,0.60738,0.34782,2.1146,2.09726,2.52863,0.00145246,0.00145246,0.00145246
15,153.64,2.19428,1.86198,2.28976,0.57181,0.57582,0.59781,0.31337,2.12741,1.94306,2.55425,0.00143595,0.00143595,0.00143595
16,158.912,2.15116,1.81185,2.25729,0.63103,0.55481,0.6074,0.35639,2.11461,1.95574,2.51383,0.00141945,0.00141945,0.00141945
17,164.236,2.08698,1.74371,2.16498,0.6789,0.58717,0.65479,0.36778,2.01114,1.91973,2.47294,0.00140295,0.00140295,0.00140295
18,170.167,2.09176,1.75979,2.25555,0.48155,0.69534,0.67923,0.38085,2.00073,2.17706,2.43367,0.00138644,0.00138644,0.00138644
19,176.298,2.02344,1.70128,2.14504,0.57736,0.6731,0.71696,0.41775,1.90381,1.82096,2.38143,0.00136994,0.00136994,0.00136994
20,182.374,1.9892,1.63919,2.10783,0.71012,0.61819,0.69777,0.41357,1.9286,1.87525,2.38807,0.00135344,0.00135344,0.00135344
