epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7754,3.15868,4.0843,4.24563,0.00357,0.01481,0.00184,0.00071,3.00441,4.35557,4.2325,0.000546249,0.000546249,0.000546249
2,101.441,3.0019,3.28532,3.74673,0.0183,0.12331,0.0181,0.00665,2.95105,4.11945,4.13987,0.00109101,0.00109101,0.00109101
3,120.897,2.81699,3.24522,3.53053,0.06712,0.69615,0.14353,0.04954,2.79311,3.45019,3.82743,0.00162476,0.00162476,0.00162476
4,140.402,2.61751,3.06425,3.45548,0.31558,0.41628,0.25085,0.08436,2.53766,3.02277,3.64252,0.00161749,0.00161749,0.00161749
5,160.23,2.55259,2.83841,3.32082,0.23889,0.21194,0.11347,0.04671,2.63965,3.10468,3.71663,0.00160099,0.00160099,0.00160099
6,180.006,2.49895,2.60249,3.2177,0.33162,0.42403,0.27719,0.12459,2.44591,3.33896,3.56595,0.00158448,0.00158448,0.00158448
7,199.642,2.34203,2.62362,3.19086,0.45976,0.33347,0.2998,0.14474,2.45024,2.87074,3.54394,0.00156798,0.00156798,0.00156798
8,219.618,2.28347,2.44669,3.04513,0.48648,0.49279,0.44341,0.16133,2.27697,2.60949,3.35939,0.00155148,0.00155148,0.00155148
9,239.382,2.19007,2.15926,2.97233,0.48648,0.50169,0.46508,0.20095,2.2613,2.41212,3.4795,0.00153497,0.00153497,0.00153497
10,259.244,2.21895,2.18553,3.03408,0.52775,0.60748,0.61337,0.31665,1.99863,2.42097,3.22198,0.00151847,0.00151847,0.00151847
11,279.133,2.04358,2.14928,2.89146,0.50982,0.67211,0.65754,0.34922,2.02888,2.37489,3.10498,0.00150197,0.00150197,0.00150197
12,298.733,2.09636,2.03681,2.96613,0.61662,0.58697,0.62215,0.30364,2.14221,2.3115,3.29042,0.00148546,0.00148546,0.00148546
13,318.479,1.97653,2.02558,2.84013,0.66329,0.68545,0.72665,0.39478,2.01124,1.91108,3.16185,0.00146896,0.00146896,0.00146896
14,338.163,1.93486,2.03943,2.84447,0.75152,0.61775,0.71972,0.42966,1.85637,2.30672,3.09771,0.00145246,0.00145246,0.00145246
15,357.956,1.84173,1.846,2.74396,0.68565,0.59124,0.65477,0.37189,1.98277,2.96537,3.36432,0.00143595,0.00143595,0.00143595
16,377.722,1.81007,1.77951,2.71492,0.60419,0.72612,0.80719,0.46498,1.8076,2.01202,2.91972,0.00141945,0.00141945,0.00141945
17,397.433,1.80107,1.67772,2.61276,0.66816,0.70644,0.74359,0.43437,1.80292,2.0481,3.00017,0.00140295,0.00140295,0.00140295
18,417.164,1.71692,1.69458,2.67478,0.7803,0.6783,0.78045,0.44841,1.76411,1.83897,2.93067,0.00138644,0.00138644,0.00138644
19,436.847,1.66825,1.63242,2.52898,0.79133,0.66394,0.75367,0.46276,1.69735,2.03165,2.95711,0.00136994,0.00136994,0.00136994
20,456.623,1.65806,1.58139,2.55209,0.78236,0.76595,0.854,0.55546,1.64737,1.69895,2.84119,0.00135344,0.00135344,0.00135344
21,476.413,1.66347,1.60051,2.55927,0.73535,0.69978,0.81737,0.51923,1.63049,1.83546,2.84774,0.00133693,0.00133693,0.00133693
22,496.195,1.64999,1.52622,2.58294,0.77873,0.68954,0.80917,0.51052,1.5927,2.1195,2.85817,0.00132043,0.00132043,0.00132043
23,515.959,1.60498,1.53519,2.50401,0.83976,0.74754,0.86816,0.54134,1.62713,1.5685,2.80196,0.00130393,0.00130393,0.00130393
24,535.735,1.59216,1.51257,2.5134,0.8074,0.74125,0.81339,0.55113,1.58122,1.88559,2.88529,0.00128742,0.00128742,0.00128742
25,555.518,1.56227,1.50667,2.47553,0.8238,0.77484,0.86411,0.58228,1.50744,1.53984,2.86531,0.00127092,0.00127092,0.00127092
26,575.261,1.58019,1.42691,2.45085,0.84214,0.74305,0.84003,0.5522,1.55464,1.74472,2.92725,0.00125442,0.00125442,0.00125442
27,595.063,1.58185,1.47059,2.48156,0.84799,0.70096,0.83059,0.53739,1.55751,1.63781,2.81746,0.00123791,0.00123791,0.00123791
28,614.835,1.55281,1.46333,2.45234,0.81066,0.78218,0.84873,0.58198,1.51832,1.6502,2.80168,0.00122141,0.00122141,0.00122141
29,634.538,1.51012,1.39832,2.41273,0.83321,0.74736,0.86273,0.57517,1.47638,1.50202,2.71652,0.00120491,0.00120491,0.00120491
30,654.416,1.5266,1.39229,2.39777,0.81152,0.75663,0.84007,0.55732,1.54581,1.54645,2.72199,0.0011884,0.0011884,0.0011884
31,674.269,1.51741,1.4128,2.36964,0.81762,0.82131,0.87621,0.61629,1.40562,1.45499,2.68082,0.0011719,0.0011719,0.0011719
32,694.04,1.5033,1.30538,2.36863,0.81894,0.73477,0.82789,0.57706,1.47116,1.91034,2.84851,0.0011554,0.0011554,0.0011554
33,713.864,1.4793,1.30488,2.28461,0.84981,0.81623,0.89437,0.61187,1.43064,1.39047,2.63344,0.00113889,0.00113889,0.00113889
