epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4922,3.36094,4.25021,4.29901,0,0,0,0,3.37858,4.22722,4.23339,0.000546249,0.000546249,0.000546249
2,86.9767,3.00323,3.62691,3.75523,0.0109,0.04815,0.00834,0.00298,3.30587,4.10023,4.18565,0.00109101,0.00109101,0.00109101
3,99.163,2.81431,3.35779,3.48798,0.13907,0.50324,0.09974,0.02959,2.99301,3.34827,3.6968,0.00162476,0.00162476,0.00162476
4,111.543,2.80083,3.19677,3.39617,0.2028,0.31855,0.1412,0.04073,2.7565,3.60786,3.54568,0.00161749,0.00161749,0.00161749
5,123.683,2.71734,2.96534,3.27861,0.04358,0.08375,0.02382,0.00524,3.06553,3.54076,4.19538,0.00160099,0.00160099,0.00160099
6,135.75,2.6234,2.85556,3.25811,0.1767,0.54987,0.1787,0.06449,2.56843,3.69886,3.29956,0.00158448,0.00158448,0.00158448
7,147.914,2.55741,2.71427,3.15631,0.3668,0.24988,0.14224,0.03559,2.60305,3.59551,3.39626,0.00156798,0.00156798,0.00156798
8,160.059,2.4861,2.74157,3.12223,0.76679,0.24999,0.32004,0.12483,2.56637,2.85791,3.34237,0.00155148,0.00155148,0.00155148
9,172.342,2.48701,2.68547,3.10829,0.47835,0.44994,0.41631,0.21116,2.44327,2.44838,3.22716,0.00153497,0.00153497,0.00153497
10,184.461,2.35447,2.42705,2.97357,0.34484,0.50662,0.30587,0.12269,2.41502,2.54059,3.18853,0.00151847,0.00151847,0.00151847
11,196.87,2.35012,2.47904,2.93291,0.42834,0.4177,0.41894,0.22379,2.4019,2.83055,3.2814,0.00150197,0.00150197,0.00150197
12,209.265,2.20785,2.39263,2.79379,0.56499,0.52069,0.53269,0.27451,2.27866,2.40956,3.08182,0.00148546,0.00148546,0.00148546
13,221.381,2.20936,2.27962,2.81981,0.50985,0.55051,0.56835,0.2897,2.18976,2.2716,2.99235,0.00146896,0.00146896,0.00146896
14,233.624,2.13325,2.14633,2.74585,0.49608,0.50397,0.55383,0.30235,2.10525,2.2337,2.97828,0.00145246,0.00145246,0.00145246
15,245.969,2.13693,2.09697,2.74407,0.61531,0.62568,0.67033,0.37274,2.07551,2.08951,2.88717,0.00143595,0.00143595,0.00143595
16,258.094,2.04269,2.12366,2.73709,0.45371,0.68744,0.59226,0.28832,2.07283,2.77898,2.92268,0.00141945,0.00141945,0.00141945
17,270.448,2.01382,2.02566,2.70361,0.55521,0.65166,0.64179,0.37452,1.98529,2.0381,2.86508,0.00140295,0.00140295,0.00140295
18,282.685,1.92711,1.87622,2.59599,0.7256,0.60076,0.69037,0.4003,2.02522,1.9942,2.85908,0.00138644,0.00138644,0.00138644
19,294.775,1.97586,1.92216,2.66078,0.67657,0.65186,0.70675,0.38973,1.99318,2.17667,2.86563,0.00136994,0.00136994,0.00136994
20,307.3,1.87822,1.83464,2.59763,0.78211,0.68508,0.76562,0.47037,1.8235,1.88074,2.84528,0.00135344,0.00135344,0.00135344
21,319.632,1.88682,1.76479,2.57532,0.73099,0.6691,0.75339,0.4414,1.84185,1.80587,2.85386,0.00133693,0.00133693,0.00133693
22,331.7,1.81865,1.7785,2.62145,0.76425,0.68869,0.80528,0.47775,1.80032,1.76075,2.72722,0.00132043,0.00132043,0.00132043
23,344.091,1.82171,1.79461,2.58589,0.65962,0.72804,0.82107,0.50137,1.70783,1.7009,2.65186,0.00130393,0.00130393,0.00130393
24,356.373,1.76373,1.7482,2.46637,0.7024,0.69693,0.76025,0.44734,1.76519,1.7562,2.6926,0.00128742,0.00128742,0.00128742
25,368.442,1.7563,1.73545,2.47426,0.78405,0.69275,0.78986,0.49579,1.63979,1.80509,2.75075,0.00127092,0.00127092,0.00127092
26,380.863,1.7002,1.59616,2.38809,0.83077,0.65979,0.80997,0.52256,1.63501,1.82643,2.68051,0.00125442,0.00125442,0.00125442
27,393.099,1.73423,1.65747,2.48637,0.71039,0.74988,0.77189,0.47149,1.64621,1.67919,2.56853,0.00123791,0.00123791,0.00123791
28,405.128,1.6547,1.58233,2.37313,0.70035,0.75491,0.78616,0.49151,1.64174,1.64869,2.61765,0.00122141,0.00122141,0.00122141
29,417.696,1.65761,1.57711,2.43038,0.7735,0.68048,0.78146,0.48495,1.70923,1.70187,2.76442,0.00120491,0.00120491,0.00120491
30,429.965,1.65498,1.54016,2.35808,0.82522,0.66624,0.77023,0.51828,1.66744,1.93004,2.66986,0.0011884,0.0011884,0.0011884
31,442.003,1.63335,1.56675,2.38577,0.82329,0.76449,0.84774,0.55905,1.54243,1.64733,2.56403,0.0011719,0.0011719,0.0011719
32,454.47,1.6315,1.48082,2.33651,0.81565,0.76963,0.85158,0.54747,1.53778,1.56955,2.55204,0.0011554,0.0011554,0.0011554
33,466.703,1.59198,1.41147,2.40001,0.80096,0.7766,0.84821,0.55974,1.54046,1.55371,2.56925,0.00113889,0.00113889,0.00113889
34,478.831,1.58032,1.41344,2.32726,0.8367,0.74126,0.84969,0.5472,1.53653,1.42312,2.55489,0.00112239,0.00112239,0.00112239
35,491.251,1.52775,1.38621,2.29362,0.81582,0.68788,0.83317,0.53674,1.56741,1.78487,2.63497,0.00110589,0.00110589,0.00110589
36,503.44,1.591,1.43435,2.35372,0.82539,0.75372,0.85861,0.56229,1.55167,1.43076,2.5069,0.00108938,0.00108938,0.00108938
37,515.592,1.55032,1.38256,2.34876,0.8146,0.797,0.8695,0.59505,1.47196,1.4323,2.48195,0.00107288,0.00107288,0.00107288
38,528.016,1.5245,1.39196,2.33503,0.8024,0.81619,0.85695,0.57707,1.41192,1.38817,2.44414,0.00105638,0.00105638,0.00105638
39,540.3,1.52652,1.32523,2.23567,0.82772,0.76922,0.86075,0.58016,1.44457,1.42567,2.51431,0.00103987,0.00103987,0.00103987
40,552.311,1.53414,1.33947,2.26198,0.79066,0.81396,0.8622,0.57721,1.449,1.33993,2.41325,0.00102337,0.00102337,0.00102337
41,564.832,1.48627,1.26794,2.20597,0.80572,0.81727,0.88854,0.58694,1.44931,1.27244,2.43626,0.00100687,0.00100687,0.00100687
42,577.001,1.4651,1.27424,2.22198,0.80092,0.79736,0.88605,0.61869,1.36785,1.36006,2.46187,0.000990365,0.000990365,0.000990365
43,589.095,1.47056,1.32127,2.2395,0.85314,0.79315,0.86805,0.59051,1.47754,1.35013,2.43935,0.000973861,0.000973861,0.000973861
44,601.573,1.43919,1.24852,2.17447,0.82266,0.7852,0.86523,0.59623,1.44635,1.49455,2.4473,0.000957358,0.000957358,0.000957358
45,613.747,1.44121,1.29479,2.16828,0.82008,0.80338,0.89946,0.63413,1.355,1.33706,2.39804,0.000940855,0.000940855,0.000940855
46,625.872,1.47858,1.24677,2.21612,0.83864,0.84134,0.8963,0.62022,1.34836,1.23394,2.37784,0.000924352,0.000924352,0.000924352
47,638.402,1.46189,1.22746,2.2118,0.84248,0.81988,0.88613,0.61177,1.40418,1.29868,2.37693,0.000907848,0.000907848,0.000907848
