epoch,step,loss
0,0,1.5010607242584229
1,1,1.4741089344024658
2,2,1.4984049797058105
3,3,1.516423225402832
4,4,1.3783795833587646
5,5,1.4622725248336792
6,6,1.3280091285705566
7,7,1.2832753658294678
8,8,1.1859878301620483
9,9,1.2168365716934204
10,10,1.156494140625
11,11,1.018127679824829
12,12,0.9133410453796387
13,13,0.98516845703125
14,14,0.8859770894050598
15,15,0.7772771120071411
16,16,0.7569410800933838
17,17,1.0503592491149902
18,18,0.8198168277740479
19,19,0.884885847568512
20,20,0.6783492565155029
21,21,0.606353223323822
22,22,0.6004331111907959
23,23,0.41378283500671387
24,24,0.450164794921875
25,25,0.38699671626091003
26,26,0.35958734154701233
27,27,0.45634132623672485
28,28,0.2635098695755005
29,29,0.6417386531829834
30,30,0.9511805772781372
31,31,0.4042259454727173
32,32,0.3856571316719055
33,33,0.3386131227016449
34,34,0.18918150663375854
35,35,0.3050119876861572
36,36,0.2427518665790558
37,37,0.2345033586025238
38,38,0.21699148416519165
39,39,0.15796974301338196
40,40,0.13888005912303925
41,41,0.12740002572536469
42,42,0.13254082202911377
43,43,0.18604032695293427
44,44,0.15024800598621368
45,45,0.16949263215065002
46,46,0.16150429844856262
47,47,0.09569170325994492
48,48,0.10353453457355499
49,49,0.07784709334373474
50,50,0.09570728242397308
51,51,0.1709078699350357
52,52,0.10269609838724136
53,53,0.10372146964073181
54,54,0.1482357680797577
55,55,0.08736301958560944
56,56,1.2853248119354248
57,57,0.30363109707832336
58,58,0.17999882996082306
59,59,0.12540525197982788
60,60,0.25594615936279297
61,61,0.1153612956404686
62,62,0.1952875852584839
63,63,0.19596490263938904
64,64,0.10675366222858429
65,65,0.07014947384595871
66,66,0.17281268537044525
67,67,0.0887427106499672
68,68,0.07145088165998459
69,69,0.07904937118291855
70,70,0.06169456988573074
71,71,0.09805552661418915
72,72,0.09700508415699005
73,73,0.07370541989803314
74,74,0.07506603002548218
75,75,0.087470643222332
76,76,0.08521196246147156
77,77,0.09378314018249512
78,78,0.07112488895654678
79,79,0.0672900602221489
80,80,0.06463425606489182
81,81,0.13801777362823486
82,82,0.09192700684070587
83,83,0.05505042150616646
84,84,0.057904310524463654
85,85,0.06892184913158417
86,86,0.08264341205358505
87,87,0.05797252804040909
88,88,0.0514134019613266
89,89,0.059109754860401154
90,90,0.05155176669359207
91,91,0.06320123374462128
92,92,0.05269080400466919
93,93,0.09452606737613678
94,94,0.05860442668199539
95,95,0.0859559029340744
96,96,0.05724926292896271
97,97,0.06374642252922058
98,98,0.08209553360939026
99,99,0.060470983386039734
