epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.052,3.09248,4.30162,4.23039,0,0,0,0,3.01375,4.58703,4.20929,0.000546249,0.000546249,0.000546249
2,121.205,2.95499,3.43122,3.72518,0.00822,0.10741,0.00581,0.00163,2.76227,4.45799,4.30602,0.00109101,0.00109101,0.00109101
3,179.102,2.71002,3.14252,3.4524,0.05791,0.11428,0.04023,0.00978,3.10607,4.24378,6.0287,0.00162476,0.00162476,0.00162476
4,236.881,2.6466,2.94951,3.43314,0.26265,0.21095,0.13062,0.03546,3.3323,4.85168,5.95696,0.00161749,0.00161749,0.00161749
5,294.768,2.60566,2.74294,3.28273,0.39301,0.34794,0.31156,0.14368,2.50297,3.09983,3.69987,0.00160099,0.00160099,0.00160099
6,352.731,2.53756,2.57825,3.20713,0.33329,0.52765,0.42078,0.19314,2.36671,2.60865,3.54404,0.00158448,0.00158448,0.00158448
7,410.642,2.4125,2.58023,3.18639,0.36911,0.50598,0.44955,0.20482,2.33183,3.40777,3.47779,0.00156798,0.00156798,0.00156798
8,468.52,2.36601,2.44208,3.07222,0.50846,0.45078,0.46202,0.21558,2.38649,3.55487,3.63134,0.00155148,0.00155148,0.00155148
9,526.354,2.29043,2.23556,2.98787,0.54905,0.46308,0.50839,0.24926,2.2361,2.68009,3.47466,0.00153497,0.00153497,0.00153497
10,584.275,2.29509,2.25323,3.07163,0.57622,0.56438,0.58412,0.27398,2.28318,2.32153,3.4819,0.00151847,0.00151847,0.00151847
11,642.146,2.20154,2.28656,2.96027,0.55337,0.49507,0.47206,0.20231,2.30987,2.53273,3.38827,0.00150197,0.00150197,0.00150197
12,699.877,2.21539,2.19873,2.99599,0.58244,0.45454,0.5138,0.24008,2.20906,2.58915,3.40373,0.00148546,0.00148546,0.00148546
13,757.6,2.08593,2.15953,2.87744,0.62411,0.59898,0.65859,0.36157,2.10108,2.06041,3.22434,0.00146896,0.00146896,0.00146896
14,815.367,2.05274,2.13747,2.88278,0.66873,0.59186,0.65514,0.34781,2.01098,2.29379,3.28055,0.00145246,0.00145246,0.00145246
15,873.101,1.99578,1.98586,2.81803,0.72897,0.64349,0.71444,0.39199,2.01139,2.05054,3.18107,0.00143595,0.00143595,0.00143595
16,930.915,1.94611,1.83173,2.7355,0.66375,0.63836,0.66799,0.35248,2.04167,2.59477,3.23535,0.00141945,0.00141945,0.00141945
17,988.682,1.88738,1.73634,2.6323,0.75042,0.62103,0.73686,0.43515,1.91361,1.96422,3.08973,0.00140295,0.00140295,0.00140295
18,1046.54,1.84608,1.72959,2.72556,0.74441,0.5606,0.68934,0.40615,1.89942,2.08281,3.08834,0.00138644,0.00138644,0.00138644
19,1104.25,1.76417,1.66572,2.59299,0.7174,0.63068,0.75823,0.39135,1.91959,1.95116,3.2315,0.00136994,0.00136994,0.00136994
20,1161.89,1.73623,1.61064,2.59289,0.8269,0.6206,0.74553,0.43808,1.85437,2.04791,3.02823,0.00135344,0.00135344,0.00135344
21,1219.93,1.77381,1.63688,2.59043,0.80563,0.69803,0.80271,0.52422,1.57713,1.69271,2.98346,0.00133693,0.00133693,0.00133693
22,1277.85,1.73419,1.58378,2.5909,0.71616,0.58512,0.67069,0.39396,1.80295,2.65166,3.03554,0.00132043,0.00132043,0.00132043
23,1335.63,1.67363,1.53268,2.50422,0.83126,0.72272,0.83582,0.51889,1.64204,1.68528,2.87856,0.00130393,0.00130393,0.00130393
24,1393.29,1.64863,1.47371,2.50601,0.78176,0.69129,0.79086,0.50126,1.70689,1.92337,3.09654,0.00128742,0.00128742,0.00128742
25,1450.97,1.62911,1.50189,2.50156,0.82302,0.72401,0.84522,0.53554,1.65215,1.58927,2.77437,0.00127092,0.00127092,0.00127092
26,1508.85,1.65824,1.4227,2.44068,0.81025,0.73705,0.85511,0.56538,1.554,1.47341,2.93389,0.00125442,0.00125442,0.00125442
27,1566.65,1.63105,1.43098,2.45236,0.82184,0.78583,0.86309,0.57471,1.52103,1.45719,2.83782,0.00123791,0.00123791,0.00123791
28,1624.51,1.58708,1.43766,2.44636,0.7868,0.68022,0.77412,0.47077,1.70236,1.80242,2.89359,0.00122141,0.00122141,0.00122141
29,1682.3,1.5598,1.36982,2.38864,0.82355,0.76386,0.86285,0.56759,1.52798,1.46038,2.76705,0.00120491,0.00120491,0.00120491
30,1739.93,1.55374,1.40164,2.36013,0.84154,0.70317,0.82395,0.54089,1.61777,1.62889,2.79776,0.0011884,0.0011884,0.0011884
31,1797.62,1.53795,1.36858,2.35652,0.80781,0.73001,0.82317,0.5619,1.52066,1.59243,2.76536,0.0011719,0.0011719,0.0011719
32,1855.32,1.53543,1.31125,2.35441,0.82221,0.78334,0.86173,0.58217,1.51553,1.48421,2.74769,0.0011554,0.0011554,0.0011554
