epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9158,3.28787,4.40576,4.29802,0,0,0,0,3.38281,4.33364,4.20865,0.000546249,0.000546249,0.000546249
2,68.8864,3.01545,3.60063,3.68982,0.00258,0.13148,0.00175,0.00058,2.82028,4.77468,4.90869,0.00109101,0.00109101,0.00109101
3,100.98,2.8104,3.32805,3.48853,0.02806,0.51807,0.05105,0.01202,nan,nan,nan,0.00162476,0.00162476,0.00162476
4,132.96,2.78902,3.11683,3.36643,0.21477,0.41806,0.22153,0.06639,2.86031,3.15418,4.39042,0.00161749,0.00161749,0.00161749
5,164.926,2.68843,2.8644,3.26843,0.23354,0.29142,0.2361,0.0666,2.98495,3.46316,4.26006,0.00160099,0.00160099,0.00160099
6,196.821,2.69815,2.70986,3.33769,0.26293,0.37294,0.24046,0.07985,2.59002,2.74453,3.56797,0.00158448,0.00158448,0.00158448
7,228.706,2.55364,2.58993,3.15111,0.38949,0.4766,0.37849,0.16561,2.49223,2.48008,3.52797,0.00156798,0.00156798,0.00156798
8,260.569,2.56378,2.63544,3.15997,0.30917,0.3,0.36013,0.15582,2.75401,2.56949,3.47657,0.00155148,0.00155148,0.00155148
9,292.425,2.60249,2.57979,3.15165,0.38662,0.48448,0.41491,0.19779,2.62132,2.60858,3.40981,0.00153497,0.00153497,0.00153497
10,324.358,2.51621,2.36533,3.08711,0.37828,0.518,0.44923,0.18763,2.43506,2.17234,3.29684,0.00151847,0.00151847,0.00151847
11,356.133,2.48271,2.30666,3.02935,0.42883,0.47235,0.44744,0.20632,2.5113,2.40973,3.30381,0.00150197,0.00150197,0.00150197
12,388.086,2.39184,2.32105,2.94753,0.44202,0.53072,0.49267,0.19007,2.40837,2.61728,3.29225,0.00148546,0.00148546,0.00148546
13,419.948,2.29819,2.21143,2.9279,0.56293,0.54058,0.57104,0.30241,2.27609,2.14758,3.12548,0.00146896,0.00146896,0.00146896
14,451.88,2.31977,2.20451,2.89435,0.60542,0.54861,0.55612,0.29356,2.19006,2.34227,3.20402,0.00145246,0.00145246,0.00145246
15,483.788,2.25821,2.12582,2.86264,0.60066,0.59888,0.61113,0.30061,2.31383,2.45485,3.17548,0.00143595,0.00143595,0.00143595
16,515.783,2.21196,2.13299,2.86252,0.89096,0.34526,0.55398,0.27447,2.32268,2.30624,3.1333,0.00141945,0.00141945,0.00141945
17,547.628,2.20177,2.11591,2.85589,0.63475,0.61284,0.64508,0.28764,2.20253,1.99271,3.11745,0.00140295,0.00140295,0.00140295
18,579.482,2.07452,1.92735,2.71264,0.66317,0.48899,0.56449,0.29887,2.25333,2.54351,3.17223,0.00138644,0.00138644,0.00138644
19,611.253,2.12561,1.9555,2.7945,0.6372,0.65046,0.72306,0.41528,2.05562,1.87744,2.93832,0.00136994,0.00136994,0.00136994
20,643.123,1.99987,1.81881,2.6769,0.66913,0.60883,0.68056,0.3489,2.28448,2.22895,3.19247,0.00135344,0.00135344,0.00135344
21,674.862,2.03067,1.79592,2.66928,0.7414,0.63344,0.72526,0.38056,2.0666,1.89149,2.99197,0.00133693,0.00133693,0.00133693
22,706.637,1.96095,1.80154,2.68458,0.70585,0.65315,0.72202,0.42459,1.98775,2.00459,2.99493,0.00132043,0.00132043,0.00132043
23,738.608,1.96537,1.8131,2.68419,0.69474,0.65125,0.73576,0.38824,1.98457,1.83627,2.86525,0.00130393,0.00130393,0.00130393
24,770.425,1.94117,1.80649,2.61674,0.69528,0.61174,0.71944,0.42613,1.93664,1.87902,3.02267,0.00128742,0.00128742,0.00128742
25,802.405,1.87193,1.74586,2.54561,0.78,0.69564,0.77112,0.47097,1.86154,1.79879,2.83222,0.00127092,0.00127092,0.00127092
26,834.337,1.78944,1.59126,2.44373,0.77342,0.6829,0.75918,0.47693,1.80779,1.99896,2.90502,0.00125442,0.00125442,0.00125442
27,866.212,1.85642,1.67188,2.59559,0.7349,0.70958,0.7741,0.45069,1.81055,1.72044,2.74734,0.00123791,0.00123791,0.00123791
28,897.9,1.71539,1.59983,2.46548,0.78631,0.73457,0.83011,0.51128,1.67247,1.59491,2.6769,0.00122141,0.00122141,0.00122141
29,929.871,1.82124,1.6091,2.53746,0.79615,0.73068,0.82697,0.50569,1.70961,1.53819,2.67167,0.00120491,0.00120491,0.00120491
30,961.544,1.75454,1.61777,2.42077,0.73518,0.71792,0.7742,0.48696,1.69031,1.64171,2.67064,0.0011884,0.0011884,0.0011884
31,993.254,1.70377,1.56726,2.43267,0.79299,0.72429,0.81268,0.53478,1.64587,1.69944,2.78042,0.0011719,0.0011719,0.0011719
32,1025.08,1.71139,1.46909,2.39369,0.74046,0.77837,0.83622,0.49521,1.745,1.55196,2.82638,0.0011554,0.0011554,0.0011554
33,1056.87,1.66996,1.4953,2.458,0.8545,0.77588,0.86439,0.55974,1.61721,1.48049,2.72043,0.00113889,0.00113889,0.00113889
34,1088.87,1.64557,1.4318,2.35322,0.79617,0.75046,0.84115,0.52967,1.69098,1.49568,2.59469,0.00112239,0.00112239,0.00112239
35,1120.52,1.59103,1.37956,2.32525,0.80726,0.74449,0.81832,0.52259,1.60972,1.51391,2.65184,0.00110589,0.00110589,0.00110589
36,1152.18,1.65832,1.45899,2.42426,0.80148,0.77282,0.86018,0.54629,1.66165,1.43581,2.65672,0.00108938,0.00108938,0.00108938
37,1183.89,1.60452,1.40562,2.36913,0.80706,0.76967,0.82823,0.53937,1.56529,1.39586,2.52033,0.00107288,0.00107288,0.00107288
38,1215.62,1.55924,1.36976,2.30537,0.83121,0.79116,0.86604,0.56561,1.52569,1.38341,2.53749,0.00105638,0.00105638,0.00105638
