epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.504,2.99727,4.77894,4.33239,0,0,0,0,3.00597,4.4362,4.21115,0.000546249,0.000546249,0.000546249
2,153.072,2.87503,3.86263,3.82654,0.01313,0.26852,0.03419,0.01543,2.79475,4.05252,3.81582,0.00109101,0.00109101,0.00109101
3,197.608,2.7944,3.489,3.67096,0.04,0.42286,0.048,0.01142,nan,nan,nan,0.00162476,0.00162476,0.00162476
4,241.971,2.82678,3.16061,3.55401,0.13665,0.59309,0.21539,0.07226,2.80114,3.88228,4.01254,0.00161749,0.00161749,0.00161749
5,286.519,2.76182,2.95572,3.45318,0.17848,0.32792,0.20858,0.08722,2.92694,3.51554,4.02343,0.00160099,0.00160099,0.00160099
6,331.053,2.76131,2.8308,3.49954,0.22348,0.50503,0.27441,0.07568,2.70552,2.75422,3.68018,0.00158448,0.00158448,0.00158448
7,375.453,2.68606,2.61563,3.43405,0.39014,0.40437,0.37207,0.15305,2.6275,2.68403,3.6502,0.00156798,0.00156798,0.00156798
8,419.945,2.65259,2.63676,3.38271,0.35264,0.50709,0.42935,0.17604,2.62331,2.47823,3.51152,0.00155148,0.00155148,0.00155148
9,464.494,2.65102,2.54748,3.42177,0.28958,0.36152,0.28643,0.12062,2.59759,2.868,3.70392,0.00153497,0.00153497,0.00153497
10,508.895,2.54551,2.40175,3.36305,0.28409,0.56135,0.44074,0.18372,2.47319,2.43272,3.53662,0.00151847,0.00151847,0.00151847
11,553.373,2.51381,2.38471,3.26448,0.40733,0.49761,0.42255,0.19704,2.55339,2.41919,3.60271,0.00150197,0.00150197,0.00150197
12,597.881,2.42077,2.42742,3.20697,0.41251,0.48059,0.44706,0.21647,2.38718,2.50944,3.47569,0.00148546,0.00148546,0.00148546
13,642.377,2.35341,2.34124,3.20276,0.42465,0.46537,0.4397,0.17542,2.49008,2.59789,3.54343,0.00146896,0.00146896,0.00146896
14,686.753,2.2862,2.21532,3.15599,0.46302,0.6066,0.51069,0.25267,2.25705,2.27112,3.39753,0.00145246,0.00145246,0.00145246
15,731.284,2.27284,2.16121,3.12569,0.39954,0.56784,0.51914,0.24643,2.2525,2.24604,3.35932,0.00143595,0.00143595,0.00143595
16,775.625,2.20237,2.22758,3.10692,0.4122,0.6151,0.57485,0.29675,2.14173,2.22911,3.19981,0.00141945,0.00141945,0.00141945
17,820.082,2.17463,2.14053,3.09519,0.43619,0.56665,0.48576,0.2144,2.30311,2.23555,3.39372,0.00140295,0.00140295,0.00140295
18,864.473,2.11228,2.00311,3.00255,0.5534,0.56979,0.56612,0.29647,2.20423,2.061,3.26751,0.00138644,0.00138644,0.00138644
19,908.825,2.19442,2.06146,3.04185,0.54029,0.57103,0.57346,0.2897,2.17835,2.05426,3.21836,0.00136994,0.00136994,0.00136994
20,953.226,2.07067,1.97541,3.00286,0.62787,0.60912,0.64412,0.29886,2.09509,1.96072,3.22374,0.00135344,0.00135344,0.00135344
21,997.763,2.06233,1.9305,2.97408,0.59617,0.60254,0.62312,0.33248,2.15316,2.01698,3.25341,0.00133693,0.00133693,0.00133693
22,1042.26,2.00211,1.90354,2.99013,0.68288,0.6148,0.6887,0.37753,2.08122,2.00931,3.25457,0.00132043,0.00132043,0.00132043
23,1086.75,1.97161,1.92557,2.91224,0.59433,0.61438,0.68073,0.35867,2.07148,1.8962,3.12893,0.00130393,0.00130393,0.00130393
24,1131.08,1.92983,1.82651,2.86019,0.69802,0.63728,0.70615,0.41485,1.93925,1.87886,3.09181,0.00128742,0.00128742,0.00128742
25,1175.58,1.89513,1.80119,2.84533,0.72914,0.64121,0.7223,0.39907,1.94541,2.08692,3.13159,0.00127092,0.00127092,0.00127092
26,1219.95,1.8086,1.67688,2.74138,0.74946,0.67268,0.72911,0.393,2.04032,1.96106,3.32348,0.00125442,0.00125442,0.00125442
27,1264.3,1.89122,1.76231,2.85445,0.64279,0.74231,0.76032,0.43877,1.83799,1.73115,2.94498,0.00123791,0.00123791,0.00123791
28,1308.74,1.76115,1.67943,2.75731,0.75049,0.68074,0.75546,0.4363,1.79857,1.80124,2.96419,0.00122141,0.00122141,0.00122141
29,1353.13,1.78999,1.61764,2.71963,0.73048,0.70844,0.77934,0.43914,1.80119,1.63464,3.09668,0.00120491,0.00120491,0.00120491
30,1397.63,1.80162,1.6871,2.70925,0.77425,0.64363,0.76527,0.41048,1.91909,1.78157,3.15386,0.0011884,0.0011884,0.0011884
31,1442,1.7193,1.59183,2.7066,0.83165,0.72433,0.83371,0.48768,1.71563,1.58425,3.07226,0.0011719,0.0011719,0.0011719
32,1486.47,1.74907,1.53138,2.65938,0.71813,0.72111,0.8034,0.46501,1.86401,1.61656,2.9961,0.0011554,0.0011554,0.0011554
33,1530.8,1.69075,1.54805,2.70813,0.78318,0.78671,0.83128,0.52987,1.67535,1.53657,2.88032,0.00113889,0.00113889,0.00113889
34,1575.31,1.62794,1.50391,2.63929,0.75947,0.75773,0.82845,0.51654,1.65915,1.48082,2.81869,0.00112239,0.00112239,0.00112239
35,1619.66,1.59848,1.43777,2.53869,0.80187,0.73967,0.83142,0.50459,1.73933,1.67913,3.00871,0.00110589,0.00110589,0.00110589
36,1663.95,1.67683,1.53838,2.68551,0.77139,0.75222,0.83138,0.50185,1.71864,1.54279,2.94981,0.00108938,0.00108938,0.00108938
37,1708.35,1.64137,1.46657,2.68286,0.80678,0.76678,0.84538,0.54289,1.6144,1.51303,2.80909,0.00107288,0.00107288,0.00107288
38,1752.76,1.59601,1.45273,2.61255,0.82694,0.77343,0.85765,0.5516,1.59374,1.47204,2.83762,0.00105638,0.00105638,0.00105638
39,1797.23,1.58526,1.3943,2.51076,0.8025,0.75721,0.8377,0.55882,1.59283,1.66589,2.87428,0.00103987,0.00103987,0.00103987
40,1841.7,1.60499,1.44223,2.60096,0.75274,0.79504,0.84151,0.53572,1.56151,1.46362,2.75627,0.00102337,0.00102337,0.00102337
41,1886.01,1.57292,1.34939,2.50002,0.87503,0.71891,0.83935,0.51974,1.76537,1.68458,2.92492,0.00100687,0.00100687,0.00100687
