epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.9007,3.26075,3.8764,4.1641,0,0,0,0,3.40123,4.2658,4.25299,0.000546249,0.000546249,0.000546249
2,114.191,3.05265,2.99746,3.50055,0.04264,0.26629,0.05028,0.01534,2.94922,3.85669,3.80786,0.00109101,0.00109101,0.00109101
3,139.477,2.77129,2.78219,3.20843,0.31976,0.40816,0.26779,0.09857,2.62487,3.11659,3.69342,0.00162476,0.00162476,0.00162476
4,164.667,2.6464,2.66448,3.18981,0.33203,0.36973,0.293,0.10016,2.73331,3.58541,3.87136,0.00161749,0.00161749,0.00161749
5,189.91,2.60522,2.42927,3.03343,0.48087,0.4398,0.41812,0.19186,2.55384,2.92785,3.65673,0.00160099,0.00160099,0.00160099
6,215.072,2.58146,2.32557,2.91975,0.31426,0.5472,0.44144,0.1755,2.50364,2.61277,3.45552,0.00158448,0.00158448,0.00158448
7,240.186,2.41574,2.31031,2.90798,0.39263,0.5297,0.46179,0.21876,2.34123,3.04237,3.33776,0.00156798,0.00156798,0.00156798
8,265.401,2.34107,2.14875,2.77738,0.56855,0.58597,0.63757,0.29059,2.24561,2.22512,3.12285,0.00155148,0.00155148,0.00155148
9,290.637,2.22038,1.89952,2.70694,0.62525,0.62457,0.65388,0.34906,2.15715,2.22044,3.16038,0.00153497,0.00153497,0.00153497
10,315.904,2.2141,1.9324,2.76192,0.59043,0.58204,0.60583,0.30654,2.07592,2.16288,3.04649,0.00151847,0.00151847,0.00151847
11,340.916,2.10373,1.91402,2.64252,0.6651,0.5971,0.67729,0.36793,2.21828,1.98975,3.06981,0.00150197,0.00150197,0.00150197
12,366.153,2.12421,1.873,2.69546,0.63326,0.66268,0.69102,0.34955,2.09214,2.08268,3.11924,0.00148546,0.00148546,0.00148546
13,391.208,2.01118,1.875,2.61248,0.71439,0.68563,0.74653,0.41745,1.92208,2.06687,2.91245,0.00146896,0.00146896,0.00146896
14,416.35,1.92864,1.82451,2.58538,0.80486,0.6553,0.80053,0.46569,1.82882,1.91077,2.92858,0.00145246,0.00145246,0.00145246
