epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.07368,3.69042,3.97943,4.18072,0,0,0,0,3.9592,4.15263,4.25058,0.000546249,0.000546249,0.000546249
2,74.4382,3.22635,3.39102,3.49251,0.02724,0.25651,0.02488,0.01094,3.57564,3.87058,3.7638,0.00109101,0.00109101,0.00109101
3,79.824,2.92655,3.14882,3.19219,0.10565,0.15178,0.05011,0.01633,3.16106,4.84734,4.17636,0.00162476,0.00162476,0.00162476
4,85.0845,2.825,2.97288,3.07585,0.19525,0.36384,0.16809,0.05515,2.79324,2.94742,3.28921,0.00161749,0.00161749,0.00161749
5,90.4115,2.75087,2.75389,2.91963,0.1949,0.29255,0.17764,0.06063,2.86857,3.5234,3.35972,0.00160099,0.00160099,0.00160099
6,95.7111,2.70857,2.61875,2.91386,0.21314,0.38223,0.21088,0.08726,2.67163,2.56978,2.99656,0.00158448,0.00158448,0.00158448
7,101.037,2.61114,2.5895,2.81079,0.37982,0.38737,0.29785,0.13029,2.608,2.53572,2.90393,0.00156798,0.00156798,0.00156798
8,106.33,2.53555,2.51507,2.76873,0.80251,0.26667,0.35365,0.15543,2.61961,2.32337,2.96107,0.00155148,0.00155148,0.00155148
9,111.623,2.51954,2.48207,2.78024,0.40011,0.43926,0.35904,0.16415,2.44575,2.41342,2.84895,0.00153497,0.00153497,0.00153497
10,116.921,2.44174,2.23583,2.73105,0.39587,0.49431,0.38792,0.18683,2.41861,2.22651,2.84541,0.00151847,0.00151847,0.00151847
11,122.217,2.42269,2.25613,2.68991,0.39863,0.48524,0.3907,0.1776,2.52397,2.30389,2.97609,0.00150197,0.00150197,0.00150197
12,127.489,2.40884,2.16509,2.62141,0.3794,0.60149,0.5435,0.2671,2.32117,2.16242,2.72375,0.00148546,0.00148546,0.00148546
13,133.274,2.36013,2.08398,2.58798,0.61855,0.63004,0.64187,0.31059,2.17067,1.86412,2.64907,0.00146896,0.00146896,0.00146896
14,138.878,2.27988,1.94439,2.54082,0.5513,0.59164,0.59335,0.29942,2.16144,1.95002,2.66608,0.00145246,0.00145246,0.00145246
15,144.181,2.20491,1.87423,2.48624,0.65303,0.54732,0.55059,0.27869,2.22106,2.15889,2.67956,0.00143595,0.00143595,0.00143595
16,149.467,2.15717,1.90322,2.56343,0.39776,0.70403,0.67381,0.35274,2.09476,2.19338,2.60081,0.00141945,0.00141945,0.00141945
17,154.74,2.17406,1.83257,2.50403,0.56476,0.58491,0.58405,0.28549,2.03001,1.90398,2.64241,0.00140295,0.00140295,0.00140295
18,160.041,2.08557,1.78904,2.46114,0.63103,0.6316,0.63845,0.34649,2.15619,1.8671,2.63392,0.00138644,0.00138644,0.00138644
19,165.372,2.10429,1.75603,2.44785,0.72975,0.51698,0.60261,0.32749,2.03768,2.81386,2.62716,0.00136994,0.00136994,0.00136994
20,170.621,2.00353,1.69583,2.39997,0.67952,0.71577,0.76812,0.43834,1.87844,1.59085,2.49105,0.00135344,0.00135344,0.00135344
