epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0255,3.35359,3.98163,4.18759,0,0,0,0,3.39724,4.31684,4.24107,0.000546249,0.000546249,0.000546249
2,80.0799,3.1671,3.29606,3.57189,0.03951,0.20618,0.04961,0.01889,3.0033,4.00097,3.75599,0.00109101,0.00109101,0.00109101
3,88.3407,2.8936,3.17044,3.30349,0.11597,0.18307,0.0713,0.0267,3.08613,11.1688,4.22726,0.00162476,0.00162476,0.00162476
4,96.5468,2.70911,2.98265,3.2389,0.3244,0.2974,0.2986,0.13022,2.70882,3.11077,3.64709,0.00161749,0.00161749,0.00161749
5,104.792,2.72692,2.7975,3.11783,0.45243,0.39032,0.37888,0.16432,2.62494,2.8074,3.31337,0.00160099,0.00160099,0.00160099
6,113.07,2.69603,2.55906,3.04596,0.30981,0.44806,0.32166,0.13942,2.56176,2.8226,3.26998,0.00158448,0.00158448,0.00158448
7,121.335,2.57127,2.55152,3.03912,0.43702,0.42015,0.35573,0.16321,2.5058,2.67196,3.27166,0.00156798,0.00156798,0.00156798
8,129.579,2.51103,2.38898,2.9801,0.44582,0.51383,0.47294,0.22004,2.40496,2.51377,3.21063,0.00155148,0.00155148,0.00155148
9,137.838,2.4385,2.18608,2.87968,0.39242,0.42044,0.36425,0.19083,2.5441,2.43673,3.25569,0.00153497,0.00153497,0.00153497
10,146.097,2.44679,2.26812,2.96806,0.40393,0.52199,0.5018,0.23715,2.28818,2.45896,3.24074,0.00151847,0.00151847,0.00151847
11,154.311,2.34231,2.18532,2.903,0.45069,0.56641,0.55571,0.28863,2.19499,2.13877,3.06598,0.00150197,0.00150197,0.00150197
12,162.541,2.29064,2.10093,2.88948,0.52657,0.61842,0.55559,0.28813,2.1822,2.29645,3.13602,0.00148546,0.00148546,0.00148546
13,170.784,2.15242,2.10249,2.77367,0.60919,0.57315,0.59781,0.31769,2.11919,2.14263,3.01069,0.00146896,0.00146896,0.00146896
14,179.048,2.10416,2.03043,2.75207,0.59689,0.62404,0.62541,0.31167,2.13916,2.21553,3.01663,0.00145246,0.00145246,0.00145246
15,187.291,2.06782,1.87371,2.66193,0.62856,0.64393,0.72171,0.38999,1.99347,1.92864,2.95648,0.00143595,0.00143595,0.00143595
16,195.491,2.023,1.79449,2.65992,0.65495,0.67277,0.71223,0.39399,2.0381,1.91754,2.86744,0.00141945,0.00141945,0.00141945
17,203.71,1.98387,1.70569,2.51278,0.63148,0.69887,0.71473,0.40629,1.87146,1.85324,2.92054,0.00140295,0.00140295,0.00140295
18,211.973,1.92738,1.75737,2.55242,0.62719,0.72174,0.79567,0.44133,1.90842,1.9421,2.81001,0.00138644,0.00138644,0.00138644
19,220.212,1.91044,1.66486,2.45879,0.75354,0.70572,0.77447,0.4436,1.83512,1.7257,2.74908,0.00136994,0.00136994,0.00136994
20,228.387,1.85367,1.59788,2.41773,0.86402,0.70736,0.82365,0.46918,1.86708,1.75655,2.7935,0.00135344,0.00135344,0.00135344
21,236.627,1.87601,1.61745,2.44734,0.80441,0.74033,0.80321,0.4742,1.90697,1.73206,2.73192,0.00133693,0.00133693,0.00133693
22,244.85,1.81437,1.56863,2.37962,0.75397,0.75228,0.80018,0.47055,1.76919,2.0587,2.63859,0.00132043,0.00132043,0.00132043
23,253.081,1.77435,1.56104,2.33777,0.76954,0.80432,0.84812,0.51743,1.64374,1.56441,2.54148,0.00130393,0.00130393,0.00130393
24,261.283,1.71883,1.52312,2.3329,0.82583,0.75312,0.83282,0.52027,1.69775,1.69413,2.64482,0.00128742,0.00128742,0.00128742
25,269.493,1.68767,1.54986,2.35204,0.81879,0.79255,0.86093,0.54241,1.62283,1.48851,2.65097,0.00127092,0.00127092,0.00127092
26,277.754,1.69256,1.42395,2.27774,0.79031,0.74008,0.83249,0.53004,1.60526,1.53139,2.70602,0.00125442,0.00125442,0.00125442
27,285.933,1.70524,1.4721,2.35735,0.84202,0.81335,0.87717,0.57231,1.5217,1.43917,2.56651,0.00123791,0.00123791,0.00123791
28,294.127,1.65019,1.43124,2.27361,0.81628,0.78922,0.86415,0.56768,1.51879,1.40982,2.47788,0.00122141,0.00122141,0.00122141
29,302.342,1.61856,1.39563,2.24658,0.82034,0.79833,0.86851,0.54284,1.62429,1.46912,2.46186,0.00120491,0.00120491,0.00120491
30,310.533,1.59876,1.38946,2.21214,0.81811,0.75659,0.83532,0.53574,1.57368,1.51256,2.47642,0.0011884,0.0011884,0.0011884
31,318.754,1.60958,1.39473,2.25028,0.82358,0.82017,0.87745,0.56386,1.5001,1.40083,2.44655,0.0011719,0.0011719,0.0011719
32,326.956,1.58404,1.35929,2.19848,0.85088,0.79384,0.87196,0.59718,1.48019,1.43459,2.50272,0.0011554,0.0011554,0.0011554
33,335.154,1.5441,1.2767,2.13194,0.82235,0.79921,0.86696,0.56724,1.50218,1.35548,2.47147,0.00113889,0.00113889,0.00113889
34,343.368,1.52768,1.26349,2.16969,0.85836,0.80332,0.8812,0.58864,1.50183,1.39658,2.47597,0.00112239,0.00112239,0.00112239
35,351.557,1.53857,1.29578,2.16036,0.84519,0.77401,0.85571,0.58361,1.45113,1.48537,2.59069,0.00110589,0.00110589,0.00110589
36,359.767,1.51398,1.30431,2.19481,0.86378,0.79838,0.89021,0.5837,1.51471,1.36929,2.40972,0.00108938,0.00108938,0.00108938
37,368.002,1.59531,1.37978,2.24312,0.84202,0.77146,0.88663,0.60159,1.45721,1.34669,2.38682,0.00107288,0.00107288,0.00107288
38,376.218,1.46702,1.24622,2.11789,0.83958,0.8322,0.87696,0.59746,1.46623,1.36826,2.54136,0.00105638,0.00105638,0.00105638
39,384.437,1.53357,1.2914,2.19013,0.86536,0.83999,0.90171,0.61022,1.40025,1.21522,2.39675,0.00103987,0.00103987,0.00103987
40,392.615,1.43965,1.20545,2.11264,0.86525,0.78401,0.86417,0.58791,1.49652,1.42416,2.44698,0.00102337,0.00102337,0.00102337
41,400.798,1.45839,1.21508,2.15311,0.79738,0.81404,0.87598,0.58669,1.41108,1.36374,2.36752,0.00100687,0.00100687,0.00100687
42,409.03,1.44414,1.19343,2.09368,0.82252,0.83828,0.89092,0.60701,1.39299,1.31064,2.35653,0.000990365,0.000990365,0.000990365
43,417.214,1.43738,1.28327,2.09344,0.85562,0.83666,0.8962,0.61703,1.42615,1.2881,2.3253,0.000973861,0.000973861,0.000973861
44,425.403,1.4563,1.2447,2.10125,0.84218,0.84656,0.89825,0.6354,1.39374,1.26554,2.34025,0.000957358,0.000957358,0.000957358
45,433.625,1.44266,1.17416,2.06277,0.85088,0.82579,0.90152,0.62682,1.37359,1.21373,2.38027,0.000940855,0.000940855,0.000940855
46,441.836,1.43566,1.15169,2.15118,0.8347,0.8121,0.87804,0.60292,1.35068,1.64169,2.43808,0.000924352,0.000924352,0.000924352
47,450.059,1.44357,1.21168,2.12319,0.85141,0.80233,0.88942,0.6178,1.37909,1.24425,2.47795,0.000907848,0.000907848,0.000907848
48,458.245,1.44568,1.20386,2.16552,0.83337,0.85976,0.89933,0.64091,1.36442,1.18506,2.27234,0.000891345,0.000891345,0.000891345
49,466.436,1.37754,1.11081,2.02633,0.83946,0.83307,0.90136,0.63937,1.33056,1.19776,2.29798,0.000874842,0.000874842,0.000874842
50,474.622,1.39042,1.18085,2.14983,0.88563,0.84449,0.91149,0.65632,1.3068,1.27172,2.30419,0.000858338,0.000858338,0.000858338
51,482.818,1.37877,1.16011,2.08765,0.83738,0.83756,0.9108,0.6328,1.36245,1.22965,2.36304,0.000841835,0.000841835,0.000841835
52,491.013,1.34213,1.08045,1.99548,0.8622,0.851,0.89926,0.64369,1.30913,1.15651,2.41246,0.000825332,0.000825332,0.000825332
53,499.225,1.36081,1.11294,2.07389,0.84647,0.85594,0.90369,0.64425,1.29283,1.17524,2.33918,0.000808828,0.000808828,0.000808828
54,507.442,1.36809,1.04626,2.0115,0.86155,0.83895,0.90525,0.64323,1.32997,1.15214,2.2544,0.000792325,0.000792325,0.000792325
55,515.688,1.33673,1.08049,1.96547,0.86572,0.85694,0.91159,0.64484,1.28608,1.10122,2.23551,0.000775822,0.000775822,0.000775822
56,523.895,1.34088,1.08486,1.98377,0.8501,0.83775,0.90964,0.64788,1.31727,1.17812,2.27214,0.000759318,0.000759318,0.000759318
57,532.092,1.33457,1.05567,2.01515,0.85733,0.85832,0.91301,0.67207,1.23622,1.10187,2.32741,0.000742815,0.000742815,0.000742815
58,540.33,1.31546,1.07264,2.03082,0.88542,0.85506,0.91419,0.66039,1.28673,1.1166,2.20007,0.000726312,0.000726312,0.000726312
59,548.594,1.3303,1.07636,1.99784,0.86927,0.83615,0.90002,0.65767,1.25875,1.1084,2.29966,0.000709809,0.000709809,0.000709809
60,556.748,1.34089,1.0915,2.0639,0.85222,0.85932,0.91012,0.66576,1.26442,1.15368,2.19474,0.000693305,0.000693305,0.000693305
61,564.933,1.33855,1.08834,2.01725,0.85322,0.84178,0.90399,0.66019,1.26615,1.14762,2.20058,0.000676802,0.000676802,0.000676802
62,573.08,1.28084,1.02351,1.95092,0.86503,0.84476,0.9102,0.66385,1.2438,1.07785,2.1512,0.000660299,0.000660299,0.000660299
63,581.262,1.31401,1.06398,1.99223,0.86018,0.85284,0.9072,0.66269,1.24828,1.12517,2.16435,0.000643795,0.000643795,0.000643795
64,589.454,1.33054,1.03354,1.96143,0.86305,0.88243,0.92421,0.68262,1.22081,1.10242,2.19994,0.000627292,0.000627292,0.000627292
65,597.632,1.31987,1.09097,1.98905,0.86261,0.85366,0.91673,0.66468,1.24977,1.09954,2.23479,0.000610789,0.000610789,0.000610789
66,605.844,1.25703,1.00933,1.90491,0.86121,0.85355,0.91276,0.67522,1.21126,1.07746,2.14268,0.000594286,0.000594286,0.000594286
67,613.997,1.327,1.06374,1.98564,0.8412,0.89355,0.923,0.66478,1.25455,1.03102,2.17353,0.000577782,0.000577782,0.000577782
68,622.171,1.28467,1.04225,1.98427,0.8686,0.88218,0.92422,0.69239,1.19602,1.03485,2.18976,0.000561279,0.000561279,0.000561279
69,630.39,1.22771,0.97647,1.9107,0.87028,0.87688,0.92215,0.67409,1.24042,1.07049,2.14118,0.000544776,0.000544776,0.000544776
70,638.562,1.29057,1.03855,2.04139,0.85566,0.87321,0.91869,0.67299,1.22541,1.05243,2.28761,0.000528272,0.000528272,0.000528272
71,646.74,1.24424,1.01197,2.00874,0.85695,0.87799,0.92511,0.67245,1.27036,1.0628,2.19344,0.000511769,0.000511769,0.000511769
72,654.886,1.29075,1.04198,1.98554,0.87064,0.85664,0.92043,0.67535,1.24327,1.00563,2.14696,0.000495266,0.000495266,0.000495266
73,663.062,1.24395,0.99765,1.93599,0.85881,0.88905,0.91918,0.68543,1.17664,1.05393,2.13553,0.000478762,0.000478762,0.000478762
74,671.272,1.22346,0.96317,1.87433,0.86735,0.87677,0.92281,0.68778,1.1673,1.01395,2.16347,0.000462259,0.000462259,0.000462259
75,679.467,1.21905,0.93299,1.87047,0.8569,0.89039,0.91899,0.68163,1.19921,1.05585,2.15779,0.000445756,0.000445756,0.000445756
76,687.642,1.24274,0.97071,1.99516,0.85092,0.8711,0.92552,0.67494,1.25675,1.09478,2.15353,0.000429253,0.000429253,0.000429253
77,695.832,1.22303,0.9885,1.9036,0.8673,0.8698,0.91811,0.6851,1.19186,1.03018,2.19028,0.000412749,0.000412749,0.000412749
78,704.01,1.21676,0.94905,1.90493,0.86747,0.88405,0.92464,0.68644,1.20067,1.00551,2.16443,0.000396246,0.000396246,0.000396246
79,712.216,1.21347,0.93009,1.90769,0.87349,0.87557,0.92464,0.68902,1.19993,1.00284,2.10503,0.000379743,0.000379743,0.000379743
80,720.387,1.24319,0.9952,1.93493,0.87126,0.88485,0.93193,0.69214,1.18106,0.96997,2.13372,0.000363239,0.000363239,0.000363239
81,728.568,1.25707,1.00866,1.93089,0.85866,0.88,0.92277,0.69989,1.17339,1.03544,2.22324,0.000346736,0.000346736,0.000346736
82,736.79,1.25342,0.99036,1.93552,0.85989,0.87687,0.92205,0.68509,1.19294,1.0166,2.06814,0.000330233,0.000330233,0.000330233
83,744.923,1.17361,0.91836,1.89462,0.85248,0.89222,0.92919,0.6921,1.19568,0.99052,2.18102,0.000313729,0.000313729,0.000313729
84,753.077,1.18849,0.9346,1.81934,0.87094,0.88749,0.92864,0.70328,1.14295,0.97301,2.07924,0.000297226,0.000297226,0.000297226
