epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.3465,3.37963,4.20166,4.35411,0,0,0,0,3.38854,4.33045,4.23253,0.000546249,0.000546249,0.000546249
2,87.4648,3.05411,3.63962,3.74401,0.00796,0.05,0.00581,0.00192,3.23971,4.05737,4.09442,0.00109101,0.00109101,0.00109101
3,99.4816,2.8305,3.36551,3.4872,0.04233,0.56834,0.06811,0.01411,2.8563,8.09132,5.60872,0.00162476,0.00162476,0.00162476
4,111.443,2.77158,3.18206,3.35072,0.19853,0.23859,0.13905,0.04544,2.72377,3.04328,3.53857,0.00161749,0.00161749,0.00161749
5,123.434,2.68902,2.91016,3.25714,0.12061,0.17958,0.09665,0.03752,2.91815,3.55298,3.84478,0.00160099,0.00160099,0.00160099
6,135.353,2.66134,2.85269,3.27299,0.31554,0.34593,0.27884,0.10337,2.53463,2.66911,3.36655,0.00158448,0.00158448,0.00158448
7,147.388,2.50056,2.72114,3.13575,0.42591,0.42666,0.3649,0.15365,2.51777,2.75506,3.39698,0.00156798,0.00156798,0.00156798
8,159.548,2.48997,2.72354,3.12506,0.36309,0.43654,0.38628,0.14147,2.64353,2.5319,3.4261,0.00155148,0.00155148,0.00155148
9,171.448,2.52859,2.65324,3.09854,0.52365,0.50117,0.46605,0.2135,2.48971,2.83529,3.3213,0.00153497,0.00153497,0.00153497
10,183.393,2.39142,2.44525,3.02352,0.55908,0.48452,0.50683,0.24923,2.41642,2.44009,3.28204,0.00151847,0.00151847,0.00151847
11,195.318,2.36619,2.42788,2.941,0.43012,0.48802,0.46853,0.21596,2.39052,2.43333,3.19218,0.00150197,0.00150197,0.00150197
12,207.178,2.233,2.39042,2.82784,0.57893,0.51932,0.559,0.25746,2.31255,2.29792,3.0988,0.00148546,0.00148546,0.00148546
13,219.12,2.22243,2.25317,2.84073,0.54408,0.56347,0.5972,0.27981,2.32108,2.20506,3.17396,0.00146896,0.00146896,0.00146896
14,231.048,2.21274,2.16596,2.78143,0.61667,0.58443,0.62412,0.32114,2.12448,2.11877,3.05409,0.00145246,0.00145246,0.00145246
15,243.008,2.14025,2.07645,2.74337,0.63804,0.62915,0.66191,0.35972,2.14681,2.04249,2.94919,0.00143595,0.00143595,0.00143595
16,254.925,2.08187,2.03082,2.74001,0.93266,0.35695,0.67406,0.35223,2.11892,2.19719,2.98517,0.00141945,0.00141945,0.00141945
17,266.852,2.03453,1.97455,2.71265,0.6673,0.64058,0.68408,0.37405,2.09811,2.00936,2.98697,0.00140295,0.00140295,0.00140295
18,279.024,1.95135,1.86815,2.60602,0.66169,0.61586,0.65469,0.34401,2.14573,2.14663,2.91452,0.00138644,0.00138644,0.00138644
19,290.874,2.04327,1.9194,2.70862,0.55807,0.62137,0.66278,0.37143,2.03693,1.97787,2.94006,0.00136994,0.00136994,0.00136994
20,302.759,1.92754,1.80248,2.59992,0.70674,0.62145,0.71126,0.41493,1.98068,2.00475,2.92833,0.00135344,0.00135344,0.00135344
21,314.687,1.95954,1.77683,2.5862,0.73643,0.66634,0.73641,0.42202,1.86339,1.81645,2.91272,0.00133693,0.00133693,0.00133693
22,326.595,1.87032,1.74935,2.65415,0.74576,0.62952,0.71822,0.41068,2.03003,1.89663,2.95864,0.00132043,0.00132043,0.00132043
23,338.43,1.87789,1.75472,2.57708,0.74313,0.68655,0.77515,0.4241,1.89478,1.64894,2.77135,0.00130393,0.00130393,0.00130393
24,350.317,1.82063,1.70485,2.51648,0.73751,0.71744,0.76776,0.45042,1.87673,1.78532,2.8611,0.00128742,0.00128742,0.00128742
25,362.264,1.81283,1.66532,2.50726,0.75439,0.72944,0.79199,0.46228,1.79941,1.78389,2.79358,0.00127092,0.00127092,0.00127092
26,374.216,1.72352,1.54181,2.39462,0.74876,0.68804,0.77307,0.46834,1.78599,1.96083,2.72257,0.00125442,0.00125442,0.00125442
27,386.094,1.7733,1.61081,2.48691,0.7734,0.73558,0.80519,0.44365,1.78356,1.66538,2.67467,0.00123791,0.00123791,0.00123791
28,397.93,1.67809,1.54895,2.38005,0.79491,0.74655,0.81961,0.49886,1.72568,1.64087,2.65588,0.00122141,0.00122141,0.00122141
29,409.883,1.74733,1.53903,2.42376,0.79767,0.758,0.83544,0.48178,1.72417,1.62492,2.65154,0.00120491,0.00120491,0.00120491
30,421.717,1.67032,1.5395,2.33836,0.77664,0.74628,0.81671,0.51383,1.71231,1.63384,2.74069,0.0011884,0.0011884,0.0011884
31,433.61,1.64728,1.49192,2.38244,0.84396,0.73639,0.8379,0.51269,1.65453,1.57799,2.72365,0.0011719,0.0011719,0.0011719
32,445.489,1.66577,1.44396,2.37518,0.79726,0.7383,0.82851,0.51633,1.63869,1.63634,2.62343,0.0011554,0.0011554,0.0011554
33,457.432,1.65534,1.42848,2.39972,0.84632,0.78988,0.87026,0.55565,1.61369,1.42808,2.61503,0.00113889,0.00113889,0.00113889
34,469.39,1.61655,1.39329,2.32855,0.76916,0.79377,0.83991,0.51883,1.61725,1.41843,2.52945,0.00112239,0.00112239,0.00112239
35,481.242,1.57623,1.36581,2.28385,0.82915,0.77781,0.85535,0.54041,1.63599,1.49867,2.67896,0.00110589,0.00110589,0.00110589
36,493.057,1.65784,1.43786,2.40602,0.8102,0.7664,0.85207,0.53001,1.63676,1.44803,2.68641,0.00108938,0.00108938,0.00108938
37,504.919,1.6131,1.37756,2.36986,0.84391,0.79389,0.86854,0.56053,1.5712,1.42766,2.52471,0.00107288,0.00107288,0.00107288
38,516.847,1.54927,1.3584,2.29969,0.77172,0.73366,0.80901,0.51879,1.53205,1.4975,2.58325,0.00105638,0.00105638,0.00105638
39,528.697,1.56837,1.31944,2.24671,0.83352,0.7609,0.84604,0.53255,1.59927,1.43075,2.65825,0.00103987,0.00103987,0.00103987
