epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.6699,3.479,3.79615,4.28475,0,0,0,0,3.39785,4.25508,4.23983,0.000546249,0.000546249,0.000546249
2,87.7934,3.19551,3.11097,3.68003,0.00489,0.03333,0.00268,0.00103,3.29524,4.16727,4.17496,0.00109101,0.00109101,0.00109101
3,99.8427,2.83107,2.9638,3.32696,0.29199,0.26174,0.20554,0.07751,2.71509,3.51037,3.59913,0.00162476,0.00162476,0.00162476
4,111.853,2.65161,2.7814,3.20903,0.29013,0.36135,0.22337,0.07512,2.69911,3.26163,3.74412,0.00161749,0.00161749,0.00161749
5,123.828,2.65866,2.60179,3.13077,0.2839,0.50831,0.35323,0.13679,2.47947,2.91115,3.44286,0.00160099,0.00160099,0.00160099
6,135.837,2.504,2.34666,3.01587,0.35496,0.6189,0.51029,0.22092,2.35941,2.70627,3.35456,0.00158448,0.00158448,0.00158448
7,147.825,2.42179,2.35761,2.98823,0.52251,0.56631,0.50076,0.25694,2.29456,2.44041,3.29993,0.00156798,0.00156798,0.00156798
8,159.851,2.28224,2.1892,2.95419,0.51432,0.59501,0.61351,0.3207,2.14144,2.28269,3.22817,0.00155148,0.00155148,0.00155148
9,171.89,2.13838,1.94095,2.78163,0.60797,0.58546,0.57369,0.29598,2.12025,2.33052,3.24642,0.00153497,0.00153497,0.00153497
10,184.005,2.1328,1.90937,2.86719,0.61459,0.66475,0.73348,0.40079,2.01031,1.98836,3.1166,0.00151847,0.00151847,0.00151847
11,195.982,2.08419,1.86813,2.81041,0.66388,0.63143,0.71008,0.37762,2.0943,2.13272,3.03865,0.00150197,0.00150197,0.00150197
12,207.943,1.98575,1.83234,2.81358,0.70795,0.65844,0.69953,0.37102,2.1216,2.0446,3.26589,0.00148546,0.00148546,0.00148546
13,219.926,1.99304,1.83266,2.8113,0.75223,0.65301,0.73051,0.41194,1.87499,1.97692,3.10442,0.00146896,0.00146896,0.00146896
14,231.906,1.92739,1.79636,2.71194,0.82988,0.70533,0.80433,0.47648,1.84132,1.89415,2.92433,0.00145246,0.00145246,0.00145246
15,243.919,1.89544,1.66181,2.64395,0.75309,0.73269,0.76298,0.46012,1.77523,1.95521,2.95238,0.00143595,0.00143595,0.00143595
16,255.837,1.81435,1.56251,2.54912,0.80917,0.73988,0.84371,0.51053,1.71543,1.62435,2.84456,0.00141945,0.00141945,0.00141945
17,267.863,1.79296,1.46592,2.47598,0.77742,0.76845,0.83284,0.52368,1.68389,1.64067,2.84622,0.00140295,0.00140295,0.00140295
18,279.833,1.73155,1.496,2.47371,0.79164,0.74243,0.82571,0.50777,1.66846,1.59396,2.77312,0.00138644,0.00138644,0.00138644
19,291.788,1.66902,1.42773,2.4247,0.78705,0.72302,0.8414,0.53155,1.64732,1.57833,2.7877,0.00136994,0.00136994,0.00136994
20,303.783,1.70226,1.40939,2.38436,0.8703,0.73376,0.85125,0.54042,1.66029,1.47796,2.81407,0.00135344,0.00135344,0.00135344
21,315.793,1.67729,1.39016,2.41508,0.80351,0.80009,0.86104,0.56298,1.5425,1.44143,2.76622,0.00133693,0.00133693,0.00133693
22,327.824,1.61699,1.34751,2.39011,0.83408,0.75108,0.83332,0.53433,1.59312,1.81073,2.77147,0.00132043,0.00132043,0.00132043
23,339.749,1.57219,1.31559,2.34902,0.86424,0.79372,0.87455,0.57949,1.58781,1.50527,2.82671,0.00130393,0.00130393,0.00130393
24,351.804,1.56791,1.32075,2.39128,0.83787,0.76554,0.86151,0.56984,1.54114,1.50324,2.70895,0.00128742,0.00128742,0.00128742
25,363.69,1.57859,1.3607,2.33807,0.85807,0.80124,0.88502,0.5825,1.54387,1.3618,2.64164,0.00127092,0.00127092,0.00127092
26,375.678,1.56691,1.28503,2.30641,0.86386,0.79536,0.88448,0.60413,1.43863,1.41398,2.62727,0.00125442,0.00125442,0.00125442
27,387.652,1.60033,1.31318,2.41071,0.85337,0.8156,0.88024,0.59211,1.50625,1.36119,2.6667,0.00123791,0.00123791,0.00123791
28,399.579,1.50213,1.26663,2.33823,0.84185,0.79206,0.88997,0.61669,1.38438,1.26376,2.56403,0.00122141,0.00122141,0.00122141
29,411.579,1.50103,1.22897,2.28584,0.85205,0.77531,0.87437,0.58621,1.46398,1.3256,2.54702,0.00120491,0.00120491,0.00120491
30,423.49,1.46067,1.23368,2.27921,0.86916,0.78008,0.88565,0.59834,1.50632,1.47679,2.56898,0.0011884,0.0011884,0.0011884
31,435.408,1.53658,1.28677,2.28115,0.8369,0.8115,0.8858,0.5867,1.436,1.31747,2.55479,0.0011719,0.0011719,0.0011719
32,447.341,1.47886,1.19315,2.30222,0.86537,0.82112,0.89092,0.62158,1.38389,1.29606,2.59311,0.0011554,0.0011554,0.0011554
33,459.314,1.43053,1.15359,2.15148,0.8543,0.81695,0.89834,0.62165,1.39929,1.24817,2.53874,0.00113889,0.00113889,0.00113889
34,471.284,1.43806,1.11999,2.2315,0.85364,0.84041,0.90459,0.62704,1.36545,1.17684,2.49957,0.00112239,0.00112239,0.00112239
35,483.299,1.45895,1.1547,2.21038,0.85334,0.82569,0.89364,0.60176,1.42572,1.30223,2.66247,0.00110589,0.00110589,0.00110589
36,495.209,1.43577,1.16108,2.2528,0.88686,0.80951,0.89624,0.62284,1.38024,1.25519,2.53087,0.00108938,0.00108938,0.00108938
37,507.146,1.48059,1.24705,2.27717,0.84775,0.82211,0.89556,0.63407,1.3514,1.26951,2.45583,0.00107288,0.00107288,0.00107288
38,519.082,1.40617,1.15775,2.1643,0.85798,0.82374,0.88577,0.61034,1.37265,1.24887,2.5436,0.00105638,0.00105638,0.00105638
39,531.016,1.43271,1.17765,2.25435,0.86813,0.84892,0.91123,0.62823,1.40119,1.14825,2.52443,0.00103987,0.00103987,0.00103987
40,542.953,1.39613,1.11336,2.14912,0.82804,0.83721,0.8872,0.63319,1.30744,1.18274,2.49899,0.00102337,0.00102337,0.00102337
41,554.886,1.35727,1.09543,2.17221,0.85965,0.83876,0.89448,0.62101,1.39447,1.22063,2.52737,0.00100687,0.00100687,0.00100687
42,566.851,1.33929,1.06272,2.13378,0.86772,0.83922,0.91887,0.65979,1.31524,1.18785,2.35299,0.000990365,0.000990365,0.000990365
43,578.824,1.3593,1.14436,2.11164,0.862,0.85607,0.91364,0.65672,1.25174,1.11569,2.39298,0.000973861,0.000973861,0.000973861
44,590.752,1.3755,1.12672,2.2053,0.8648,0.82671,0.90561,0.6562,1.23965,1.16663,2.39818,0.000957358,0.000957358,0.000957358
45,602.71,1.34531,1.07339,2.05497,0.86945,0.85127,0.90994,0.64912,1.29559,1.15916,2.57633,0.000940855,0.000940855,0.000940855
46,614.643,1.30544,1.03228,2.18642,0.8463,0.84812,0.89975,0.6399,1.3221,1.19471,2.3809,0.000924352,0.000924352,0.000924352
