epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.8517,3.09644,4.08869,4.1381,0.00038,0.00185,0.00019,2e-05,3.03568,4.20615,4.27869,0.000546249,0.000546249,0.000546249
2,181.506,2.96959,3.22502,3.67607,0.05497,0.48841,0.08184,0.02266,2.79885,3.767,3.99765,0.00109101,0.00109101,0.00109101
3,240.828,2.73432,3.11049,3.44208,0.10887,0.30359,0.06926,0.01594,2.94952,3.58789,4.17398,0.00162476,0.00162476,0.00162476
4,299.761,2.62454,3.06041,3.40659,0.12804,0.27509,0.07383,0.01567,3.08728,4.19138,4.19871,0.00161749,0.00161749,0.00161749
5,358.741,2.60326,2.89494,3.31167,0.24856,0.28927,0.14673,0.03046,2.72852,3.62612,3.9678,0.00160099,0.00160099,0.00160099
6,418.018,2.65494,2.73806,3.2656,0.2121,0.34269,0.17307,0.04796,2.50296,3.1822,3.51653,0.00158448,0.00158448,0.00158448
7,477.279,2.5215,2.79951,3.24198,0.24908,0.44597,0.24766,0.10091,2.44131,2.83589,3.43119,0.00156798,0.00156798,0.00156798
8,536.521,2.49906,2.64521,3.11526,0.33902,0.45297,0.29161,0.10606,2.39742,2.67077,3.41325,0.00155148,0.00155148,0.00155148
9,595.804,2.34625,2.43934,3.03118,0.22124,0.3553,0.19759,0.06964,2.453,2.97782,3.47635,0.00153497,0.00153497,0.00153497
10,654.814,2.35284,2.51868,3.06544,0.35455,0.41082,0.34251,0.12962,2.22324,2.64965,3.35068,0.00151847,0.00151847,0.00151847
11,714.072,2.2048,2.38801,2.93011,0.43004,0.54822,0.40595,0.19084,2.1114,2.56989,3.2696,0.00150197,0.00150197,0.00150197
12,773.301,2.1855,2.33413,2.97049,0.58789,0.49751,0.47612,0.23601,2.10811,2.66897,3.30928,0.00148546,0.00148546,0.00148546
13,832.588,2.1069,2.26816,2.93825,0.52713,0.48934,0.51434,0.25434,2.21586,2.56782,3.30205,0.00146896,0.00146896,0.00146896
14,891.833,2.02869,2.27569,2.88517,0.70255,0.52195,0.6478,0.37885,1.83655,2.09429,2.95588,0.00145246,0.00145246,0.00145246
15,951.106,1.94214,2.05605,2.78492,0.45187,0.59265,0.54354,0.28531,1.9989,3.98202,3.2113,0.00143595,0.00143595,0.00143595
16,1010.03,1.89414,1.94805,2.73203,0.68118,0.6591,0.72647,0.42555,1.72756,1.90101,2.89811,0.00141945,0.00141945,0.00141945
17,1069.29,1.86196,1.83473,2.64998,0.70084,0.5635,0.64435,0.33733,1.907,2.24932,3.05742,0.00140295,0.00140295,0.00140295
18,1128.36,1.81061,1.86124,2.73292,0.72611,0.5738,0.70631,0.40376,1.80754,2.06558,3.02906,0.00138644,0.00138644,0.00138644
19,1187.3,1.77531,1.84615,2.59886,0.66652,0.658,0.7456,0.43385,1.83981,2.07503,3.09604,0.00136994,0.00136994,0.00136994
20,1246.52,1.75344,1.75648,2.61702,0.77569,0.67106,0.79387,0.4652,1.68983,1.86642,2.84271,0.00135344,0.00135344,0.00135344
21,1305.78,1.74716,1.72429,2.61127,0.70283,0.69449,0.77227,0.46265,1.68273,1.84175,2.94047,0.00133693,0.00133693,0.00133693
22,1364.72,1.69269,1.6576,2.60674,0.754,0.64751,0.76062,0.4506,1.70806,1.99036,2.90196,0.00132043,0.00132043,0.00132043
23,1423.67,1.61875,1.58786,2.51882,0.8209,0.68843,0.80269,0.49274,1.64384,2.97457,2.83458,0.00130393,0.00130393,0.00130393
24,1482.88,1.6522,1.59582,2.56788,0.81193,0.65433,0.76665,0.45965,1.77774,2.01311,3.02191,0.00128742,0.00128742,0.00128742
25,1541.82,1.60762,1.64075,2.54529,0.79143,0.80295,0.85846,0.5476,1.55641,2.13085,2.7839,0.00127092,0.00127092,0.00127092
26,1601.09,1.62348,1.55153,2.49856,0.82508,0.73094,0.83261,0.53721,1.59137,1.66052,3.07908,0.00125442,0.00125442,0.00125442
27,1659.95,1.61692,1.56641,2.45904,0.80938,0.69987,0.81749,0.52528,1.58271,1.6524,2.84932,0.00123791,0.00123791,0.00123791
28,1718.88,1.56446,1.5475,2.44316,0.7697,0.70466,0.82233,0.55191,1.52924,1.8318,2.78285,0.00122141,0.00122141,0.00122141
29,1778.09,1.5506,1.48698,2.42974,0.81023,0.7708,0.8507,0.55718,1.50791,1.59091,2.71033,0.00120491,0.00120491,0.00120491
30,1837.22,1.56503,1.5084,2.43448,0.82472,0.72942,0.84463,0.55933,1.46135,1.63004,2.71588,0.0011884,0.0011884,0.0011884
31,1896.37,1.5466,1.46863,2.39883,0.80876,0.70298,0.82331,0.55631,1.5043,1.64592,2.7953,0.0011719,0.0011719,0.0011719
32,1955.29,1.53908,1.40512,2.39523,0.84387,0.78715,0.87698,0.59775,1.43353,1.47177,2.71677,0.0011554,0.0011554,0.0011554
33,2014.52,1.54509,1.40744,2.36436,0.80255,0.7982,0.8643,0.57756,1.46639,1.53416,2.77118,0.00113889,0.00113889,0.00113889
34,2073.46,1.48756,1.37046,2.34685,0.82697,0.78129,0.882,0.59029,1.48343,1.38118,2.62282,0.00112239,0.00112239,0.00112239
35,2132.34,1.51096,1.38267,2.30755,0.80914,0.78257,0.86079,0.57871,1.49096,1.6248,2.80352,0.00110589,0.00110589,0.00110589
36,2191.23,1.43904,1.31899,2.35733,0.76762,0.80042,0.88443,0.59394,1.48822,1.46515,2.834,0.00108938,0.00108938,0.00108938
37,2250.15,1.58213,1.50386,2.46261,0.86347,0.75109,0.87353,0.60909,1.38532,1.39926,2.62718,0.00107288,0.00107288,0.00107288
