epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9316,3.6167,3.74355,4.12037,0.00145,0.00926,0.00074,0.00015,3.97905,4.30982,4.30549,0.000546249,0.000546249,0.000546249
2,102.624,3.05352,3.16257,3.56467,0.06765,0.50179,0.07598,0.01974,3.35025,inf,5.04894,0.00109101,0.00109101,0.00109101
3,122.426,2.80164,3.01395,3.2181,0.12899,0.51174,0.08723,0.02573,2.95868,6.26842,4.22757,0.00162476,0.00162476,0.00162476
4,141.958,2.70674,2.96855,3.06105,0.15491,0.39243,0.10145,0.03373,2.86198,2.89965,3.42869,0.00161749,0.00161749,0.00161749
5,161.457,2.66005,2.75818,2.90459,0.21027,0.31625,0.16054,0.0484,2.69426,2.82907,3.15109,0.00160099,0.00160099,0.00160099
6,181.052,2.58057,2.74732,2.90401,0.15202,0.35761,0.10925,0.02849,2.69109,3.33205,3.13607,0.00158448,0.00158448,0.00158448
7,200.413,2.49905,2.66694,2.81015,0.19794,0.40657,0.16641,0.05465,2.45855,5.01949,3.03735,0.00156798,0.00156798,0.00156798
8,220.454,2.45972,2.66279,2.7636,0.23343,0.33981,0.19311,0.06858,2.4399,2.46138,2.85928,0.00155148,0.00155148,0.00155148
9,239.979,2.51896,2.643,2.76987,0.26149,0.328,0.21853,0.0816,2.4546,2.61519,2.83841,0.00153497,0.00153497,0.00153497
10,259.502,2.41491,2.41713,2.70035,0.29404,0.506,0.3109,0.13893,2.31836,2.38546,2.74716,0.00151847,0.00151847,0.00151847
11,278.931,2.34997,2.42195,2.63592,0.34943,0.48912,0.32233,0.14716,2.36186,2.48367,2.84072,0.00150197,0.00150197,0.00150197
12,298.789,2.21554,2.3364,2.53171,0.383,0.41434,0.32317,0.12828,2.4212,2.68467,2.92754,0.00148546,0.00148546,0.00148546
13,318.839,2.22737,2.27423,2.55276,0.52084,0.49207,0.50398,0.25639,2.12593,2.30394,2.66782,0.00146896,0.00146896,0.00146896
14,338.558,2.24471,2.24197,2.48204,0.36985,0.43385,0.37082,0.17307,2.19384,2.67293,2.70096,0.00145246,0.00145246,0.00145246
15,358.055,2.18031,2.19858,2.45899,0.35547,0.53708,0.36473,0.17492,2.14354,2.24572,2.63893,0.00143595,0.00143595,0.00143595
16,377.17,2.11366,2.07344,2.47938,0.56652,0.53523,0.54393,0.29221,2.05154,1.98527,2.58634,0.00141945,0.00141945,0.00141945
17,396.581,2.13613,2.00028,2.43303,0.50057,0.54473,0.48851,0.25275,2.03182,1.99743,2.54345,0.00140295,0.00140295,0.00140295
18,415.884,1.98696,1.90316,2.38991,0.59347,0.55168,0.59038,0.32765,2.09657,2.05366,2.57621,0.00138644,0.00138644,0.00138644
19,435.548,2.05673,1.92772,2.4067,0.59949,0.56198,0.60965,0.34389,2.08599,1.93818,2.56863,0.00136994,0.00136994,0.00136994
20,455.509,1.97886,1.84631,2.35217,0.66345,0.5394,0.62676,0.34694,1.92764,2.10266,2.57125,0.00135344,0.00135344,0.00135344
21,475.097,1.99658,1.76864,2.32989,0.68121,0.67127,0.71034,0.43243,1.88399,1.68403,2.50071,0.00133693,0.00133693,0.00133693
22,494.774,1.90771,1.81862,2.38624,0.64939,0.589,0.63778,0.36477,1.90947,2.00392,2.52619,0.00132043,0.00132043,0.00132043
23,513.779,1.94365,1.88264,2.34977,0.55574,0.66368,0.68245,0.38982,1.92848,1.80065,2.40459,0.00130393,0.00130393,0.00130393
24,532.812,1.91629,1.75977,2.28865,0.55527,0.56393,0.58748,0.3203,2.08695,1.92673,2.69526,0.00128742,0.00128742,0.00128742
25,552.013,1.87303,1.72054,2.26931,0.75078,0.71699,0.78783,0.44571,1.90375,1.81766,2.55302,0.00127092,0.00127092,0.00127092
26,571.59,1.79467,1.59459,2.17705,0.6112,0.68206,0.72859,0.42843,1.81797,1.6758,2.47344,0.00125442,0.00125442,0.00125442
27,590.686,1.80912,1.64252,2.22113,0.67169,0.68741,0.74626,0.45069,1.75378,1.64578,2.33077,0.00123791,0.00123791,0.00123791
28,610.102,1.71644,1.54768,2.15654,0.80057,0.73551,0.81386,0.53001,1.656,1.57875,2.35013,0.00122141,0.00122141,0.00122141
29,629.607,1.75457,1.54252,2.17518,0.78016,0.73738,0.80506,0.49703,1.68729,1.61146,2.28366,0.00120491,0.00120491,0.00120491
30,648.826,1.75637,1.55242,2.10859,0.76703,0.73985,0.78705,0.48403,1.75125,1.62637,2.29158,0.0011884,0.0011884,0.0011884
31,668.185,1.6931,1.54646,2.12436,0.79622,0.7298,0.81579,0.53034,1.57831,1.55626,2.22402,0.0011719,0.0011719,0.0011719
32,687.897,1.70656,1.47665,2.09726,0.82859,0.76752,0.83333,0.52602,1.61173,1.44798,2.25965,0.0011554,0.0011554,0.0011554
33,706.912,1.68158,1.48473,2.15326,0.7785,0.68149,0.78286,0.50154,1.69004,1.58156,2.36346,0.00113889,0.00113889,0.00113889
34,726.067,1.67361,1.42437,2.12268,0.79888,0.70712,0.80565,0.52532,1.5889,1.49364,2.20951,0.00112239,0.00112239,0.00112239
35,745.129,1.59606,1.38176,2.03909,0.78654,0.70928,0.80844,0.53356,1.57289,1.49026,2.30274,0.00110589,0.00110589,0.00110589
36,764.835,1.6515,1.46019,2.14927,0.6799,0.74292,0.80835,0.50972,1.66182,1.75527,2.30352,0.00108938,0.00108938,0.00108938
37,784.018,1.65526,1.43741,2.12317,0.79868,0.7077,0.81468,0.52054,1.61451,1.4409,2.22897,0.00107288,0.00107288,0.00107288
38,803.151,1.61547,1.4085,2.08584,0.80589,0.74937,0.85422,0.55486,1.53694,1.62728,2.21339,0.00105638,0.00105638,0.00105638
39,822.59,1.60793,1.35478,2.03178,0.81084,0.72659,0.82371,0.51726,1.61252,1.50346,2.29741,0.00103987,0.00103987,0.00103987
40,841.732,1.54163,1.38398,2.02983,0.79684,0.80502,0.85304,0.56442,1.51195,1.35978,2.11199,0.00102337,0.00102337,0.00102337
41,861.345,1.54845,1.309,1.98499,0.85616,0.76608,0.86005,0.5652,1.4831,1.32176,2.13598,0.00100687,0.00100687,0.00100687
42,880.928,1.50394,1.27481,1.9795,0.79763,0.78538,0.85138,0.57568,1.48152,1.44052,2.27221,0.000990365,0.000990365,0.000990365
43,900.396,1.52232,1.31081,2.00633,0.84355,0.79215,0.86363,0.56724,1.48027,1.27946,2.10736,0.000973861,0.000973861,0.000973861
44,919.47,1.50101,1.25687,1.98872,0.85099,0.778,0.87331,0.59799,1.45102,1.31597,2.12397,0.000957358,0.000957358,0.000957358
45,939.022,1.51859,1.2812,1.95763,0.86206,0.80216,0.88827,0.60612,1.43674,1.26738,2.17949,0.000940855,0.000940855,0.000940855
46,958.519,1.52917,1.22022,1.98488,0.83682,0.82021,0.87819,0.59714,1.4461,1.22744,2.11123,0.000924352,0.000924352,0.000924352
47,977.782,1.51993,1.20896,1.97291,0.83837,0.83197,0.88004,0.59447,1.43375,1.29723,2.15574,0.000907848,0.000907848,0.000907848
48,996.835,1.48091,1.1445,1.99614,0.86306,0.78595,0.86776,0.58986,1.42989,1.29948,2.09865,0.000891345,0.000891345,0.000891345
49,1015.95,1.47191,1.25036,1.99893,0.83954,0.81228,0.87345,0.60347,1.41996,1.22318,2.14441,0.000874842,0.000874842,0.000874842
50,1035.13,1.45105,1.20722,1.96824,0.83918,0.83379,0.8857,0.60001,1.37577,1.19758,2.06101,0.000858338,0.000858338,0.000858338
51,1054.49,1.546,1.27221,2.00164,0.87181,0.82369,0.89182,0.59002,1.41964,1.19535,2.14968,0.000841835,0.000841835,0.000841835
52,1073.46,1.43097,1.17574,1.90031,0.86491,0.81553,0.89312,0.59801,1.36084,1.21711,2.06257,0.000825332,0.000825332,0.000825332
53,1092.7,1.47805,1.16383,1.93931,0.87449,0.81867,0.89498,0.61405,1.38069,1.11491,2.12211,0.000808828,0.000808828,0.000808828
54,1112.19,1.4322,1.15225,1.91791,0.82798,0.83112,0.89361,0.62173,1.34569,1.1729,2.05569,0.000792325,0.000792325,0.000792325
55,1131.7,1.42444,1.16828,1.92039,0.87926,0.82561,0.89445,0.62794,1.35137,1.18859,2.0955,0.000775822,0.000775822,0.000775822
56,1151.23,1.43557,1.13196,1.90534,0.85641,0.83819,0.89449,0.59631,1.36093,1.20068,2.18026,0.000759318,0.000759318,0.000759318
57,1170.69,1.44193,1.1617,1.90681,0.86341,0.84069,0.90297,0.64112,1.31927,1.07609,2.04678,0.000742815,0.000742815,0.000742815
58,1190.19,1.43201,1.13064,1.96742,0.86886,0.82947,0.89909,0.62556,1.31332,1.11609,2.10234,0.000726312,0.000726312,0.000726312
59,1209.26,1.39118,1.07153,1.85699,0.87066,0.80882,0.89087,0.61212,1.36818,1.17515,2.12896,0.000709809,0.000709809,0.000709809
60,1228.34,1.37549,1.07401,1.85423,0.85881,0.82543,0.88602,0.59093,1.35131,1.15747,2.05822,0.000693305,0.000693305,0.000693305
61,1247.82,1.41208,1.11004,1.93896,0.89001,0.82575,0.90869,0.64381,1.2946,1.07174,2.03841,0.000676802,0.000676802,0.000676802
62,1267.47,1.36274,1.04365,1.89745,0.87083,0.80738,0.89933,0.61843,1.32931,1.14418,1.99981,0.000660299,0.000660299,0.000660299
63,1286.55,1.4272,1.08697,1.94398,0.83762,0.83625,0.90246,0.63812,1.26165,1.06114,2.02923,0.000643795,0.000643795,0.000643795
64,1305.63,1.35837,1.06047,1.86189,0.84308,0.85337,0.89412,0.62515,1.28983,1.08612,1.9658,0.000627292,0.000627292,0.000627292
65,1324.7,1.40103,1.06762,1.87472,0.88458,0.82676,0.90676,0.63753,1.28534,1.0787,2.00865,0.000610789,0.000610789,0.000610789
66,1343.95,1.36514,1.08292,1.83369,0.8652,0.84218,0.90193,0.65434,1.26057,1.05113,2.01444,0.000594286,0.000594286,0.000594286
67,1363.39,1.32731,1.05778,1.82808,0.8589,0.84781,0.90567,0.6368,1.27294,1.06873,1.98717,0.000577782,0.000577782,0.000577782
68,1382.4,1.30826,1.05158,1.87172,0.85878,0.81954,0.89388,0.62028,1.26771,1.09656,1.98621,0.000561279,0.000561279,0.000561279
69,1401.5,1.37194,1.07626,1.89012,0.88575,0.84208,0.91117,0.65462,1.23327,0.99172,1.96816,0.000544776,0.000544776,0.000544776
70,1421.05,1.37275,1.02422,1.83402,0.88579,0.84017,0.90692,0.65473,1.20624,1.06968,1.99709,0.000528272,0.000528272,0.000528272
71,1440.16,1.34668,1.03422,1.90939,0.88021,0.83725,0.8983,0.63524,1.27778,1.08105,1.95267,0.000511769,0.000511769,0.000511769
72,1459.27,1.35011,1.05839,1.87871,0.86305,0.86614,0.91114,0.64235,1.24349,1.02006,1.95139,0.000495266,0.000495266,0.000495266
73,1478.53,1.3315,1.01661,1.83919,0.88164,0.85592,0.9164,0.66234,1.22736,0.99929,1.95822,0.000478762,0.000478762,0.000478762
74,1497.96,1.34595,1.01421,1.8648,0.90185,0.84841,0.91643,0.66213,1.21872,0.99917,1.93725,0.000462259,0.000462259,0.000462259
75,1517.01,1.33464,1.03869,1.8611,0.87077,0.87317,0.92073,0.66901,1.22364,0.97677,1.97522,0.000445756,0.000445756,0.000445756
76,1536.35,1.36164,1.03251,1.84886,0.88013,0.85147,0.91312,0.65652,1.21781,1.00651,2.0167,0.000429253,0.000429253,0.000429253
77,1555.54,1.30541,1.04233,1.83811,0.88445,0.8857,0.92251,0.67196,1.19683,0.96981,1.94067,0.000412749,0.000412749,0.000412749
78,1574.86,1.32275,1.0234,1.87191,0.88818,0.86941,0.92248,0.65875,1.22275,0.92632,1.93707,0.000396246,0.000396246,0.000396246
79,1594.02,1.27788,0.96162,1.8164,0.89312,0.85677,0.9203,0.66888,1.20512,0.98784,1.91586,0.000379743,0.000379743,0.000379743
80,1613.06,1.23176,0.93079,1.79564,0.88536,0.8544,0.91434,0.64887,1.21482,0.98082,1.90725,0.000363239,0.000363239,0.000363239
81,1631.87,1.28996,0.94486,1.81848,0.88717,0.85025,0.90793,0.65033,1.20991,1.01208,1.93983,0.000346736,0.000346736,0.000346736
82,1651.18,1.29048,0.94693,1.79,0.87073,0.85101,0.91928,0.65676,1.1974,0.97801,1.9646,0.000330233,0.000330233,0.000330233
83,1670.29,1.25642,0.90194,1.75165,0.88949,0.86505,0.91789,0.6756,1.1675,0.92778,1.95816,0.000313729,0.000313729,0.000313729
84,1689.71,1.28621,0.93721,1.79563,0.88233,0.87786,0.91469,0.67679,1.17676,0.96077,1.95289,0.000297226,0.000297226,0.000297226
85,1709.21,1.24485,0.92189,1.70351,0.87726,0.86984,0.91953,0.67983,1.17289,0.94476,1.92209,0.000280723,0.000280723,0.000280723
86,1728.63,1.27894,0.98564,1.77709,0.89019,0.86434,0.92501,0.67103,1.18568,0.9561,1.91094,0.00026422,0.00026422,0.00026422
87,1747.89,1.25139,0.93862,1.75174,0.89122,0.87346,0.92212,0.68261,1.1859,0.94551,1.94305,0.000247716,0.000247716,0.000247716
88,1767.58,1.24696,0.9338,1.78791,0.89804,0.86454,0.92174,0.67526,1.20032,0.94088,2.08755,0.000231213,0.000231213,0.000231213
89,1786.65,1.25395,0.94026,1.81398,0.87856,0.87447,0.92881,0.69169,1.14502,0.87586,1.99297,0.00021471,0.00021471,0.00021471
90,1806.15,1.23301,0.88439,1.76469,0.88298,0.86356,0.92665,0.6808,1.16742,0.9094,1.95705,0.000198206,0.000198206,0.000198206
91,1828.28,1.23076,0.9014,1.74212,0.89255,0.88018,0.92054,0.68355,1.17097,0.899,1.93691,0.000181703,0.000181703,0.000181703
92,1847.62,1.25584,0.89955,1.80523,0.88763,0.87408,0.91593,0.6656,1.17418,0.92395,1.92565,0.0001652,0.0001652,0.0001652
93,1866.7,1.22031,0.90951,1.77716,0.87669,0.8815,0.91867,0.67189,1.15309,0.90474,1.87449,0.000148696,0.000148696,0.000148696
94,1885.77,1.26707,0.89399,1.78153,0.88386,0.87756,0.91984,0.68208,1.13565,0.89489,1.86399,0.000132193,0.000132193,0.000132193
95,1904.86,1.26471,0.92969,1.83459,0.89237,0.87854,0.92,0.67556,1.14645,0.90054,1.84644,0.00011569,0.00011569,0.00011569
