epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5225,3.2904,4.2242,4.17106,0.00452,0.01111,0.00255,0.0005,3.39782,4.37173,4.27564,0.000546249,0.000546249,0.000546249
2,115.22,3.00232,3.5816,3.67847,0.07417,0.48321,0.10314,0.02769,3.12375,3.40104,4.10008,0.00109101,0.00109101,0.00109101
3,141.574,2.84756,3.3748,3.49458,0.15824,0.27977,0.09621,0.02926,2.96671,38.0802,3.9313,0.00162476,0.00162476,0.00162476
4,167.846,2.81484,3.12582,3.38036,0.30229,0.27466,0.18076,0.05818,3.1861,3.2086,4.00676,0.00161749,0.00161749,0.00161749
5,194.183,2.65171,2.90397,3.24779,0.31429,0.27667,0.14027,0.03531,2.77248,7.83433,3.76784,0.00160099,0.00160099,0.00160099
6,220.358,2.62318,2.79285,3.23086,0.16367,0.35796,0.1357,0.0402,2.61313,3.3242,3.42635,0.00158448,0.00158448,0.00158448
7,246.787,2.51135,2.71498,3.12548,0.21806,0.32448,0.14322,0.03928,2.63769,3.58377,3.47312,0.00156798,0.00156798,0.00156798
8,272.925,2.48049,2.85425,3.11012,0.21099,0.35291,0.19598,0.07048,2.50173,2.82122,3.22942,0.00155148,0.00155148,0.00155148
9,299.191,2.51517,2.68791,3.08011,0.3312,0.52294,0.32584,0.14044,2.46168,2.52766,3.16753,0.00153497,0.00153497,0.00153497
10,325.484,2.46314,2.52975,3.01834,0.27055,0.33268,0.26337,0.11023,2.43887,2.6765,3.1677,0.00151847,0.00151847,0.00151847
11,351.723,2.41425,2.57948,2.92763,0.27256,0.42941,0.2627,0.11635,2.48213,2.55947,3.12302,0.00150197,0.00150197,0.00150197
12,377.835,2.3165,2.47745,2.83057,0.35888,0.47104,0.42929,0.21188,2.27131,2.37111,3.0393,0.00148546,0.00148546,0.00148546
13,404.135,2.29456,2.33965,2.86721,0.51671,0.49021,0.46645,0.21886,2.27695,2.56957,3.05917,0.00146896,0.00146896,0.00146896
14,430.647,2.23957,2.30769,2.79467,0.47071,0.5408,0.53595,0.26419,2.10243,2.21593,2.94557,0.00145246,0.00145246,0.00145246
15,456.998,2.19415,2.19164,2.77244,0.6037,0.59228,0.57455,0.30298,2.16191,2.37868,2.96633,0.00143595,0.00143595,0.00143595
16,483.248,2.12775,2.15614,2.80562,0.55634,0.64572,0.63731,0.31392,2.03478,2.06957,2.93163,0.00141945,0.00141945,0.00141945
17,509.801,2.13281,2.16758,2.7551,0.38045,0.5954,0.46929,0.23538,2.07705,3.4516,3.07148,0.00140295,0.00140295,0.00140295
18,535.905,2.01387,2.00129,2.64935,0.66729,0.54389,0.61673,0.31708,2.17751,2.23038,2.99675,0.00138644,0.00138644,0.00138644
19,562.197,2.06724,2.0427,2.73185,0.63636,0.48639,0.53854,0.27834,2.02087,2.8266,3.01898,0.00136994,0.00136994,0.00136994
20,588.288,1.95376,1.9572,2.66263,0.7013,0.65981,0.70468,0.39332,1.85887,2.39204,2.83861,0.00135344,0.00135344,0.00135344
21,614.638,1.98353,1.89144,2.64573,0.61295,0.62882,0.70017,0.41554,1.93073,2.05318,2.95444,0.00133693,0.00133693,0.00133693
22,640.93,1.9294,1.91659,2.70068,0.6982,0.58326,0.66208,0.34173,2.07363,2.60766,3.02739,0.00132043,0.00132043,0.00132043
23,667.028,1.90839,1.92364,2.63271,0.58533,0.69441,0.74096,0.41198,1.80192,1.89085,2.72989,0.00130393,0.00130393,0.00130393
24,693.336,1.85701,1.88453,2.53347,0.75086,0.65211,0.75933,0.44107,1.83369,2.32405,2.71698,0.00128742,0.00128742,0.00128742
25,719.571,1.78372,1.84912,2.5091,0.78875,0.73833,0.82548,0.52025,1.64808,1.75376,2.68723,0.00127092,0.00127092,0.00127092
26,745.884,1.71221,1.67914,2.41326,0.76235,0.75778,0.81768,0.492,1.72349,1.80852,2.71271,0.00125442,0.00125442,0.00125442
27,771.989,1.7713,1.69301,2.49753,0.78094,0.7684,0.83924,0.51625,1.63949,1.65847,2.5951,0.00123791,0.00123791,0.00123791
28,798.087,1.68002,1.64617,2.39564,0.87623,0.76788,0.86602,0.54771,1.62082,1.57939,2.59291,0.00122141,0.00122141,0.00122141
29,824.398,1.70757,1.57801,2.43007,0.75016,0.70921,0.81079,0.51041,1.69928,1.62696,2.59007,0.00120491,0.00120491,0.00120491
30,850.501,1.67309,1.57261,2.35715,0.81644,0.70397,0.80787,0.5278,1.61188,1.73328,2.59995,0.0011884,0.0011884,0.0011884
31,876.618,1.65856,1.58827,2.41097,0.83202,0.7927,0.86123,0.57239,1.57492,1.55383,2.63984,0.0011719,0.0011719,0.0011719
32,903.253,1.6688,1.51018,2.38326,0.82766,0.78814,0.86464,0.54829,1.58491,1.60125,2.54326,0.0011554,0.0011554,0.0011554
33,929.347,1.62356,1.52302,2.42212,0.84323,0.77372,0.86474,0.5562,1.56868,1.58415,2.55323,0.00113889,0.00113889,0.00113889
34,955.455,1.62109,1.4386,2.33332,0.74147,0.75875,0.84455,0.52378,1.57857,1.75612,2.53121,0.00112239,0.00112239,0.00112239
