epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8429,3.36037,3.65144,4.08907,0.00193,0.00556,0.00106,0.00024,3.40653,4.32609,4.28076,0.000546249,0.000546249,0.000546249
2,115.38,3.06723,2.96475,3.53812,0.04169,0.39748,0.08418,0.0272,3.08718,3.76635,3.99119,0.00109101,0.00109101,0.00109101
3,141.844,2.77001,2.93209,3.3313,0.29981,0.32636,0.16527,0.06359,2.76734,4.06066,3.76781,0.00162476,0.00162476,0.00162476
4,168.2,2.62399,2.71796,3.25407,0.28519,0.44678,0.23305,0.07412,2.75835,2.8234,3.62926,0.00161749,0.00161749,0.00161749
5,194.581,2.63515,2.55028,3.14363,0.29573,0.44291,0.25847,0.08098,2.62974,7.28668,3.52515,0.00160099,0.00160099,0.00160099
6,221.07,2.53102,2.41562,3.07221,0.38139,0.50589,0.36147,0.15999,2.33099,2.97865,3.3202,0.00158448,0.00158448,0.00158448
7,247.493,2.41909,2.423,3.04855,0.43899,0.4829,0.43192,0.21092,2.27875,3.52774,3.35222,0.00156798,0.00156798,0.00156798
8,273.876,2.26272,2.31457,3.01185,0.51605,0.61581,0.62114,0.31471,2.08108,2.30163,3.23529,0.00155148,0.00155148,0.00155148
9,300.24,2.12768,1.9651,2.83342,0.55291,0.65045,0.60547,0.32301,2.12357,2.50042,3.22031,0.00153497,0.00153497,0.00153497
10,326.601,2.10998,2.03129,2.90298,0.42309,0.66905,0.57504,0.31129,2.06154,2.8285,3.10937,0.00151847,0.00151847,0.00151847
11,352.786,2.07417,1.97473,2.88084,0.50126,0.6313,0.59863,0.31875,1.98221,2.12894,3.10231,0.00150197,0.00150197,0.00150197
12,379.354,1.98182,1.82757,2.87996,0.73177,0.67442,0.74972,0.40127,1.91494,1.85833,3.02773,0.00148546,0.00148546,0.00148546
13,405.744,1.95442,1.81347,2.88403,0.69609,0.62398,0.70401,0.40471,1.9158,2.0608,3.04858,0.00146896,0.00146896,0.00146896
14,431.926,1.94032,1.86389,2.84275,0.76386,0.69339,0.78506,0.47954,1.78751,1.90054,3.06501,0.00145246,0.00145246,0.00145246
15,458.549,1.91632,1.71347,2.75249,0.72818,0.71578,0.74849,0.43329,1.77298,1.80416,3.00346,0.00143595,0.00143595,0.00143595
16,484.737,1.85755,1.61078,2.67295,0.80377,0.71924,0.81007,0.48968,1.79766,1.68877,2.86618,0.00141945,0.00141945,0.00141945
17,511.067,1.84537,1.52451,2.61261,0.74149,0.70625,0.7879,0.48979,1.7211,1.86374,2.8955,0.00140295,0.00140295,0.00140295
18,537.636,1.78715,1.55287,2.59107,0.83345,0.70804,0.8198,0.48899,1.70501,1.63867,2.79573,0.00138644,0.00138644,0.00138644
