epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.04232,3.69024,3.93861,4.29987,0,0,0,0,3.9506,4.28995,4.23628,0.000546249,0.000546249,0.000546249
2,72.8093,3.18502,3.30887,3.62732,0.02079,0.23711,0.01865,0.00719,3.68908,3.74209,3.97285,0.00109101,0.00109101,0.00109101
3,78.1982,2.89036,3.15761,3.22209,0.19954,0.36023,0.1246,0.03963,3.11637,3.28991,4.04815,0.00162476,0.00162476,0.00162476
4,83.5246,2.81107,2.95647,3.07823,0.15046,0.23894,0.11277,0.02531,2.88475,3.12615,3.5766,0.00161749,0.00161749,0.00161749
5,88.8446,2.73564,2.76448,2.9169,0.13877,0.31056,0.10164,0.02792,2.95247,3.24307,3.32712,0.00160099,0.00160099,0.00160099
6,94.1729,2.67721,2.68232,2.92248,0.23288,0.25063,0.14002,0.04529,2.64331,2.80225,3.03274,0.00158448,0.00158448,0.00158448
7,99.5435,2.56657,2.59462,2.80917,0.25061,0.29613,0.18996,0.07463,2.5706,2.76968,2.95559,0.00156798,0.00156798,0.00156798
8,104.868,2.57329,2.60046,2.78728,0.80025,0.27037,0.39245,0.18675,2.49869,2.67308,2.86621,0.00155148,0.00155148,0.00155148
9,110.18,2.53231,2.58344,2.80192,0.41536,0.3554,0.31018,0.134,2.41552,2.52939,2.86404,0.00153497,0.00153497,0.00153497
10,115.513,2.47891,2.32756,2.70882,0.44323,0.52276,0.47596,0.19356,2.4825,2.19649,2.82109,0.00151847,0.00151847,0.00151847
11,120.802,2.4344,2.35268,2.67486,0.50838,0.47389,0.47725,0.22665,2.27759,2.2658,2.73424,0.00150197,0.00150197,0.00150197
12,126.097,2.29491,2.26891,2.5339,0.40867,0.61726,0.55417,0.2687,2.29762,2.41586,2.78361,0.00148546,0.00148546,0.00148546
13,131.423,2.269,2.18228,2.53592,0.41369,0.61599,0.51586,0.24886,2.17487,2.3951,2.64331,0.00146896,0.00146896,0.00146896
14,136.676,2.25466,2.0631,2.45245,0.4574,0.51763,0.54242,0.2893,2.24683,2.08001,2.65945,0.00145246,0.00145246,0.00145246
15,141.982,2.197,2.00351,2.44225,0.61354,0.56587,0.58337,0.31576,2.23057,1.997,2.682,0.00143595,0.00143595,0.00143595
16,147.274,2.12325,1.95735,2.43426,0.52731,0.64209,0.63455,0.31319,2.18059,1.88285,2.63378,0.00141945,0.00141945,0.00141945
17,152.588,2.12328,1.92874,2.42273,0.64792,0.6097,0.64577,0.34368,2.05796,1.97245,2.59016,0.00140295,0.00140295,0.00140295
18,157.92,2.02904,1.85465,2.36194,0.52405,0.58124,0.59729,0.33539,2.15764,1.87714,2.58879,0.00138644,0.00138644,0.00138644
19,163.219,2.10222,1.83374,2.39149,0.63855,0.62379,0.66985,0.38075,2.06199,1.83866,2.59007,0.00136994,0.00136994,0.00136994
20,168.515,2.03655,1.79435,2.35836,0.68901,0.65967,0.71195,0.3869,2.01733,1.85076,2.60037,0.00135344,0.00135344,0.00135344
21,173.832,2.0376,1.75525,2.31902,0.71352,0.65653,0.71795,0.42108,2.01215,1.71572,2.52543,0.00133693,0.00133693,0.00133693
22,179.102,1.9676,1.75612,2.36424,0.65295,0.67847,0.72867,0.41078,1.97372,1.7861,2.49773,0.00132043,0.00132043,0.00132043
23,184.42,1.98602,1.75859,2.34279,0.52183,0.7011,0.73732,0.41202,1.95032,1.84995,2.49773,0.00130393,0.00130393,0.00130393
24,189.696,1.97869,1.74048,2.30283,0.64086,0.67497,0.69512,0.39414,1.97001,1.66639,2.40254,0.00128742,0.00128742,0.00128742
25,194.971,1.92332,1.71638,2.23528,0.65113,0.6839,0.73796,0.43863,1.87122,1.72999,2.39321,0.00127092,0.00127092,0.00127092
26,200.276,1.83126,1.58118,2.1233,0.74453,0.71256,0.77821,0.47333,1.82926,1.54673,2.42218,0.00125442,0.00125442,0.00125442
27,205.544,1.84667,1.62976,2.22638,0.7267,0.70698,0.74734,0.42786,1.80994,1.4826,2.31433,0.00123791,0.00123791,0.00123791
28,210.804,1.80268,1.54472,2.15445,0.75029,0.6737,0.74864,0.44795,1.81626,1.56122,2.31955,0.00122141,0.00122141,0.00122141
29,216.096,1.84025,1.54786,2.21021,0.73875,0.71574,0.79515,0.47486,1.74093,1.54924,2.36835,0.00120491,0.00120491,0.00120491
30,221.385,1.79619,1.58605,2.15176,0.72657,0.70992,0.75495,0.4597,1.80657,1.5067,2.37907,0.0011884,0.0011884,0.0011884
31,226.698,1.73228,1.56096,2.1324,0.68649,0.75239,0.80825,0.49581,1.77348,1.63818,2.40697,0.0011719,0.0011719,0.0011719
32,232.341,1.76015,1.46045,2.09778,0.75277,0.74291,0.78548,0.49771,1.6346,1.45483,2.26888,0.0011554,0.0011554,0.0011554
33,237.644,1.72515,1.44021,2.17511,0.76722,0.77176,0.82291,0.51614,1.69854,1.44478,2.28538,0.00113889,0.00113889,0.00113889
34,242.956,1.7477,1.45269,2.1033,0.79917,0.72294,0.81821,0.529,1.62639,1.39688,2.18667,0.00112239,0.00112239,0.00112239
35,248.246,1.65674,1.39694,2.0654,0.77866,0.73297,0.79853,0.48365,1.73928,1.48159,2.39281,0.00110589,0.00110589,0.00110589
36,253.497,1.74318,1.45783,2.1773,0.74579,0.76139,0.81537,0.49752,1.69636,1.4237,2.30282,0.00108938,0.00108938,0.00108938
37,258.756,1.68433,1.39778,2.12581,0.79718,0.75345,0.82914,0.52955,1.67582,1.42945,2.21894,0.00107288,0.00107288,0.00107288
38,264.033,1.67811,1.37677,2.08066,0.76649,0.69262,0.8034,0.50111,1.68978,1.58546,2.33661,0.00105638,0.00105638,0.00105638
39,269.287,1.6795,1.35368,2.02533,0.80503,0.72007,0.81296,0.51463,1.68884,1.4363,2.33342,0.00103987,0.00103987,0.00103987
40,274.563,1.60851,1.36798,2.02757,0.73381,0.75646,0.7916,0.49555,1.66252,1.45006,2.2006,0.00102337,0.00102337,0.00102337
41,279.846,1.61664,1.29702,2.02726,0.82975,0.79588,0.8603,0.55916,1.58399,1.32761,2.25241,0.00100687,0.00100687,0.00100687
42,285.143,1.58899,1.29865,2.0318,0.8114,0.77454,0.85234,0.56569,1.53177,1.34945,2.20969,0.000990365,0.000990365,0.000990365
43,290.474,1.62061,1.34726,2.03403,0.75943,0.75637,0.80526,0.51429,1.60619,1.36234,2.21473,0.000973861,0.000973861,0.000973861
44,295.731,1.58264,1.2805,2.00665,0.83138,0.74447,0.84175,0.54943,1.618,1.40952,2.23129,0.000957358,0.000957358,0.000957358
45,300.99,1.58378,1.3137,1.98417,0.76286,0.80177,0.86655,0.57079,1.48841,1.46459,2.21082,0.000940855,0.000940855,0.000940855
46,306.276,1.63608,1.29,2.04198,0.81604,0.78211,0.84333,0.55382,1.5224,1.35757,2.18235,0.000924352,0.000924352,0.000924352
47,311.569,1.63855,1.28504,2.0399,0.81844,0.80704,0.86271,0.55959,1.51771,1.25127,2.15968,0.000907848,0.000907848,0.000907848
48,316.821,1.55325,1.23241,2.00836,0.79894,0.80093,0.8644,0.5686,1.50995,1.32464,2.12851,0.000891345,0.000891345,0.000891345
49,322.09,1.57844,1.28017,2.00966,0.8381,0.78386,0.85518,0.5679,1.52825,1.28904,2.13725,0.000874842,0.000874842,0.000874842
50,327.389,1.54876,1.29997,2.0009,0.84093,0.80764,0.86537,0.56428,1.56248,1.36147,2.23791,0.000858338,0.000858338,0.000858338
51,332.619,1.63196,1.29341,2.01437,0.78186,0.80555,0.87239,0.57625,1.48863,1.25366,2.12511,0.000841835,0.000841835,0.000841835
52,337.913,1.55865,1.23692,1.96562,0.83989,0.81161,0.87351,0.57048,1.48996,1.2004,2.13749,0.000825332,0.000825332,0.000825332
53,343.209,1.56245,1.26215,1.99071,0.81288,0.81597,0.86456,0.58112,1.46616,1.21814,2.20305,0.000808828,0.000808828,0.000808828
54,348.467,1.51878,1.22064,1.95901,0.79524,0.79894,0.87131,0.58551,1.46203,1.33466,2.0751,0.000792325,0.000792325,0.000792325
55,353.776,1.48897,1.20883,1.96636,0.80888,0.82801,0.87957,0.58954,1.42017,1.21706,2.15234,0.000775822,0.000775822,0.000775822
56,359.056,1.52756,1.20597,1.94819,0.85806,0.81463,0.881,0.60181,1.436,1.23679,2.14453,0.000759318,0.000759318,0.000759318
57,364.322,1.5365,1.20392,1.95676,0.82162,0.82921,0.89247,0.59916,1.41278,1.15976,2.11287,0.000742815,0.000742815,0.000742815
58,369.577,1.50226,1.18177,1.98514,0.85301,0.80935,0.8819,0.60047,1.43839,1.16677,2.12022,0.000726312,0.000726312,0.000726312
59,374.841,1.49501,1.1704,1.92137,0.85656,0.79794,0.87304,0.58668,1.45915,1.26061,2.14118,0.000709809,0.000709809,0.000709809
