epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5039,3.34234,3.92599,4.26971,0,0,0,0,3.38356,4.36155,4.21953,0.000546249,0.000546249,0.000546249
2,79.8341,3.10824,3.18457,3.71881,0.01434,0.0977,0.01101,0.00443,3.21655,4.04833,4.09468,0.00109101,0.00109101,0.00109101
3,88.2953,2.86485,3.0307,3.3393,0.27571,0.21437,0.1479,0.05099,2.79526,3.37149,3.68829,0.00162476,0.00162476,0.00162476
4,96.7598,2.7231,2.91646,3.24213,0.2525,0.38007,0.21048,0.06269,2.69999,4.59385,4.32886,0.00161749,0.00161749,0.00161749
5,105.276,2.71487,2.71567,3.11106,0.27549,0.33571,0.19812,0.05075,2.63395,3.18856,3.6087,0.00160099,0.00160099,0.00160099
6,113.446,2.72402,2.56421,3.03804,0.30532,0.42695,0.29416,0.09655,2.50825,2.88894,3.29879,0.00158448,0.00158448,0.00158448
7,121.689,2.55063,2.59775,3.00852,0.33927,0.2048,0.16932,0.08484,2.59905,4.11476,3.70431,0.00156798,0.00156798,0.00156798
8,129.86,2.49648,2.45403,2.90437,0.47663,0.43605,0.40579,0.19748,2.28555,4.0546,3.28823,0.00155148,0.00155148,0.00155148
9,138.021,2.34652,2.21345,2.77137,0.51067,0.54041,0.49908,0.25607,2.25107,2.31468,3.09673,0.00153497,0.00153497,0.00153497
10,146.745,2.3628,2.24759,2.84777,0.41892,0.60492,0.53143,0.28464,2.16962,2.73514,3.0693,0.00151847,0.00151847,0.00151847
11,155.008,2.20472,2.16304,2.69062,0.46548,0.61049,0.58349,0.30979,2.10589,2.29404,2.992,0.00150197,0.00150197,0.00150197
12,163.526,2.26308,2.1519,2.76494,0.61953,0.61295,0.64848,0.30706,2.15583,2.26513,3.04147,0.00148546,0.00148546,0.00148546
13,172.013,2.13218,2.14798,2.65012,0.66291,0.57053,0.61834,0.33579,1.99027,2.3119,2.90715,0.00146896,0.00146896,0.00146896
14,180.485,2.01791,2.07364,2.61898,0.78241,0.55758,0.68467,0.39393,1.96156,2.36021,2.919,0.00145246,0.00145246,0.00145246
15,188.974,1.97871,1.93073,2.54663,0.71028,0.60174,0.68955,0.38595,1.90948,2.14571,2.82087,0.00143595,0.00143595,0.00143595
16,197.732,1.90655,1.83535,2.4702,0.70352,0.64856,0.7295,0.44706,1.85032,2.01398,2.81511,0.00141945,0.00141945,0.00141945
17,205.964,1.86776,1.71981,2.39573,0.63926,0.66176,0.68929,0.37662,1.99199,1.98076,2.93119,0.00140295,0.00140295,0.00140295
18,214.271,1.84593,1.77265,2.48211,0.66267,0.6391,0.72305,0.42658,1.83196,2.16291,2.77794,0.00138644,0.00138644,0.00138644
19,222.491,1.75723,1.67936,2.34858,0.77932,0.7178,0.80596,0.50369,1.71074,1.66371,2.65057,0.00136994,0.00136994,0.00136994
20,230.61,1.75912,1.64396,2.36528,0.83498,0.701,0.82005,0.49668,1.73243,1.66063,2.71436,0.00135344,0.00135344,0.00135344
21,238.741,1.77495,1.654,2.37222,0.81567,0.70656,0.8219,0.53516,1.62126,1.68013,2.67987,0.00133693,0.00133693,0.00133693
22,246.891,1.77569,1.61335,2.36044,0.82006,0.73372,0.81971,0.50599,1.61722,1.68153,2.66498,0.00132043,0.00132043,0.00132043
23,255,1.66442,1.52432,2.29063,0.79133,0.75117,0.82914,0.49903,1.74929,1.64308,2.66965,0.00130393,0.00130393,0.00130393
24,263.105,1.68125,1.56177,2.29379,0.80899,0.74157,0.83438,0.53905,1.62411,1.63436,2.58648,0.00128742,0.00128742,0.00128742
25,271.375,1.62444,1.52146,2.27034,0.84991,0.74903,0.85659,0.56151,1.50518,1.6163,2.53872,0.00127092,0.00127092,0.00127092
26,279.532,1.65797,1.46404,2.25253,0.82218,0.74259,0.8492,0.55326,1.58044,1.64052,2.73647,0.00125442,0.00125442,0.00125442
27,287.649,1.65942,1.53644,2.28232,0.83737,0.74496,0.85154,0.56092,1.53222,1.55774,2.59847,0.00123791,0.00123791,0.00123791
28,295.785,1.62822,1.47271,2.24659,0.81876,0.73273,0.82067,0.51562,1.67885,1.65218,2.77436,0.00122141,0.00122141,0.00122141
29,303.939,1.63359,1.4475,2.25023,0.81663,0.78132,0.86807,0.57443,1.46174,1.43978,2.57276,0.00120491,0.00120491,0.00120491
30,312.043,1.58362,1.43497,2.17469,0.8356,0.77939,0.85769,0.57664,1.52662,1.48676,2.49057,0.0011884,0.0011884,0.0011884
31,320.184,1.56178,1.41327,2.14128,0.84812,0.80517,0.88586,0.59026,1.48111,1.39575,2.54406,0.0011719,0.0011719,0.0011719
32,328.331,1.59544,1.36923,2.18312,0.82471,0.81361,0.87815,0.60565,1.43107,1.40523,2.47521,0.0011554,0.0011554,0.0011554
33,336.648,1.57239,1.37271,2.12359,0.82974,0.75487,0.85021,0.57615,1.50038,1.5067,2.57367,0.00113889,0.00113889,0.00113889
34,344.873,1.54431,1.31209,2.14106,0.82839,0.81704,0.89527,0.59532,1.45044,1.34361,2.4327,0.00112239,0.00112239,0.00112239
35,353.008,1.5514,1.33599,2.10146,0.85376,0.82512,0.89323,0.61543,1.43774,1.29084,2.48078,0.00110589,0.00110589,0.00110589
