epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0477,3.07821,4.75527,4.35036,0,0,0,0,2.99813,4.33157,4.22676,0.000546249,0.000546249,0.000546249
2,102.214,2.8682,3.98708,3.87512,0.03321,0.25065,0.04517,0.01759,2.93632,3.86329,4.05639,0.00109101,0.00109101,0.00109101
3,121.62,2.73906,3.73246,3.65329,0.04581,0.51149,0.03758,0.01009,2.93564,4.62895,4.59227,0.00162476,0.00162476,0.00162476
4,140.882,2.77547,3.44975,3.55468,0.07329,0.50183,0.09754,0.02532,2.7218,4.84328,3.80685,0.00161749,0.00161749,0.00161749
5,160.48,2.66809,3.16941,3.44507,0.15737,0.34762,0.1015,0.02437,2.84121,3.93687,3.98482,0.00160099,0.00160099,0.00160099
6,179.926,2.61707,3.02525,3.4648,0.29623,0.44769,0.22501,0.05995,2.52123,3.07462,3.57821,0.00158448,0.00158448,0.00158448
7,199.737,2.43361,2.9731,3.36265,0.30052,0.43617,0.27326,0.09592,2.40167,2.78254,3.4755,0.00156798,0.00156798,0.00156798
8,219.426,2.37366,2.97155,3.27181,0.28365,0.37495,0.26787,0.10266,2.45413,2.84352,3.54631,0.00155148,0.00155148,0.00155148
9,239.217,2.40842,2.935,3.3075,0.25775,0.36709,0.21907,0.0893,2.30941,3.03379,3.52576,0.00153497,0.00153497,0.00153497
10,259.069,2.32387,2.72775,3.23184,0.25623,0.48311,0.24885,0.09721,2.28014,2.79487,3.3941,0.00151847,0.00151847,0.00151847
11,278.708,2.29507,2.69937,3.1566,0.29737,0.39589,0.2575,0.10088,2.31246,2.60735,3.40226,0.00150197,0.00150197,0.00150197
12,298.664,2.19733,2.63208,3.08318,0.47461,0.4669,0.46941,0.21274,2.16865,2.55337,3.28412,0.00148546,0.00148546,0.00148546
13,318.416,2.14479,2.45666,3.07188,0.32498,0.50595,0.32831,0.14048,2.1181,2.5806,3.24535,0.00146896,0.00146896,0.00146896
14,338.173,2.1167,2.40565,3.01177,0.50801,0.53826,0.54204,0.27513,2.0073,2.32681,3.17666,0.00145246,0.00145246,0.00145246
15,358.026,2.06637,2.31426,2.94821,0.62521,0.5017,0.53052,0.27907,2.05269,2.74107,3.17631,0.00143595,0.00143595,0.00143595
16,377.782,2.06904,2.32381,2.97256,0.43072,0.59012,0.56803,0.28436,2.08836,2.42044,3.23654,0.00141945,0.00141945,0.00141945
17,397.575,1.99733,2.18613,2.94278,0.5422,0.56935,0.56554,0.31141,1.91759,2.18963,3.06885,0.00140295,0.00140295,0.00140295
18,417.295,1.91186,2.06987,2.87499,0.62121,0.57917,0.62641,0.33561,1.95734,2.22165,3.1345,0.00138644,0.00138644,0.00138644
19,437.052,1.9846,2.10948,2.92586,0.41142,0.63468,0.56591,0.27513,2.08255,5.03652,3.26226,0.00136994,0.00136994,0.00136994
20,456.785,1.91146,1.99958,2.89019,0.68816,0.67447,0.72475,0.37676,1.98785,2.01532,3.19855,0.00135344,0.00135344,0.00135344
21,476.533,1.90998,1.93727,2.82354,0.73033,0.66041,0.73491,0.41748,1.86885,1.91142,3.00625,0.00133693,0.00133693,0.00133693
22,496.435,1.86041,1.95345,2.89296,0.68729,0.61842,0.68918,0.36952,1.88656,2.51111,3.1252,0.00132043,0.00132043,0.00132043
23,516.23,1.82526,1.9444,2.79222,0.74522,0.6486,0.75144,0.44257,1.79132,1.98032,2.94579,0.00130393,0.00130393,0.00130393
24,535.957,1.77761,1.86405,2.68981,0.67377,0.66396,0.72116,0.41904,1.72998,1.86313,2.89993,0.00128742,0.00128742,0.00128742
25,555.735,1.7585,1.83597,2.69941,0.64144,0.65903,0.68428,0.39997,1.75401,2.02878,3.00676,0.00127092,0.00127092,0.00127092
26,575.529,1.69369,1.7254,2.58617,0.7582,0.67016,0.76535,0.4681,1.75965,2.06961,3.10659,0.00125442,0.00125442,0.00125442
27,595.275,1.76585,1.76205,2.71783,0.75125,0.69134,0.77736,0.46802,1.63034,1.83703,2.75185,0.00123791,0.00123791,0.00123791
28,615.211,1.6608,1.70747,2.61279,0.72398,0.71637,0.77165,0.47246,1.63657,1.8087,2.82466,0.00122141,0.00122141,0.00122141
29,634.935,1.71282,1.71772,2.65933,0.71007,0.66103,0.75286,0.4488,1.72925,1.86285,2.97195,0.00120491,0.00120491,0.00120491
30,654.71,1.69728,1.73101,2.63157,0.68689,0.67902,0.75052,0.46573,1.68307,1.96267,2.92599,0.0011884,0.0011884,0.0011884
31,674.561,1.66166,1.69931,2.63788,0.77548,0.66535,0.76951,0.48041,1.62096,1.97011,2.78098,0.0011719,0.0011719,0.0011719
32,694.265,1.63214,1.58943,2.5076,0.77194,0.7526,0.82434,0.52292,1.61688,2.0129,2.8553,0.0011554,0.0011554,0.0011554
33,714.154,1.60511,1.5913,2.59194,0.78589,0.76688,0.8412,0.55924,1.56875,1.63064,2.7726,0.00113889,0.00113889,0.00113889
34,733.98,1.59927,1.53436,2.54396,0.72449,0.73219,0.79214,0.4768,1.68356,1.72855,2.76826,0.00112239,0.00112239,0.00112239
35,753.806,1.55565,1.47823,2.49038,0.81116,0.76158,0.84968,0.5346,1.53609,1.53224,2.82463,0.00110589,0.00110589,0.00110589
36,773.59,1.65287,1.54306,2.60094,0.76313,0.72696,0.82998,0.51841,1.56424,1.561,2.80231,0.00108938,0.00108938,0.00108938
37,793.433,1.62557,1.52878,2.62058,0.76019,0.74962,0.8261,0.51821,1.57865,1.5388,2.72383,0.00107288,0.00107288,0.00107288
38,813.262,1.55516,1.51887,2.52389,0.82756,0.80073,0.86696,0.57807,1.45303,1.38774,2.66311,0.00105638,0.00105638,0.00105638
39,833.033,1.54745,1.42434,2.42523,0.82297,0.74769,0.85114,0.56306,1.49501,1.51761,2.68891,0.00103987,0.00103987,0.00103987
40,852.778,1.59531,1.4815,2.50897,0.82555,0.7712,0.86892,0.57972,1.47207,1.45311,2.66823,0.00102337,0.00102337,0.00102337
41,872.494,1.50922,1.36962,2.41782,0.802,0.7918,0.86338,0.58763,1.42215,1.44518,2.61124,0.00100687,0.00100687,0.00100687
42,892.266,1.50765,1.35805,2.45486,0.83899,0.81305,0.87606,0.60094,1.41723,1.43449,2.76931,0.000990365,0.000990365,0.000990365
