epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.49753,3.76747,3.55309,4.16349,0,0,0,0,3.9511,4.14483,4.25315,0.000546249,0.000546249,0.000546249
2,78.2339,3.26104,2.8044,3.48766,0.06203,0.40893,0.07732,0.02469,3.41652,3.32987,3.79874,0.00109101,0.00109101,0.00109101
3,86.2825,2.83469,2.72612,3.01509,0.18339,0.28073,0.11541,0.03651,2.86012,3.20172,3.75567,0.00162476,0.00162476,0.00162476
4,93.678,2.65354,2.57585,3.00006,0.23271,0.31985,0.18741,0.07879,2.57198,2.94027,3.1886,0.00161749,0.00161749,0.00161749
5,100.964,2.62995,2.3567,2.80471,0.30066,0.48429,0.30812,0.124,2.51763,2.85554,2.97606,0.00160099,0.00160099,0.00160099
6,108.226,2.55895,2.17394,2.67475,0.3568,0.56229,0.38839,0.17885,2.39774,2.84576,2.88037,0.00158448,0.00158448,0.00158448
7,115.96,2.43982,2.13927,2.63753,0.39838,0.52573,0.35171,0.14434,2.56753,2.88868,3.06077,0.00156798,0.00156798,0.00156798
8,123.401,2.35623,2.03061,2.5929,0.56061,0.56899,0.53732,0.28261,2.19964,2.28546,2.85598,0.00155148,0.00155148,0.00155148
9,130.632,2.17672,1.82069,2.43788,0.61196,0.54096,0.56571,0.29963,2.08038,2.04796,2.80162,0.00153497,0.00153497,0.00153497
10,137.897,2.18805,1.814,2.51383,0.47226,0.67941,0.58458,0.29706,2.06216,2.9183,2.86414,0.00151847,0.00151847,0.00151847
11,145.897,2.11477,1.77638,2.48629,0.73612,0.68168,0.76231,0.41992,1.94089,1.89527,2.69465,0.00150197,0.00150197,0.00150197
12,153.313,2.02266,1.71295,2.50877,0.72577,0.67936,0.75119,0.40963,1.84679,1.71436,2.60552,0.00148546,0.00148546,0.00148546
13,160.472,1.97933,1.67499,2.49315,0.78093,0.68186,0.78787,0.45924,1.80682,1.70017,2.64039,0.00146896,0.00146896,0.00146896
14,168.312,1.89533,1.6638,2.44015,0.82689,0.75546,0.83739,0.50866,1.71198,1.66103,2.50073,0.00145246,0.00145246,0.00145246
15,176.144,1.92168,1.56747,2.32455,0.80955,0.70959,0.79485,0.4885,1.68186,1.75088,2.51983,0.00143595,0.00143595,0.00143595
16,183.427,1.81662,1.48784,2.28389,0.80713,0.75975,0.84122,0.51543,1.72769,1.50701,2.44155,0.00141945,0.00141945,0.00141945
17,190.989,1.81983,1.39204,2.19904,0.80091,0.73615,0.81796,0.49832,1.74363,1.46336,2.52786,0.00140295,0.00140295,0.00140295
18,198.169,1.76435,1.44248,2.20434,0.80446,0.73934,0.80124,0.48689,1.69273,1.54366,2.45126,0.00138644,0.00138644,0.00138644
19,205.356,1.71539,1.39653,2.17203,0.71794,0.7572,0.8201,0.53243,1.5561,1.5386,2.39065,0.00136994,0.00136994,0.00136994
20,212.537,1.71582,1.34251,2.12162,0.84733,0.75328,0.84197,0.56525,1.6268,1.58916,2.4792,0.00135344,0.00135344,0.00135344
21,219.757,1.70345,1.38726,2.1179,0.75268,0.77144,0.82125,0.52056,1.5384,1.88542,2.32576,0.00133693,0.00133693,0.00133693
22,226.936,1.60831,1.29077,2.12098,0.79833,0.74385,0.84002,0.55481,1.51327,1.41759,2.30997,0.00132043,0.00132043,0.00132043
23,234.098,1.58906,1.23362,2.04409,0.84006,0.81097,0.87784,0.57816,1.54249,1.35762,2.38751,0.00130393,0.00130393,0.00130393
24,242.243,1.55945,1.25553,2.10594,0.77512,0.77736,0.82142,0.51473,1.57023,1.40138,2.41863,0.00128742,0.00128742,0.00128742
25,249.591,1.59516,1.29996,2.09317,0.80941,0.76063,0.8493,0.54848,1.58924,1.45223,2.32267,0.00127092,0.00127092,0.00127092
26,256.782,1.59354,1.2602,2.04757,0.8606,0.8153,0.88857,0.61612,1.44101,1.29494,2.26878,0.00125442,0.00125442,0.00125442
27,264.59,1.55064,1.25492,2.13414,0.85255,0.83538,0.90503,0.60371,1.44471,1.25702,2.19884,0.00123791,0.00123791,0.00123791
